SKU,"Product Name",Quantity,Price,"Sub Total"
BTY-COV-1713,"Rear Battery Cover with Adhesive for Samsung Galaxy Note 8 - Black",1,9.99,9.99
BT-BP-30004,"BinTEK™ iPhone 4S 1430mAH Li-Ion Premium Battery",1,4.99,4.99
APL-001-2136,"LCD and Touch Screen Digitizer for iPhone 6 Plus - White (Economy Plus) ",3,16.99,50.97
APL-001-2308,"LCD and Touch Screen Digitizer for iPhone 6 - Black (Economy Plus)",4,14.99,59.96
APL-001-0730,"LCD and Touch Screen Digitizer for iPhone 5S - Black (Economy Plus)",2,10.99,21.98
APL-001-0728,"LCD and Touch Screen Digitizer for iPhone 5S - White (Economy Plus)",3,10.99,32.97
BT-BP-30008,"BinTEK™ Battery for iPhone 5S/5C 1560mAH Li-Ion Premium ",5,6.99,34.95
APL-001-2371,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Economy Plus)",3,23.99,71.97
APL-001-2372,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Economy Plus)",5,23.99,119.95
BT-BP-30060,"BinTEK™ Battery for Samsung Galaxy S3 EB-L1G6LLU 2100mAH Li-Ion Premium ",1,6.99,6.99
BT-BP-30076,"BinTEK™ Battery for  Samsung Galaxy S4 B600BE 2600mAH Li-Ion Premium ",1,5.99,5.99
ACC-ZRT-393,"1.5mm Double-Side Red Film transparent VHB Adhesive Tape for LCD iPhone Phone",2,3.99,7.98
