"Refund Date","RMA Number",Vendor,SKU,Title,Amount
2017-10-17,PP12009,"Calvin LCT",APL-001-0411,"LCD and Touch Screen Digitizer for iPhone 5 - White (Economy Plus)",13.49
2017-10-17,PP12013,"Alfie (Incoming)",SRN-HTC-1146,"HTC A9 LCD With Digitizer Touch Screen White",112.40
2017-10-17,PP12014,"Alfie (Incoming)",APL-003-1719,"Home Button for iPhone 7/7 Plus - White",5.49
2017-10-17,PP12039,"OEM World",ACC-ZED-806,"Original Samsung Galaxy Fast Adaptive 2A 5V Charging Adapter - White",4.99
