"Date Added","Voucher Code",Vendor,SKU,Title,Amount
2017-05-23,511972R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-23,511972R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-23,511972R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-23,511972R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-23,503698R,"Alfie (Incoming)",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-23,513716R,"Alfie (Incoming)",SRN-SAM-614,"Galaxy S5 i9600 G900A G900T G900V G900P LCD + Touch Screen Digitizer - White",94.9900
2017-05-23,516407R,"Calvin LCT",APL-001-2080,"LCD and Touch Screen Digitizer Assembly for iPhone 5S SE White (Premium)",22.9900
2017-05-23,514734R,"DATAN INC",APL-001-2080,"LCD and Touch Screen Digitizer Assembly for iPhone 5S SE White (Premium)",22.9900
2017-05-23,512628R,"DEJI Battery",BT-BP-30192,"BinTEK™ iPhone 6S 1715mAH Li-Po Premium Battery",9.9900
2017-05-23,512628R,"DEJI Battery",BT-BP-30192,"BinTEK™ iPhone 6S 1715mAH Li-Po Premium Battery",9.9900
2017-05-23,515845R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",17.9900
2017-05-23,506814R,"DATAN INC",APL-001-2310,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - White",34.9900
2017-05-23,506814R,"DATAN INC",APL-001-2310,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - White",34.9900
2017-05-23,504695R,"Alfie (Incoming)",APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",20.9900
2017-05-23,504352R-Zj,Laura,BT-BP-30192,"BinTEK™ iPhone 6S 1715mAH Li-Po Premium Battery",8.8600
2017-05-23,504352R-Zj,Laura,BT-BP-30196,"BinTEK™ iPhone 6S Plus 2750mAH Li-Po Premium Battery ",9.5700
2017-05-23,504352R-Zj,Laura,BT-BP-30196,"BinTEK™ iPhone 6S Plus 2750mAH Li-Po Premium Battery ",9.5700
2017-05-23,504352R-Zj,Laura,BT-BP-30010,"BinTEK™ iPhone 6  1810mAH Li-Ion Premium Battery",8.9900
2017-05-23,504352R-Zj,Laura,BT-BP-30008,"BinTEK™ iPhone 5S/5C 1560mAH Li-Ion Premium Battery",7.5400
2017-05-23,504352R-Zj,Laura,BT-BP-30008,"BinTEK™ iPhone 5S/5C 1560mAH Li-Ion Premium Battery",7.5400
2017-05-23,515623R,"Alfie (Incoming)",APL-003-1532,"Front Camera and Sensor Flex Cable for iPhone 6",2.7900
2017-05-23,509853R,"DATAN INC",APL-001-2310,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - White",34.9900
2017-05-23,509493R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",26.9900
2017-05-23,508800R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-23,508800R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-23,508800R,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-05-23,506206R,"DATAN INC",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-23,506206R,"DATAN INC",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-23,506108R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",26.9900
2017-05-23,506108R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-23,503214R,"Alfie (Incoming)",SRN-SAM-230,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - White",67.9900
2017-05-23,505440R,"Alfie (Incoming)",SRN-SAM-224,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - Black Mist",67.9900
2017-05-23,495408R-4l,"Alfie (Incoming)",APL-001-1242,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus Black (Standard)",20.9900
2017-05-23,495408R-4l,"Alfie (Incoming)",APL-001-2115,"LCD Touch Screen Digitizer Assembly for iPhone 6 Black with Tempered Glass (Economy)",14.9900
2017-05-23,488161R-Td,"Alfie (Incoming)",APL-001-2133,"LCD and Touch Screen Digitizer Assembly for iPhone 6s Standard – White",26.9900
2017-05-23,500006R-6G,"Alfie (Incoming)",APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White",13.7900
2017-05-23,515004R,"Alfie (Incoming)",FLX-SAM-1536,"Rear Camera Flex Cable for Samsung Galaxy S7",19.3300
2017-05-23,494603R-R4,Laura,BT-BP-30006,"BinTEK™ iPhone 5 1440mAH mAH Li-Ion Premium Battery",7.4900
