"Date Added","Voucher Code",Vendor,SKU,Title,Amount
2017-08-29,PP11546R,"Alfie (Incoming)",APL-003-1615,"Front Camera Assembly for iPhone 6s",3.8900
2017-08-29,PP11546R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11546R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11528R,"Alfie (Incoming)",SRN-SAM-1412,"Samsung Galaxy S7 Edge LCD & Digitizer Replacement - Black",224.9900
2017-08-29,PP11517R,"Alfie (Incoming)",SRN-SAM-1393,"Samsung Galaxy S7 LCD With Digitizer Touch Screen - Black Onyx",138.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.9900
2017-08-29,PP11513R,"SP Tech",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.9900
2017-08-29,PP11513R,Lanwell,APL-001-0732,,11.9900
2017-08-29,PP11513R,Lanwell,APL-001-0732,,11.9900
2017-08-29,PP11503R,"Alfie (Incoming)",APL-001-0522,"LCD Screen Replacement for iPad Mini (Non-Retina)",31.9900
2017-08-29,PP11501R,"Alfie (Incoming)",SRN-MOT-639,"Motorola Droid Ultra Droid Maxx XT1080 XT1080M LCD With Digitizer and Frame - Black",55.3900
2017-08-29,PP11524R,"DATAN INC",APL-001-0732,"LCD Touch Screen Digitizer Assembly for iPhone 5C - Black (Economy Plus)",11.9900
2017-08-29,PP11524R,Lanwell,APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",18.9900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",18.9900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11524R,"DATAN INC",APL-001-0730,"LCD Touch Screen Digitizer Assembly for iPhone 5S - Black (Economy Plus)",11.9900
2017-08-29,PP11524R,R-Parts,APL-001-0732,"LCD Touch Screen Digitizer Assembly for iPhone 5C - Black (Economy Plus)",11.9900
2017-08-29,PP11524R,"Alfie (Incoming)",SRN-SAM-1270,"Galaxy S6 G920 G920F G920A G920T LCD + Touch Screen Digitizer - White",132.9900
2017-08-29,PP11524R,"Alfie (Incoming)",APL-003-1706,"Earpiece Speaker Replacement for iPhone 7",3.6800
2017-08-29,PP11524R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",18.9900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",18.9900
2017-08-29,PP11524R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",18.9900
2017-08-29,PP11524R,"Calvin LCT",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",18.9900
2017-08-29,PP11524R,ELE,APL-001-2279,"LCD and Touch Screen Digitizer for iPhone 7 - White (Standard)",30.9900
2017-08-29,PP11524R,ELE,APL-001-2278,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Standard)",30.9900
2017-08-29,PP11524R,"DATAN INC",APL-001-2278,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Standard)",30.9900
2017-08-29,PP11524R,"Alfie (Incoming)",SRN-SAM-1488,"LCD With Digitizer Assembly For Samsung Galaxy S7 Edge - Silver",224.9900
2017-08-29,PP11524R,ELE,APL-001-2281,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Standard)",32.9900
2017-08-29,PP11524R,"Alfie (Incoming)",FLX-SAM-1536,"Rear Camera Flex Cable for Samsung Galaxy S7",14.4900
2017-08-29,PP11524R,Laura,BT-BP-30010,,8.9900
2017-08-29,PP11524R,"Alfie (Incoming)",SRN-SAM-248,,52.9900
2017-08-29,PP11538R,"DATAN INC",APL-001-2310,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - White",28.9900
2017-08-29,PP11538R,Lanwell,APL-001-2281,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Standard)",32.9900
2017-08-29,PP11538R,"Alfie (Incoming)",SRN-HTC-1142,"HTC Desire 526 LCD & Digitizer Assembly (Not Compatible with Verizon Model)",21.3600
2017-08-29,PP11538R,Lanwell,APL-001-0411,,11.9900
2017-08-29,PP11602R,Laura,BT-BP-30012,,7.9900
2017-08-29,PP11609R,"Alfie (Incoming)",APL-001-0594,"LCD and Touch Screen Digitizer for iPod Touch 4 - White",10.9900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2280,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Standard)",32.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-2280,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Standard)",32.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-2280,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Standard)",32.9900
2017-08-29,PP11609R,Laura,BT-BP-30220,"BinTEK Battery for Apple iPad Mini 2/3 6470mAH Li-Polymer Premium ",11.9900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2311,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - Black",28.9900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2311,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - Black",28.9900
2017-08-29,PP11609R,Lanwell,APL-001-2281,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Standard)",32.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-2279,"LCD and Touch Screen Digitizer for iPhone 7 - White (Standard)",33.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-2279,"LCD and Touch Screen Digitizer for iPhone 7 - White (Standard)",33.9900
2017-08-29,PP11609R,ELE,APL-001-2279,"LCD and Touch Screen Digitizer for iPhone 7 - White (Standard)",33.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-2278,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Standard)",30.9900
2017-08-29,PP11609R,ELE,APL-001-2278,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Standard)",30.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-2310,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - White",28.9900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2310,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - White",28.9900
2017-08-29,PP11609R,Laura,BT-BP-30192,"BinTEK iPhone 6S 1715mAH Li-Po Premium Battery",8.8600
2017-08-29,PP11609R,"DATAN INC",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.4900
2017-08-29,PP11609R,"DATAN INC",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"DATAN INC",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",24.4900
2017-08-29,PP11609R,Laura,BT-BP-30074,"BinTEK iPhone 6 Plus 2915 mAH Li-Polymer Premium Battery",8.9000
2017-08-29,PP11609R,Laura,BT-BP-30074,"BinTEK iPhone 6 Plus 2915 mAH Li-Polymer Premium Battery",8.9000
2017-08-29,PP11609R,Laura,BT-BP-30074,"BinTEK iPhone 6 Plus 2915 mAH Li-Polymer Premium Battery",8.9000
2017-08-29,PP11609R,"DATAN INC",APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",18.9900
2017-08-29,PP11609R,"Calvin LCT",APL-001-2116,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - Black",18.9900
2017-08-29,PP11609R,"Alfie (Incoming)",APL-003-1306,"Headphone Jack Charging Port Flex Cable for iPhone 5S White",2.4900
2017-08-29,PP11609R,"Alfie (Incoming)",APL-001-2197,"Digitizer Touch Screen With Home Button Apple iPad 3 - Black (Premium)",11.4900
2017-08-29,PP11609R,"Alfie (Incoming)",SRN-SAM-230,"LCD and Touch Screen Digitizer for Samsung Galaxy S4 - White",59.9900
2017-08-29,PP11609R,"Alfie (Incoming)",SRN-SAM-224,"LCD and Touch Screen Digitizer for Samsung Galaxy S4 - Black Mist",59.9900
2017-08-29,PP11609R,"Alfie (Incoming)",SRN-SAM-224,"LCD and Touch Screen Digitizer for Samsung Galaxy S4 - Black Mist",59.9900
2017-08-29,PP11609R,"Alfie (Incoming)",SRN-SAM-614,"LCD and Touch Screen Digitizer for Samsung Galaxy S5 - White",84.9900
2017-08-29,PP11609R,"SP Tech",APL-001-0730,"LCD Touch Screen Digitizer Assembly for iPhone 5S - Black (Economy Plus)",11.9900
2017-08-29,PP11609R,Lanwell,APL-001-0730,"LCD Touch Screen Digitizer Assembly for iPhone 5S - Black (Economy Plus)",11.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-0728,"LCD Touch Screen Digitizer Assembly for iPhone 5S - White (Economy Plus)",11.9900
2017-08-29,PP11609R,"DATAN INC",APL-001-0410,"LCD Touch Screen Digitizer Assembly for iPhone 5 - Black (Economy Plus)",12.9900
2017-08-29,PP11609R,"Alfie (Incoming)",APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White",14.9500
2017-08-29,PP11647R,Laura,BT-BP-30008,"BinTEK Battery for iPhone 5S/5C 1560mAH Li-Ion Premium ",4.9900
2017-08-29,PP11647R,Laura,BT-BP-30010,"BinTEK Battery for iPhone 6 1810mAH Li-Ion Premium ",5.4900
