"Refund Date","RMA Number",Vendor,SKU,Title,Amount
2017-03-08,PP09250,"Alfie (Incoming)",SRN-SAM-1330,"Samsung Galaxy Note 5 LCD & Digitizer Touch Screen - Blue",230.99
2017-03-08,PP09294,"Alfie (Incoming)",TAB-SRN-048,"Asus TF300T Transformer Pad Touch Screen Digitizer",25.95
