"Refund Date","RMA Number",Vendor,SKU,Title,Amount
2017-10-25,RL00087,"Alfie (Incoming)",BTS810016,"BinTEK™ 7-Piece Cell Phone Repair Tool Kit For Samsung",0.00
2017-10-25,RL00087,Laura,BT-BP-30142,"BinTEK™ Samsung Galaxy Note 8.0 N5100 SGH-i467 4600mAH Li-Polymer Premium Battery",15.95
