"Refund Date","RMA Number",Vendor,SKU,Title,Amount
2017-09-13,AM01040,Laura,BT-BP-30156,"BinTEK™ Samsung Galaxy S6 Edge 2600mAH Li-Polymer Premium Battery",25.95
2017-09-13,PP11763,,BT-SPX-0311,"Bongo Shield Tempered Glass Screen Protector - MICROSOFT LUMIA 735",3.49
