SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
SRN-HTC-908,"HTC One X LCD + Touch Screen Digitizer with Frame","06/10/16 12:22 PM",0,1,21.66,30.32,28.19,20.99,"06/01/18 12:00 AM",etrade_supply,28.68,28.54
SRN-LGM-138,"LG L9 P760 International Version Digitizer Touch Screen - Black",N/A,0,5,0,16.95,7.89,6.99,"06/01/18 12:00 AM",etrade_supply,9.28,9.24
SRN-LGM-146,"LG L9 P760 International Version Digitizer Touch Screen - White",N/A,0,8,0,17.95,7.89,6.99,"06/01/18 12:00 AM",etrade_supply,9.46,9.42
SRN-LGM-160,"LG Optimus L9 P769 Touch Screen Digitizer","01/26/16 03:02 PM",0,2,6.26,9.025,7.69,12.49,"06/01/18 12:00 AM",etrade_supply,9.28,9.24
SRN-LGM-166,"LG Mach LS860 Touch Screen Digitizer - Black",N/A,0,2,0,23.95,15.79,9.49,"06/01/18 12:00 AM",etrade_supply,13.47,13.41
SRN-LGM-246,"LG Venice LG730 LCD Screen Display",N/A,0,74,0,6.95,6.89,10.49,"06/01/18 12:00 AM",etrade_supply,9.28,9.24
SRN-LGM-264,"LG Intuition VS950 LCD Screen",N/A,0,0,0,18.95,0,0,"06/01/18 12:00 AM",etrade_supply,25.65,25.53
SRN-LGM-296,"LCD and Touch Screen Digitizer for LG Optimus G2 D802 D805 - Black","03/09/18 04:11 PM",0,9,29.5,59.99,37.99,37.99,"06/01/18 12:00 AM",etrade_supply,33.41,33.25
SRN-LGM-362,"LCD + Touch Screen Digitizer with Frame for LG Google Nexus 5 D820 D821 Black","04/25/18 10:42 AM",1,1,21.17,34.72,32.24,24.99,"06/01/18 12:00 AM",etrade_supply,35.73,35.56
SRN-LGM-550,"LG Optimus L90 D405 D415 Touch Screen Digitizer","03/03/16 01:11 PM",0,0,5.84,9.33,7.89,4.99,"06/01/18 12:00 AM",etrade_supply,11.66,11.6
SRN-LGM-558,"LG Galaxy Nexus 4 E960 Back Housing Glass without Frame",N/A,0,0,0,8.95,8.89,0,"06/01/18 12:00 AM",etrade_supply,12.59,12.53
FLX-UCP-066,"HTC T-Mobile G2/Evo 4G USB Charging Port",N/A,0,184,0,2.95,2.99,0.49,"06/01/18 12:20 AM",etrade_supply,1.73,1.72
FLX-UCP-084,"Blackberry Curve 8520 8530 9700 9780 Replacement Charging Port",N/A,0,6,0,2.95,0.99,0.49,"06/01/18 12:20 AM",etrade_supply,1.46,1.45
FLX-UCP-166,"Blackberry Bold 9700 9780 Curve 8520 8530 USB Charging Port",N/A,0,228,0,2.95,0.69,0.49,"06/01/18 12:20 AM",etrade_supply,1.46,1.45
APL-003-1779,"Sim Card Tray for iPhone 7- Gold","05/15/18 10:50 AM",0,5,0.93,1.99,0,1.29,"06/01/18 12:40 AM",etrade_supply,1.3,1.29
FLX-SAM-729,"Sim Card Memory SD Card Flex Cable for Samsung Galaxy S4 REV 1.3","11/15/17 03:07 PM",0,2,0.99,3.36,2.59,0.99,"06/01/18 12:40 AM",etrade_supply,2.7,2.69
FLX-SAM-731,"Headphone Ear Piece Audio Jack Speaker Flex Cable for Samsung Galaxy Note ",N/A,0,25,0,11.95,9.99,0.99,"06/01/18 12:40 AM",etrade_supply,1.12,1.11
FLX-SAM-733,"Front Camera for Samsung Galaxy S4",N/A,0,25,0.87,2.175,1.89,0.99,"06/01/18 12:40 AM",etrade_supply,1.85,1.84
FLX-SAM-736,"Sim Card Memory SD Card Flex Cable for Samsung Galaxy S4 REV 1.3 / 0.5","03/07/18 03:39 PM",0,5,1.19,2.54,1.96,0.99,"06/01/18 12:40 AM",etrade_supply,2.7,2.69
FLX-SAM-738,"Loudspeaker Buzzer for Samsung Galaxy S4 - White","02/20/17 11:36 AM",0,1,1.5,3.6,2.78,1.49,"06/01/18 12:40 AM",etrade_supply,3.71,3.69
FLX-SAM-739,"Samsung Galaxy Note 10.1 Tablet N8000 Headphone Audio Jack Flex Cable REV 0.3A",N/A,0,9,0,5.95,3.59,0.99,"06/01/18 12:40 AM",etrade_supply,3.74,3.72
FLX-SAM-742,"USB Charging Port Microphone Flex Cable for Samsung Galaxy S4 i9505  REV 19","05/04/17 12:56 PM",0,7,2.21,5.67,4.19,5.49,"06/01/18 12:40 AM",etrade_supply,4.14,4.12
FLX-SAM-750,"Vibrator Module for Samsung Galaxy S4",N/A,2,422,0,2.95,0,0.99,"06/01/18 12:40 AM",etrade_supply,2.25,2.24
FLX-SAM-754,"LCD Tester for Samsung Galaxy S3 ","01/17/17 02:58 PM",0,3,1.78,4.09,3.29,1.99,"06/01/18 12:40 AM",etrade_supply,3.39,3.37
FLX-SAM-756,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i337 M919 USB ","05/04/18 03:36 PM",5,6,1.83,5.99,4.39,2.69,"06/01/18 01:00 AM",etrade_supply,5.18,5.16
FLX-SAM-758,"USB Charging Port Microphone Flex Cable for Samsung Galaxy S4 L720 i545  REV 0.7","05/31/18 01:10 PM",3,12,1.66,6.7275,4.93,2.99,"06/01/18 01:00 AM",etrade_supply,2.84,2.83
FLX-SAM-772,"Stylus Flex Pen Writing Input for Samsung Galaxy Note 2","09/22/15 02:26 PM",0,16,2.37,6.53,5.19,0.99,"06/01/18 01:00 AM",etrade_supply,3.7,3.68
FLX-SAM-790,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900T ","05/31/18 01:10 PM",6,15,3.08,8.037,6.79,4.69,"06/01/18 01:00 AM",etrade_supply,6.86,6.83
FLX-SAM-794,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900V ","05/15/18 10:50 AM",6,5,3.45,8.17,6.49,3.99,"06/01/18 01:00 AM",etrade_supply,6.86,6.83
FLX-SAM-800,"Audio Headphone Jack Speaker Flex Cable for Samsung Galaxy Note 3 N9000 N900A ","12/27/17 03:12 PM",1,3,1.37,3.979,3.29,1.99,"06/01/18 01:00 AM",etrade_supply,1.87,1.86
FLX-SAM-810,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i9505 REV 25","03/07/18 03:39 PM",1,3,2.3,5.99,4.19,2.89,"06/01/18 01:00 AM",etrade_supply,4.14,4.12
FLX-SAM-812,"Samsung Galaxy Note 3 OEM Stylus Pen - Black","07/03/17 12:08 PM",0,1,2.44,5.63,4.19,0,"06/01/18 01:00 AM",etrade_supply,2.98,2.97
FLX-SAM-814,"Samsung Galaxy Note 3 OEM Stylus Pen - White","06/12/17 01:33 PM",0,10,3.24,7.83,6.19,0,"06/01/18 01:20 AM",etrade_supply,2.98,2.97
FLX-SAM-816,"LCD Touch Screen Tester Flex Cable for Samsung Galaxy Note 3 ","08/05/15 11:55 AM",0,14,2.31,5.1975,3.89,1.99,"06/01/18 01:20 AM",etrade_supply,3.25,3.23
FLX-SAM-944,"Home Button for Samsung Galaxy S4 - Purple",N/A,0,39,0,5.95,0,0,"06/01/18 01:20 AM",etrade_supply,1.32,1.31
FLX-SAM-948,"Home Button for Samsung Galaxy S4 - Brown",N/A,0,35,0,5.95,0,0,"06/01/18 01:20 AM",etrade_supply,1.32,1.31
