SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
APL-003-1567,"Vibrator Motor for iPhone 6s","08/15/18 12:53 PM",3,7,0.79,4.21,3.39,1.98,"09/02/18 12:20 AM",maya_cellular,1.49,0.99
APL-003-1570,"Rear Camera for iPhone 5c","07/27/18 04:39 PM",2,13,2.04,6.0975,4.49,2.89,"09/02/18 12:20 AM",maya_cellular,3.99,2.99
APL-003-1585,"Rear Camera for iPhone 6s","08/15/18 12:53 PM",18,12,6.14,16.79,16.79,8.89,"09/02/18 12:40 AM",maya_cellular,7.49,6.99
APL-003-1594,"Loudspeaker for iPhone 6s Plus","08/06/18 11:36 AM",4,10,1.64,7.98,7.98,2.19,"09/02/18 01:00 AM",maya_cellular,2.49,1.99
APL-003-1595,"Power Button Flex Cable for Apple iPhone 6S Plus ","06/14/18 03:09 PM",3,2,2.11,9.99,6.49,2.69,"09/02/18 01:00 AM",maya_cellular,2.49,1.99
APL-003-1600,"Front Camera with Proximity Sensor and Microphone for iPhone 6s Plus","08/15/18 12:53 PM",49,34,2.72,12.99,7.39,6.99,"09/02/18 01:00 AM",maya_cellular,3.99,3.49
APL-003-1629,"Power Button Flex Cable with Bracket for iPhone 6s Plus","08/15/18 12:53 PM",7,7,1.68,8.61,7.29,2.79,"09/02/18 01:40 AM",maya_cellular,2.49,1.99
APL-003-1648,"Home Button with Flex Cable Ribbon for iPhone 5S - Gold","08/15/18 12:53 PM",3,8,1.08,5.63,5.63,1.49,"09/02/18 02:00 AM",maya_cellular,1.99,1.49
APL-003-1661,"Loudspeaker for iPhone 6 Plus","08/15/18 12:53 PM",7,13,1.53,4.99,3.32,2.19,"09/02/18 02:00 AM",maya_cellular,2.49,1.49
APL-003-1701,"Charging Port Flex Cable for iPhone 7 - White","08/24/18 12:02 PM",12,11,3.24,13.99,13.99,7.29,"09/02/18 02:20 AM",maya_cellular,3.99,3.49
APL-003-1702,"Charging Port Flex Cable for iPhone 7 - Black","08/15/18 12:53 PM",23,14,3.17,13.99,6.45,7.69,"09/02/18 02:40 AM",maya_cellular,3.99,3.49
APL-003-1703,"Charging Port Flex Cable for iPhone 7 - Grey","07/27/18 04:39 PM",2,18,3.24,13.99,7.57,7.69,"09/02/18 02:40 AM",maya_cellular,3.99,3.49
APL-003-1704,"Rear Camera for iPhone 7","08/17/18 09:56 AM",13,15,22.64,54.99,54.99,30.89,"09/02/18 02:40 AM",maya_cellular,27.99,25.99
APL-003-1705,"Front Camera with Proximity Sensor and Microphone for iPhone 7","08/17/18 09:56 AM",47,22,7.63,24.99,11.99,12.09,"09/02/18 02:40 AM",maya_cellular,11.99,8.99
APL-003-1707,"Loudspeaker for iPhone 7","08/06/18 11:36 AM",3,14,1.64,8.8,7.49,3.09,"09/02/18 02:40 AM",maya_cellular,3.99,2.99
APL-003-1710,"Charging Port Flex Cable for iPhone 7 Plus - White","08/06/18 11:36 AM",0,45,3.73,15.99,15.99,9.29,"09/02/18 02:40 AM",maya_cellular,4.99,3.99
APL-003-1711,"Charging Port Flex Cable for iPhone 7 Plus - Black","08/15/18 12:53 PM",24,11,3.91,15.99,15.99,9.29,"09/02/18 03:00 AM",maya_cellular,4.99,3.99
APL-003-1712,"Charging Port Flex Cable for iPhone 7 Plus - Grey","08/15/18 12:53 PM",14,12,3.91,15.99,9.15,8.99,"09/02/18 03:00 AM",maya_cellular,4.99,3.99
APL-003-1730,"Charging Port Replacement for iPhone SE - Black","08/24/18 10:50 AM",19,19,2.48,6.99,6.99,2.99,"09/02/18 03:00 AM",maya_cellular,2.99,2.49
