SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black","05/21/18 12:12 PM",11,5,10.42,17.95,17.95,11.49,"06/10/18 12:20 AM",maya_cellular,13.99,11.49
APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White","05/31/18 01:10 PM",13,12,9.73,17.95,17.95,12.09,"06/10/18 12:20 AM",maya_cellular,13.99,11.49
APL-001-0718,"LCD and Touch Screen Digitizer for iPod Touch 5 White","03/15/18 02:20 PM",7,3,28.25,49.99,28.49,28.49,"06/10/18 12:40 AM",etrade_supply,32.13,29.87
APL-001-1180,"LCD and Touch Screen Digitizer for iPod Touch 5 Black","05/31/18 01:10 PM",3,1,27.13,49.99,28.49,28.49,"06/10/18 01:00 AM",etrade_supply,32.13,29.87
BTY-COV-1710,"Rear Battery Cover for Samsung Galaxy S6 Edge - Black Sapphire (Standard)","10/02/17 01:34 PM",2,29,3.22,9.16,0,4.99,"06/10/18 01:00 AM",mobile_sentrix,4.34,4.29
APL-003-1240,"Internal Loudspeaker for iPad 3 4","05/22/18 12:38 PM",0,5,5.14,13.99,3.49,7.09,"06/10/18 05:00 AM",etrade_supply,6.83,7.6
FLX-SAM-1547,"Charging Port Flex Cable for Samsung Galaxy S8 G950F International","03/28/18 10:14 AM",1,3,5.79,19.99,0,7.49,"06/10/18 05:40 AM",mobile_sentrix,8.09,7.81
FLX-SAM-1547,"Charging Port Flex Cable for Samsung Galaxy S8 G950F International","03/28/18 10:14 AM",1,3,5.79,19.99,0,7.49,"06/10/18 05:41 AM",maya_cellular,6.95,0
FLX-SAM-1548,"Charging Port Flex Cable for Samsung Galaxy S8 G955U G950A G950P G950T G950V","05/09/18 03:52 PM",6,4,7.96,14.99,0,8.99,"06/10/18 06:00 AM",mobile_sentrix,8.09,7.81
FLX-SAM-1558,"Rear Camera for Samsung Galaxy S8 Plus","03/15/18 01:59 PM",2,3,12.74,39.99,0,16.19,"06/10/18 06:00 AM",mobile_sentrix,14.88,13.21
FLX-SAM-1557,"Rear Camera for Samsung Galaxy S8","03/15/18 01:59 PM",0,4,12.74,34.99,0,16.19,"06/10/18 06:00 AM",mobile_sentrix,14.88,13.21
ACC-ZRT-489,"Front Glass Adhesive Replacement for Samsung Galaxy S7","04/27/18 04:44 PM",99,0,0.69,1.99,1.49,0.79,"06/10/18 09:20 AM",mobile_sentrix,0.86,0.83
APL-003-1570,"Rear Camera for iPhone 5c","03/15/18 01:59 PM",0,3,1.98,6.0975,4.49,2.89,"06/10/18 10:20 AM",maya_cellular,0,3.99
ACC-ZED-566,"Samsung Galaxy S5 Tempered Glass Screen Protector","05/22/18 02:56 PM",19,0,0.78,3.99,1.99,0.99,"06/10/18 11:40 AM",mobile_sentrix,0.92,1.02
SRN-SAM-622,"LCD and Touch Screen Digitizer With Frame for Samsung Galaxy S4 Mini i9190 i9192 i9195 - Black Mist","08/07/15 02:33 PM",0,1,63.62,88.16,80.39,45.49,"06/10/18 11:40 AM",etrade_supply,67.67,59.47
FLX-SAM-1567,"Charging Port Flex Cable for Samsung Galaxy Note 8 N950U","03/30/18 03:38 PM",1,2,4.39,12.99,6.67,6.19,"06/10/18 12:40 PM",mobile_sentrix,5.91,5.76
APL-003-1731,"Charging Port Replacement for iPhone SE - White","05/31/18 01:10 PM",9,17,2.61,6.99,3.61,3.29,"06/10/18 01:20 PM",etrade_supply,9.11,7.6
APL-003-1735,"Earpiece Speaker for iPhone 7 Plus","05/31/18 01:10 PM",19,11,1.66,8.99,8.99,2.09,"06/10/18 02:00 PM",mobile_sentrix,1.46,1.4
BTY-COV-1660,"Rear Battery Cover for Samsung Galaxy S7 - Gold Platinum (Standard)","03/21/18 10:59 AM",14,7,3.01,14.18,11.49,4.99,"06/10/18 07:40 PM",cell_parts_hub,12.99,9.99
SRN-SAM-1290,"LCD and Touch Screen Digitizer for Samsung Galaxy Prevail LTE/Core Prime - White",N/A,0,0,21.62,30.268,28.19,0,"06/10/18 08:00 PM",etrade_supply,148.91,146.89
BTY-COV-1693,"Rear Battery Cover for Samsung Galaxy S7 - White","10/30/17 03:35 PM",4,27,3.81,8.99,8.6,4.99,"06/10/18 08:20 PM",cell_parts_hub,12.99,9.99
BTY-COV-312,"Motorola Droid M XT907 Front Lower Trim Frame Cover - White",N/A,0,0,0,5.95,3.99,1.49,"06/10/18 09:00 PM",etrade_supply,0,1.72
