SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
SRN-LGM-172,"LG Optimus G2 D800 D801 LCD + Touch Screen Digitizer Assembly - Black","02/23/18 04:55 PM",0,0,25.83,31.99,31.99,31.49,"04/04/18 12:00 AM",mengtor,26.99,25.99
SRN-HTC-582,"LCD and Touch Screen Digitizer for HTC One M8 - Black","01/18/18 09:58 AM",0,2,16.45,47.7125,43.39,16.99,"04/04/18 12:20 AM",mengtor,15.5,14.99
FLX-LGM-636,"Rear Camera Lens for LG G6  White","03/15/18 01:59 PM",5,0,1.34,2.99,0,1.69,"04/04/18 01:01 AM",parts_4_cells,0,3
FLX-LGM-630,"Rear Camera Lens for LG G6 - Black","03/15/18 01:59 PM",6,0,1.34,2.99,0,1.69,"04/04/18 02:12 AM",parts_4_cells,0,3
APL-001-0732,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Economy Plus)","03/21/18 10:30 AM",351,188,8.5,20.15,13.49,10.99,"04/04/18 02:40 AM",mobile_sentrix,10.66,10.99
APL-001-2259,"LCD and Touch Screen Digitizer for iPod Touch 6 - White","03/20/18 04:21 PM",10,0,27.69,51.99,45.7,38.79,"04/04/18 02:40 AM",mengtor,32.99,32.5
APL-001-2260,"LCD and Touch Screen Digitizer for iPod Touch 6 - Black","03/21/18 10:59 AM",1,6,27.54,49.99,45.7,36.99,"04/04/18 02:40 AM",mengtor,32.99,32.5
APL-001-0730,"LCD and Touch Screen Digitizer for iPhone 5S - Black (Economy Plus)","03/21/18 10:30 AM",314,284,8.5,15.99,13.49,10.99,"04/04/18 02:49 AM",mengtor,0,21.99
APL-001-0730,"LCD and Touch Screen Digitizer for iPhone 5S - Black (Economy Plus)","03/21/18 10:30 AM",314,284,8.5,15.99,13.49,10.99,"04/04/18 02:50 AM",parts_4_cells,0,10
APL-001-2089,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Premium)","03/21/18 12:46 PM",9,12,14.47,76.82,25.99,16.99,"04/04/18 03:00 AM",mobile_sentrix,17,17.29
FLX-SAM-730,"Left Coax Cable for Samsung Galaxy S4",N/A,0,761,0,4.95,2.99,0.99,"04/04/18 03:20 AM",mobile_defenders,0.49,0
SRN-SAM-1389,"LCD and Touch Screen Digitizer for Galaxy Note 5 - Gold Platinum","03/21/18 03:19 PM",6,5,133.06,289.99,176.99,174.89,"04/04/18 03:40 AM",mengtor,175.99,176.99
APL-003-1724,"Home Button for iPad Pro 9.7 - Gold","03/21/18 03:19 PM",1,4,1.73,14.99,0,4.49,"04/04/18 04:40 AM",mengtor,3.99,3.5
APL-003-1722,"Home Button for iPad Pro 9.7 - Black","02/12/18 01:25 PM",1,1,3.45,14.99,0,4.49,"04/04/18 04:40 AM",mengtor,3.99,3.5
SRN-SAM-1333,"LCD and Touch Screen Digitizer for Samsung Galaxy S6 Edge Plus - White Pearl","03/16/18 04:59 PM",0,2,165.03,212.73,202.51,189.99,"04/04/18 05:00 AM",mengtor,169.99,166.99
APL-003-1610,"External Buttons for iPhone 6s  Gold","07/19/17 05:04 PM",0,13,1.2,3.38,2.69,1.99,"04/04/18 05:40 AM",mengtor,1.2,0.99
APL-003-1598,"External Buttons for iPhone 6s Plus  Gold","01/09/17 02:03 PM",0,19,1.09,2.62,2.02,1.49,"04/04/18 05:40 AM",mengtor,1.2,0.99
APL-001-2200,"Touch Screen Digitizer for iPad Air/iPad 5 With Home Button for iPad Air - Black (Premium)","03/20/18 04:21 PM",465,0,10.61,20.19,16.99,15.99,"04/04/18 06:00 AM",mobile_sentrix,18.38,18.73
APL-001-0718,"LCD and Touch Screen Digitizer for iPod Touch 5 White","03/15/18 02:20 PM",1,12,28.25,55.63,50.58,35.39,"04/04/18 06:40 AM",mengtor,32.99,32.5
APL-001-1180,"LCD and Touch Screen Digitizer for iPod Touch 5 Black","03/15/18 02:20 PM",2,4,28.25,55.4538,50.41,36.49,"04/04/18 06:40 AM",mengtor,32.99,32.5
FLX-LGM-576,"Loudspeaker for LG G3 - Black","03/15/18 01:59 PM",0,2,1.66,6.99,8.99,2.09,"04/04/18 07:00 AM",mengtor,0.99,0
SRN-LGM-641,"LCD and Touch Screen Digitizer with Frame for LG G4 Black","03/15/18 01:59 PM",8,4,21.64,41.496,38.53,22.69,"04/04/18 07:20 AM",mobile_sentrix,0,22.75
