SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
SRN-MOT-618,"LCD Touch Screen Digitizer with Frame for Motorola Moto X  XT1060 XT1058 XT1056 XT1053  Black","05/11/18 01:24 PM",0,2,38.29,67.66,61.59,49.79,"09/24/18 12:00 AM",mobile_sentrix,49.54,49.5
APL-001-0718,"LCD and Touch Screen Digitizer for iPod Touch 5 White","09/12/18 02:59 PM",6,3,23.04,49.99,49.99,28.49,"09/24/18 12:20 AM",mobile_sentrix,17.68,17.49
APL-003-1731,"Charging Port Replacement for iPhone SE - White","08/24/18 10:50 AM",8,34,2.48,6.99,3.61,3.29,"09/24/18 01:00 AM",mobile_sentrix,2.33,2.29
APL-003-1711,"Charging Port Flex Cable for iPhone 7 Plus - Black","09/13/18 11:42 AM",28,7,3.79,15.99,15.99,9.29,"09/24/18 01:00 AM",mobile_sentrix,10.09,10.19
APL-003-1712,"Charging Port Flex Cable for iPhone 7 Plus - Grey","09/17/18 10:51 AM",15,4,3.91,15.99,9.15,8.99,"09/24/18 01:20 AM",mobile_sentrix,10.09,10.19
APL-003-1708,"Loudspeaker for iPhone 7 Plus","09/13/18 02:02 PM",4,14,2.52,15.99,4.29,5.09,"09/24/18 01:20 AM",fixez,11.49,6.49
APL-003-1701,"Charging Port Flex Cable for iPhone 7 - White","09/24/18 12:21 PM",4,21,3.21,13.99,13.99,7.29,"09/24/18 01:20 AM",mobile_sentrix,6.16,6.03
APL-003-1588,"Charging Port and Headphone Jack Flex Cable for iPhone 6s Plus  Silver","09/13/18 11:42 AM",25,1,3.39,10.99,5.18,5.79,"09/24/18 02:00 AM",mobile_sentrix,3.22,3.17
APL-003-1591,"Rear Camera for iPhone 6s Plus","09/07/18 11:38 AM",27,2,28.13,69.89,69.89,38.89,"09/24/18 02:00 AM",mobile_defenders,44.99,42.99
APL-003-1589,"Charging Port and Headphone Jack Flex Cable for iPhone 6s Plus  White","09/24/18 12:21 PM",24,30,3.35,10.99,5.18,5.79,"09/24/18 02:00 AM",mobile_sentrix,3.22,3.17
APL-003-1600,"Front Camera with Proximity Sensor and Microphone for iPhone 6s Plus","09/07/18 11:38 AM",68,12,2.62,12.99,7.39,6.99,"09/24/18 02:20 AM",mobile_sentrix,5.76,5.65
APL-001-0415,"Front Screen Glass for iPhone 5/5C/5S White","01/19/16 11:25 AM",0,61,1.09,4.99,2.59,0.69,"09/24/18 02:20 AM",mengtor,0.8,0.5
APL-003-1587,"Charging Port and Headphone Jack Flex Cable for iPhone 6s Plus  Space Gray","09/24/18 12:21 PM",20,14,3.46,10.99,7.89,5.69,"09/24/18 03:00 AM",mobile_sentrix,3.2,3.17
APL-001-2222,"Glass With Frame for iPhone 6S - White","03/27/17 12:48 PM",0,0,4.44,8.34,6.59,0.79,"09/24/18 03:00 AM",mengtor,2.99,2.5
APL-001-2223,"Glass With Frame for iPhone 6S - Black","07/01/16 01:03 PM",0,28,4.44,8.34,6.59,0.79,"09/24/18 03:00 AM",mengtor,1.5,0.99
APL-001-2251,"Glass With Frame for iPhone 6S Plus - White",N/A,0,0,4.44,8.44,7.19,1.99,"09/24/18 03:20 AM",mengtor,1.5,0.99
APL-001-2254,"Front Glass Lens for iPhone 6S - White (Premium)",N/A,0,6,0,6.99,0,1.49,"09/24/18 03:20 AM",mengtor,1.99,1.5
APL-003-1567,"Vibrator Motor for iPhone 6s","08/15/18 12:53 PM",1,6,0.79,4.21,3.39,1.98,"09/24/18 04:00 AM",mobile_defenders,1.49,0.99
APL-003-1573,"Charging Port and Headphone Jack Flex Cable for iPhone 6s  Gray","09/07/18 11:38 AM",26,25,2.91,8.27,8.27,4.69,"09/24/18 05:00 AM",mobile_sentrix,3.04,3.09
APL-001-2298,"LCD and Touch Screen Digitizer for iPhone 6S - Black (Aftermarket Premium / Economy Plus)","09/24/18 09:37 AM",346,365,12.5,44.99,44.99,17.99,"09/24/18 06:20 AM",mobile_sentrix,17.16,17.18
APL-002-6366,"LCD Frame for iPhone 6 Plus - White","02/03/16 02:45 PM",0,0,0.9,2.25,1.89,0.99,"09/24/18 06:40 AM",fixez,3.49,0
APL-003-1382,"Headphone Jack Home Button Charging Port Flex for iPod Touch 5 Black","01/31/18 09:42 AM",0,2,1.64,3.933,3.19,1.79,"09/24/18 07:20 AM",mengtor,1.8,1.5
APL-003-1384,"Headphone Jack Home Button Charging Port Flex for iPod Touch 5 White","08/27/18 10:32 AM",0,5,1.64,4.347,3.59,1.79,"09/24/18 07:20 AM",mengtor,1.8,1.5
APL-003-1450,"Vibrator Motor for iPhone 6 Plus","09/07/18 11:38 AM",1,5,0.4,2.856,2.2,1.19,"09/24/18 08:00 AM",mobile_defenders,1.49,0.99
APL-003-1505,"Rear Camera with Flex Cable for iPhone 6 Plus","08/24/18 10:50 AM",25,6,6.94,18.99,18.99,12.49,"09/24/18 08:20 AM",mengtor,8.99,8.5
APL-001-2211,"LCD and Touch Screen Digitizer for iPhone 6s - White (Premium)","09/07/18 03:42 PM",69,71,26.41,64.99,64.99,30.19,"09/24/18 09:19 AM",fixez,0,35.49
APL-001-2211,"LCD and Touch Screen Digitizer for iPhone 6s - White (Premium)","09/07/18 03:42 PM",69,71,26.41,64.99,64.99,30.19,"09/24/18 09:19 AM",etrade_supply,40.87,41.11
APL-001-2136,"LCD and Touch Screen Digitizer for iPhone 6 Plus - White (Aftermarket Premium / Economy Plus)","09/24/18 12:50 PM",444,445,12.25,28.99,28.99,16.39,"09/24/18 09:20 AM",mobile_sentrix,16.41,16.4
APL-001-2203,"LCD and Touch Screen Digitizer for iPhone 6S Plus - Black (Premium)","09/07/18 03:42 PM",31,28,47.06,99.99,99.99,54.99,"09/24/18 09:34 AM",etrade_supply,72.9,73.34
APL-001-2204,"LCD and Touch Screen Digitizer for iPhone 6S Plus - White (Premium)","09/07/18 03:42 PM",53,35,47.06,99.99,99.99,54.99,"09/24/18 09:35 AM",etrade_supply,72.9,73.34
APL-001-2365,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Premium)","09/24/18 12:21 PM",80,30,43.37,99.99,0,54.49,"09/24/18 09:35 AM",etrade_supply,63.03,63.41
