SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
BTY-COV-1745,"Midframe Bezel for Samsung Galaxy S7 - Black","02/09/18 04:16 PM",0,2,8,19.99,0,10.99,"06/22/18 12:00 AM",mobile_sentrix,11.32,11.51
BTY-COV-1746,"Midframe Bezel for Samsung Galaxy S7 - Gold","02/09/18 04:16 PM",0,2,8,19.99,0,10.99,"06/22/18 12:00 AM",mobile_sentrix,11.32,11.51
BTY-COV-1747,"Middle Bezel Frame For Samsung Galaxy S7 Edge - Black","05/31/18 12:28 PM",1,2,6.16,25,0,11.09,"06/22/18 12:00 AM",etrade_supply,24.74,24.46
BTY-COV-1748,"Middle Bezel Frame For Samsung Galaxy S7 Edge - Gold","05/31/18 12:28 PM",1,3,6.16,25,0,0,"06/22/18 12:00 AM",etrade_supply,24.74,24.46
BTY-COV-1749,"Middle Bezel Frame For Samsung Galaxy S7 Edge - White","02/09/18 04:16 PM",0,2,8,25,0,0,"06/22/18 12:20 AM",etrade_supply,24.74,24.46
APL-003-1899,"Sim Card Tray for iPhone 7- Rose Gold","05/15/18 10:50 AM",0,5,0.93,1.99,0,1.29,"06/22/18 12:20 AM",etrade_supply,1.29,1.27
FLX-SAM-1336,"Samsung Galaxy S6 G920 Earpiece ","03/07/18 03:39 PM",0,0,1.19,4.99,3.99,1.59,"06/22/18 12:20 AM",mobile_sentrix,1.55,1.59
FLX-SAM-1595,"Charging Port with Flex Cable for Samsung Galaxy S9 G960U",N/A,0,0,0,9.99,0,0,"06/22/18 12:40 AM",etrade_supply,12.91,12.77
FLX-SAM-1608,"Charging Port with Flex Cable for Samsung Galaxy S9 Plus G965F",N/A,0,0,0,11.99,0,0,"06/22/18 12:40 AM",etrade_supply,13.69,13.54
ACC-ZRT-314,"Phone Repair Spudger","03/30/18 04:50 PM",11,23,0.71,1.99,0.79,0.99,"06/22/18 12:40 AM",fixez,1,0
FLX-SAM-1609,"Charging Port with Flex Cable for Samsung Galaxy S9 Plus",N/A,0,0,0,11.99,0,0,"06/22/18 12:40 AM",etrade_supply,13.7,13.55
APL-003-1886,"Battery for iPhone 8 Plus","05/07/18 01:41 PM",0,0,6.6,54.99,0,28.99,"06/22/18 12:40 AM",mobile_sentrix,18.03,17.92
APL-003-1886,"Battery for iPhone 8 Plus","05/07/18 01:41 PM",0,0,6.6,54.99,0,28.99,"06/22/18 12:40 AM",etrade_supply,36.82,36.42
APL-003-1886,"Battery for iPhone 8 Plus","05/07/18 01:41 PM",0,0,6.6,54.99,0,28.99,"06/22/18 12:40 AM",lcd_loop,27,0
APL-003-1886,"Battery for iPhone 8 Plus","05/07/18 01:41 PM",0,0,6.6,54.99,0,28.99,"06/22/18 12:40 AM",maya_cellular,25.95,17.99
FLX-SAM-1596,"Charging Port with Flex Cable for Samsung Galaxy S9 G960F",N/A,0,0,0,9.99,0,0,"06/22/18 01:00 AM",etrade_supply,13.69,13.54
FLX-SAM-1601,"Battery for Samsung Galaxy S9",N/A,0,0,0,15.99,0,0,"06/22/18 01:00 AM",mobile_sentrix,11.86,11.28
FLX-SAM-1603,"Front Camera with Flex Cable for Samsung Galaxy S9",N/A,0,0,0,4.99,0,0,"06/22/18 01:20 AM",fixez,5.95,0
FLX-SAM-1603,"Front Camera with Flex Cable for Samsung Galaxy S9",N/A,0,0,0,4.99,0,0,"06/22/18 01:20 AM",etrade_supply,8.44,8.35
FLX-SAM-1605,"Sim Card Tray and MicroSD Card Tray for Samsung Galaxy S9 - Black",N/A,0,0,0,2.99,0,0,"06/22/18 01:20 AM",fixez,2.95,0
BTY-SAM-102,"Battery for Samsung Galaxy S9 Plus",N/A,0,0,0,16.99,0,0,"06/22/18 01:40 AM",fixez,15.95,0
BT-BP-30298,"BinTEK Battery for iPhone 8 Plus 2691mAH Li Ion Premium","06/11/18 12:53 PM",47,45,6.6,34.99,0,12.99,"06/22/18 02:00 AM",fixez,23.45,0
BT-BP-30298,"BinTEK Battery for iPhone 8 Plus 2691mAH Li Ion Premium","06/11/18 12:53 PM",47,45,6.6,34.99,0,12.99,"06/22/18 02:00 AM",mobile_sentrix,18.03,17.92
BTY-SAM-104,"Battery for Samsung Galaxy S8","05/04/18 03:05 PM",12,0,5.46,13.99,0,7.99,"06/22/18 02:00 AM",fixez,8.95,0
BTY-SAM-105,"Battery for Samsung Galaxy S8 Plus","05/04/18 03:05 PM",24,0,5.54,13.99,0,7.99,"06/22/18 02:00 AM",fixez,9.95,0
SRN-ASUS-0001,"LCD and Touch Screen Digitizer for Asus Zenfone 3 Deluxe ZS570KL",N/A,0,0,0,199.99,0,137.59,"06/22/18 02:00 AM",fixez,127.5,0
APL-003-1900,"Sim Card Tray for iPhone 7- Silver","05/15/18 10:50 AM",3,2,0.93,1.99,0,1.29,"06/22/18 02:00 AM",etrade_supply,1.29,1.27
APL-003-1900,"Sim Card Tray for iPhone 7- Silver","05/15/18 10:50 AM",3,2,0.93,1.99,0,1.29,"06/22/18 02:00 AM",fixez,1.95,0
FLX-SAM-1619,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Plus - Black",N/A,0,0,0,329.99,0,246.19,"06/22/18 02:20 AM",mengtor,292.99,288.99
