SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
FLX-MOT-372,"Motorola MOTO X XT1060 Back Camera Flex","12/14/15 02:09 PM",0,0,9.05,15.317,12.39,5.99,"11/22/18 12:00 AM",mengtor,5.5,4.99
SRN-MOT-660,"LCD and Touch Screen Digitizer for Motorola Moto Z Droid XT1650-01 - Black","10/18/18 11:57 AM",2,4,65.08,137.96,137.96,101.29,"11/22/18 12:20 AM",mengtor,79.99,78.99
APL-001-2311,"LCD and Touch Screen Digitizer for iPhone 6S Plus - Black (Aftermarket Premium / Economy Plus)","11/20/18 01:15 PM",231,155,14,47.99,79.99,17.99,"11/22/18 03:20 AM",maya_cellular,15.95,15.45
APL-001-2310,"LCD and Touch Screen Digitizer for iPhone 6S Plus - White (Aftermarket Premium / Economy Plus)","11/20/18 02:28 PM",442,336,14,47.99,79.99,17.99,"11/22/18 03:20 AM",maya_cellular,16.95,15.95
SRN-SAM-1389,"LCD and Touch Screen Digitizer for Galaxy Note 5 - Gold Platinum (Standard) (No Logo)","11/14/18 04:16 PM",3,3,111.39,199.99,147.89,134.99,"11/22/18 03:20 AM",cell_parts_hub,135,130
APL-001-2094,"LCD and Touch Screen Digitizer for iPhone 6 Plus - White (Premium)","11/02/18 02:37 PM",19,49,34.61,99.95,99.95,45.69,"11/22/18 09:40 AM",etrade_supply,53.77,52.31
APL-003-1563,"Charging Port Flex Cable for iPad Mini 4 ","08/15/18 12:53 PM",1,10,1.98,8.645,3.99,3.99,"11/22/18 12:20 PM",etrade_supply,4.83,3.65
APL-001-2182,"Touch Screen Digitizer and IC Control Circuit Logic Board Flex Cable for iPad mini 3 - Black - Grade A",N/A,0,0,0,17.6,0,0,"11/22/18 12:40 PM",etrade_supply,12.86,10.71
APL-003-1721,"Rear Camera Flex Cable for iPhone SE","10/18/18 11:57 AM",0,9,7.55,39.99,23.01,23.01,"11/22/18 01:00 PM",etrade_supply,11.3,9.89
APL-001-1256,"Front Screen Glass for iPhone 6 Plus - Black","01/19/16 11:25 AM",0,144,2.01,4.52,3.39,0.69,"11/22/18 04:01 PM",etrade_supply,3.51,0
APL-001-2093,"LCD and Touch Screen Digitizer for iPhone 6 Plus - Black (Premium)","10/18/18 09:40 AM",13,38,35.88,99.95,99.95,45.69,"11/22/18 04:02 PM",etrade_supply,53.77,0
APL-001-2109,"LCD Backlight Film for iPhone 5C 5S (Premium)","04/25/16 04:04 PM",0,47,1.53,3.528,2.79,1.59,"11/22/18 04:03 PM",etrade_supply,2.04,0
APL-003-1452,"Loudspeaker Module for iPhone 5S SE","10/18/18 11:57 AM",1,20,0.77,4.5675,3.39,1.39,"11/22/18 10:40 PM",etrade_supply,1.09,0.74
APL-003-1508,"Volume Flex Cable with Volume Button and Mute Switch Connector for iPhone 6 Plus","09/25/18 04:36 PM",1,3,1.48,3.99,4.49,1.89,"11/22/18 11:20 PM",etrade_supply,2.92,2.19
