SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
APL-003-1736,"Rear Camera for iPhone 7 Plus","11/20/18 12:12 PM",3,6,69.02,130.99,130.99,89.99,"12/21/18 05:20 AM",mobile_sentrix,92.15,90.33
APL-003-1736,"Rear Camera for iPhone 7 Plus","11/20/18 12:12 PM",3,6,69.02,130.99,130.99,89.99,"12/21/18 05:20 AM",fixez,0,87.49
APL-001-0776,"LCD Screen for iPad Air / iPad 5 (2017)","12/04/18 03:51 PM",14,17,31.02,80.84,80.84,41.09,"12/21/18 10:20 AM",mobile_sentrix,41.72,42.67
ACC-ZRT-511,"LCD Bezel Frame Adhesive Tape for iPhone 7(4.7 inches) - Black","12/13/18 01:38 PM",18,0,0.91,1.99,0,0.99,"12/21/18 01:00 PM",mobile_sentrix,0.53,0.44
FLX-SAM-1360,"Loudspeaker for Samsung Galaxy S5","09/08/17 12:45 PM",0,4,0.6,4.347,3.59,0.99,"12/21/18 02:21 PM",cell_parts_hub,0,2.99
BTY-COV-1702,"Rear Battery Cover for Samsung Galaxy S7 - Black Onyx (Standard)","09/25/18 04:36 PM",12,31,2.52,8.99,0,4.99,"12/21/18 08:41 PM",mobile_sentrix,5.75,5.77
BTY-COV-1712,"Rear Battery Cover for Samsung Galaxy Note 5 - Gold (Standard)","12/14/18 10:00 AM",4,27,2.73,11.06,0,6.29,"12/21/18 09:40 PM",mobile_sentrix,5.8,5.77
APL-003-1788,"Charging Port Flex Cable for iPhone 8 Plus - Black","10/18/18 11:57 AM",7,0,4.31,34.99,34.99,18.99,"12/21/18 10:00 PM",mengtor,16.99,15.99
APL-003-1789,"Charging Port Flex Cable for iPhone 8 Plus - Gold","10/18/18 11:57 AM",10,5,4.31,34.99,34.99,18.99,"12/21/18 10:00 PM",mengtor,16.99,15.99
APL-003-1789,"Charging Port Flex Cable for iPhone 8 Plus - Gold","10/18/18 11:57 AM",10,5,4.31,34.99,34.99,18.99,"12/21/18 10:01 PM",etrade_supply,23.47,20.86
APL-003-1790,"Rear Camera Module for iPhone 8 Plus ","07/27/18 04:39 PM",2,0,55.72,109.99,109.99,69.99,"12/21/18 10:01 PM",mobile_sentrix,33.35,31.29
APL-003-1800,"Charging Port Flex Cable for iPhone 8 - Grey","12/19/18 10:10 AM",11,4,4.15,25.99,25.99,15.99,"12/21/18 10:40 PM",mengtor,10.5,9.99
APL-003-1802,"Rear Camera for iPhone 8","12/19/18 05:05 PM",4,6,43.69,109.89,109.89,67.89,"12/21/18 11:00 PM",mobile_sentrix,33.35,31.29
FLX-SAM-1568,"Charging Port Flex Cable for Samsung Galaxy Note 8 N950F","08/15/18 12:53 PM",0,17,5.4,15.99,15.99,8.09,"12/21/18 11:40 PM",mobile_sentrix,7.89,7.21
