SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
SRN-MOT-670,"LCD and Digitizer Replacement for Motorola Moto G3 - White",N/A,0,0,0,28.99,0,18.99,"12/10/18 12:41 AM",mengtor,12.5,0
APL-003-1314,"Charging Port and Headphone Jack Flex Assembly for iPhone 5c","12/04/18 03:51 PM",5,16,1.96,4.93,4.93,2.49,"12/10/18 01:40 AM",mobile_sentrix,2.08,2.06
APL-001-0732,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Aftermarket Premium / Economy Plus)","12/03/18 02:31 PM",78,85,7.5,19.99,19.99,9.89,"12/10/18 02:20 AM",mobile_sentrix,9.94,9.93
APL-001-2089,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Premium)","10/18/18 09:40 AM",20,54,13.02,44.99,44.99,14.59,"12/10/18 02:40 AM",mobile_sentrix,15.57,15.6
APL-003-1228,"LCD and Touch Screen Tester Flex Cable for iPhone 5","04/06/18 11:20 AM",0,41,2.41,6.14,4.59,2.79,"12/10/18 04:21 AM",mobile_sentrix,2.08,1.9
APL-003-1368,"LCD Touch Screen Tester Flex Cable for iPhone 5","10/04/16 12:27 PM",0,3,1.84,4.61,3.39,2.49,"12/10/18 05:01 AM",mobile_sentrix,2.08,1.9
APL-001-2299,"LCD and Touch Screen Digitizer for iPhone 6S - White (Aftermarket Premium / Economy Plus)","12/10/18 11:45 AM",369,438,11,44.99,44.99,14.29,"12/10/18 06:00 AM",mobile_sentrix,18.8,18.81
APL-001-0411,"LCD and Touch Screen Digitizer for iPhone 5 - White (Aftermarket Premium / Economy Plus)","11/29/18 04:56 PM",20,36,7.5,16.99,16.99,9.89,"12/10/18 06:01 AM",mobile_sentrix,9.98,9.99
SRN-HUA-153,"LCD and Touch Screen Digitizer with Frame for Huawei Nexus 6P H1511 H1512 - Black","05/11/17 01:58 PM",0,0,110.05,135.47,126.97,119.99,"12/10/18 07:00 AM",mengtor,60.99,59.99
APL-001-0462,"LCD Screen for iPad 2","11/14/18 04:45 PM",1,5,28.2,47.69,47.69,43.79,"12/10/18 08:20 AM",mobile_sentrix,38.14,48.9
APL-003-1152,"LCD Power Switch Key Connection Board (3G Version) for iPad 2","02/21/17 02:31 PM",0,6,9.48,16.371,13.19,5.49,"12/10/18 08:20 AM",fixez,11.49,0
APL-003-0978,"Power On Off Volume Flex Cable for iPad 3","10/24/18 04:07 PM",2,3,1.46,4.117,3.39,1.69,"12/10/18 09:00 AM",fixez,3.49,0
APL-001-2289,"LCD and Touch Screen Digitizer for iPhone 6 Plus - Black (Aftermarket)","04/25/18 12:36 PM",0,100,12.25,16.99,29.99,13.69,"12/10/18 09:34 AM",mengtor,14.59,14.2
APL-001-2426,"LCD and Touch Screen Digitizer for iPhone 6S - White (Aftermarket)","11/02/18 02:37 PM",0,4,11.54,16.79,0,13.69,"12/10/18 09:34 AM",mengtor,13.99,13.6
APL-001-2288,"LCD and Touch Screen Digitizer for iPhone 6 Plus - White (Aftermarket)","11/02/18 02:37 PM",0,105,11.98,16.99,29.99,13.69,"12/10/18 09:35 AM",mengtor,14.59,14.2
APL-001-2428,"LCD and Touch Screen Digitizer for iPhone 6S Plus - White (Aftermarket)","11/02/18 02:37 PM",0,105,14.61,19.99,0,16.49,"12/10/18 09:35 AM",mengtor,17.5,17.2
APL-001-2430,"LCD and Touch Screen Digitizer for iPhone 7 - White (Aftermarket)","11/02/18 02:37 PM",0,104,11.83,17.39,0,14.59,"12/10/18 09:35 AM",mengtor,14.99,14.6
