SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-SAM-703,"Earpiece Speaker Proximity Sensor Flex Cable for Samsung Galaxy S4",167,0,0.00,0.00,0.00,0.00,3.9500,,1.4900,1.02,3.49,0.99,0.00,1.76,,,,
FLX-SAM-704,"Home Button for Samsung Galaxy S3 - White",87,0,0.00,0.00,0.00,0.00,2.9500,0.8900,0.9900,0.00,,0.00,0.00,,,,,
FLX-SAM-705,"Sim Card Memory SD Card Flex Cable for Samsung Galaxy Note 2 Rev 0.8",0,1,15.00,6.50,1.36,2.52,5.7200,4.1900,0.9900,,,,0.00,,,,,
FLX-SAM-706,"Loudspeaker Buzzer for Samsung Galaxy Note - Black",27,0,0.00,0.00,0.00,0.00,11.9500,9.9900,0.9900,,,0.00,,,,,,
FLX-SAM-707,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i9500 USB ",4,0,12.00,6.32,1.01,2.06,6.2300,4.5700,3.4900,3.77,,,1.99,4.95,,,,
FLX-SAM-708,"Power Volume Flex Cable for Samsung Galaxy Tab 7.0",17,0,0.00,0.00,0.00,0.00,11.9500,9.9900,0.9900,,,0.00,,,,,,
FLX-SAM-710,"Headphone Audio Jack Flex Cable for Samsung Galaxy S4",137,0,0.00,0.00,0.00,0.00,10.9500,8.9900,0.9900,1.18,6.99,,0.00,0.00,,,,
FLX-SAM-713,"Keypad Button Flex Cable for Samsung Galaxy Tab 7.0 REV 0.5",17,0,0.00,0.00,0.00,0.00,14.9500,12.9900,0.9900,,,0.00,,,,,,
FLX-SAM-715,"Samsung Galaxy S3 i9300 T999 i747 i535 L710  Power Volume - Black",15,0,3.00,6.12,1.44,0.73,1.8250,1.5900,0.0000,,,,,0.44,,,,
FLX-SAM-716,"Home Button for Samsung Galaxy S4 - Black Mist",25,0,2.00,6.43,1.47,0.54,1.3500,1.1900,0.9900,0.98,1.49,0.00,0.00,0.65,,,,3.99
FLX-SAM-717,"Home Button for Samsung Galaxy S3 - Red",11,0,0.00,0.00,0.00,0.00,2.9500,0.9900,0.9900,,,0.40,,1.07,,,,
FLX-SAM-718,"Sim Card Flex Cable for Samsung Galaxy Note 8.0 Tablet REV 0.5",15,0,0.00,0.00,0.00,0.00,12.9500,10.9900,0.9900,0.00,,,,0.00,,,,
FLX-SAM-720,"Home Button for Samsung Galaxy S3 - Black",8,0,3.00,6.50,1.72,0.73,1.8500,1.5900,0.5900,,,0.40,0.00,0.87,,,,
FLX-SAM-722,"Home Button for Samsung Galaxy S3 - Blue",241,0,0.00,0.00,0.00,0.00,2.9500,0.8900,0.9900,1.46,,0.00,0.00,0.88,,,,
FLX-SAM-723,"Samsung Galaxy Note 10.1 Tablet N8000 Power Volume Flex Cable REV 1.0",3,0,0.00,0.00,0.00,0.00,5.9500,3.4900,0.9900,1.59,,,,0.00,,,,
