SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-LGM-146,"LG Optimus Black P970 Charging Port Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.1900,0.0000,,,0.99,,,,,,
FLX-SAM-426,"Galaxy S3 i747 T999 Sim Card SD Memory Card Flex Cable",10.00,6.60,1.44,1.73,4.0480,3.2900,0.0000,3.49,,,,,,,,
FLX-SAM-432,"Samsung Galaxy S2 i9100 Loudspeaker Buzzer with Antenna",0.00,0.00,0.00,0.00,7.9500,5.3900,0.0000,,,1.99,,,,,,
FLX-SAM-450,"Samsung Galaxy Nexus i9250 Loudspeaker Buzzer",0.00,0.00,0.00,0.00,5.9500,3.8900,0.0000,,,3.99,,,,,,
SRN-SAM-168,"Samsung Galaxy Note 2 Replacement Front Glass - Gray",18.00,6.60,2.48,3.10,6.5700,4.8900,0.0000,4.00,7.99,2.99,3.49,,,,,
SRN-SAM-174,"Samsung Galaxy Note 2 Replacement Front Glass - White",15.00,6.88,0.15,2.20,3.9330,3.1900,0.0000,3.00,7.99,,2.99,,,,,
FLX-SAM-456,"Samsung Galaxy Note 2 N7100 Charging Port Flex Cable",15.00,6.50,1.36,2.52,5.6250,4.1900,0.0000,,7.99,3.50,4.49,,,,,
FLX-SAM-468,"Galaxy Note 2 N7100 i317 i605 L900 T889 Loudspeaker - White",15.00,6.50,2.30,2.66,5.9900,4.3900,0.0000,,,1.48,2.49,,,,,
FLX-SAM-486,"Samsung Galaxy Note i717 Loudspeaker Buzzer",12.00,6.12,0.82,2.09,4.7025,3.4900,0.0000,,,1.50,,,,,,
FLX-SAM-498,"Samsung Galaxy S2 i727 Keypad Flex Cable",10.00,6.85,1.96,1.75,4.2090,3.3900,0.0000,,,2.50,,,,,,
FLX-SAM-504,"Samsung Galaxy S2 i727 Sim Card Memory SD Card Flex Cable",10.00,6.85,1.23,1.64,4.3240,3.4900,0.0000,,,0.99,,,,,,
FLX-SAM-516,"Samsung Galaxy S2 D710 Keypad Flex Cable",14.00,6.13,0.70,2.40,5.4000,3.9900,0.0000,,,1.50,,,,,,
FLX-SAM-522,"Samsung Galaxy S2 T989 Loudspeaker Buzzer",10.00,6.13,0.70,1.75,4.0250,3.2900,0.0000,,,1.99,,,,,,
FLX-SAM-528,"Samsung Galaxy S2 T989 Sim Card Memory SD Card Flex Cable",15.00,6.50,2.17,2.64,5.7600,4.2900,0.0000,,,1.50,,,,,,
SRN-SAM-186,"Samsung Galaxy S3 Glass - Pebble Blue",15.00,6.88,0.15,2.20,3.9500,3.9900,0.0000,3.00,7.99,,,,,,,
SRN-SAM-192,"Samsung Galaxy S3 Glass - White",7.00,6.89,2.32,1.35,4.2300,3.4900,0.0000,3.00,7.99,1.50,4.49,,,,,
SRN-SAM-198,"Samsung Galaxy S3 Glass - Red",0.00,0.00,0.00,0.00,4.9500,3.9900,0.0000,,,1.50,1.49,,,,,
FLX-SAM-540,"Samsung Galaxy S3 T999 i747 i535 L710 Keypad Flex Cable",5.00,6.32,4.19,1.45,3.4800,2.6900,0.0000,1.89,,,0.99,,,,,
SRN-SAM-204,"Galaxy S3 T999 i747 i535 L710 LCD + Touch Screen Digitizer - Red",370.00,6.70,7.05,56.28,75.9800,69.2900,0.0000,,,67.50,,,,,,
SRN-SAM-210,"Galaxy S3 T999 i747 i535 L710 LCD + Touch Screen Digitizer - Black",330.00,6.85,7.64,49.29,70.1200,63.8900,0.0000,,,0.00,64.99,,,,,
FLX-SAM-546,"Samsung Galaxy S 4G T959V Audio Headphone Jack Flex Cable",0.00,0.00,0.00,0.00,4.9500,2.9900,0.0000,,,0.99,,,,,,
FLX-SAM-558,"Samsung Galaxy Tab 2 10.1&quot; P5100 P5113 Audio Headphone Jack Flex Cable",12.00,6.14,2.16,2.31,5.1975,3.8900,0.0000,3.99,,,,,,,,
FLX-SAM-564,"Samsung Galaxy Tab 2 10.1&quot; P5100 P5113 LCD Screen Flex Cable",10.00,6.85,2.17,1.78,4.0900,3.2900,0.0000,3.10,7.99,,,,,,,
FLX-SAM-594,"Samsung Galaxy Note i717 Sim Card Memory SD Card Flex Cable",18.00,6.50,2.30,3.12,6.5500,5.1900,0.0000,,,1.50,,,,,,
FLX-SAM-600,"Samsung Galaxy Note 2 N7100 i317 T889 i605 Headphone Jack Earpiece Flex Cable",8.00,6.85,3.59,1.69,3.5800,2.7900,0.0000,,,1.50,2.99,,,,,
FLX-SAM-612,"Samsung Sidekick 4G T839 Motherboard Slide Flex Cable",0.00,0.00,0.00,0.00,13.9500,11.9900,0.0000,,,2.50,,,,,,
FLX-SAM-618,"Samsung Stratosphere i405 Keypad Flex Cable",0.00,0.00,0.00,0.00,6.9500,4.0900,0.0000,,,0.99,,,,,,
BTY-COV-006,"Samsung Galaxy S3 i535 Back Battery Door Cover - White",0.00,0.00,0.00,0.00,6.9500,2.8900,0.0000,,6.99,,1.99,,,,,
BTY-COV-018,"Samsung Galaxy S3 L710 Back Battery Door Cover - White",7.00,6.85,3.03,1.46,3.2160,2.4900,0.0000,,6.99,,1.99,,,,,
