"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
N/A,,369.23,0.00,369.23,5830688426,"Received 11/30/-0001"
N/A,,151.52,0.00,520.75,PO20035/4657364784,"Received 11/30/-0001"
N/A,,136.36,0.00,657.11,LBB070116/4657466166,"Received 11/30/-0001"
N/A,,136.36,0.00,793.47,PO20035/6304267395,"Received 11/30/-0001"
N/A,,83.33,0.00,876.81,PO20035/4027382741,"Received 11/30/-0001"
N/A,,136.36,0.00,"1,013.17",PO513/1,"Received 11/30/-0001"
"01/05/15 12:00 AM",,0.00,"30,000.00","-28,986.83",,"Bank Wire Transfer"
"01/08/15 12:00 AM",,0.00,"30,000.00","-58,986.83",,
"01/13/15 12:00 AM",,0.00,"30,000.00","-88,986.83",,
"01/16/15 12:00 AM",,0.00,"25,000.00","-113,986.83",,
"01/27/15 12:00 AM",,"3,954.92",0.00,"-110,031.91",1195916116,"Received 01/18/2015"
"01/20/15 12:00 AM",,0.00,"30,000.00","-140,031.91",,
"02/04/15 10:57 AM",,"4,638.85",0.00,"-135,393.06",2601229551,"Received 01/21/2015"
"01/27/15 11:32 PM",,"4,109.48",0.00,"-131,283.58",3719442775,"Received 01/27/2015"
"01/27/15 12:00 AM",,0.00,"30,000.00","-161,283.58",,
"02/04/15 01:36 PM",,"2,485.29",0.00,"-158,798.29",1ZE5F0600446888443,"Received 01/28/2015"
"02/03/15 11:21 AM",,"6,299.02",0.00,"-152,499.27",1666629473,"Received 01/29/2015"
"02/03/15 11:17 AM",,"4,027.78",0.00,"-148,471.49",2179619234,"Received 01/29/2015"
"01/29/15 12:00 AM",,0.00,"40,000.00","-188,471.49",,
"02/03/15 11:31 AM",,"3,464.05",0.00,"-185,007.44",6185923321,"Received 02/01/2015"
"02/03/15 03:05 PM",,"3,866.01",0.00,"-181,141.43",6185921243,"Received 02/01/2015"
"02/04/15 03:10 PM",,"6,704.90",0.00,"-174,436.52",6185927171,"Received 02/01/2015"
"02/11/15 11:26 AM",,"2,646.57",0.00,"-171,789.95",1ZE5F0600447203840,"Received 02/02/2015"
"02/04/15 04:42 PM",,"7,281.05",0.00,"-164,508.91",4295045565,"Received 02/03/2015"
"02/05/15 12:29 PM",,"7,094.44",0.00,"-157,414.46",4295046755,"Received 02/03/2015"
"02/04/15 03:40 PM",,"6,710.78",0.00,"-150,703.68",4295049054-1,"Received 02/03/2015"
"02/04/15 03:52 PM",,"6,257.35",0.00,"-144,446.33",4295050524,"Received 02/03/2015"
"02/06/15 04:17 PM",,"1,755.88",0.00,"-142,690.44",3039152410,"Received 02/03/2015"
"02/03/15 12:00 AM",,0.00,"40,000.00","-182,690.44",,
"02/09/15 03:17 PM",,"3,922.39",0.00,"-178,768.06",2659947695,"Received 02/05/2015"
"02/05/15 02:48 PM",,"3,806.05",0.00,"-174,962.01",3039141501,"Received 02/05/2015"
"02/06/15 02:20 PM",,"6,646.24",0.00,"-168,315.77",5334386886,"Received 02/05/2015"
"02/09/15 03:57 PM",,"5,927.29",0.00,"-162,388.48",2659952223,"Received 02/05/2015"
"02/05/15 12:00 AM",,0.00,"40,000.00","-202,388.48",,
"02/06/15 03:37 PM",,"6,707.52",0.00,"-195,680.97",5334384790,"Received 02/06/2015"
"02/09/15 02:45 PM",,"6,734.53",0.00,"-188,946.44",4038874420,"Received 02/09/2015"
"02/10/15 04:21 PM",,"8,195.85",0.00,"-180,750.59",6501691140,"Received 02/09/2015"
"02/10/15 12:41 PM",,"3,843.65",0.00,"-176,906.95",1738753096,"Received 02/09/2015"
"02/10/15 01:45 PM",,"2,996.74",0.00,"-173,910.20",1738752422,"Received 02/09/2015"
"02/12/15 02:44 PM",,778.66,0.00,"-173,131.54",3804150081,"Received 02/10/2015"
"02/12/15 02:32 PM",,"3,597.72",0.00,"-169,533.82",3804122744,"Received 02/10/2015"
"02/12/15 12:52 PM",,"3,460.91",0.00,"-166,072.91",3804126045,"Received 02/10/2015"
"02/16/15 02:07 PM",,"7,560.26",0.00,"-158,512.65",1926926573,"Received 02/10/2015"
"02/10/15 12:00 AM",,0.00,"45,000.00","-203,512.65",,
"02/13/15 12:54 PM",,"2,403.91",0.00,"-201,108.74",1926930946,"Received 02/11/2015"
"02/16/15 03:48 PM",,"10,089.58",0.00,"-191,019.16",3793773060,"Received 02/16/2015"
"02/16/15 04:20 PM",,"6,026.06",0.00,"-184,993.10",3093765920,"Received 02/16/2015"
"02/16/15 03:49 PM",,"5,846.91",0.00,"-179,146.20",3793758721,"Received 02/16/2015"
"02/18/15 04:23 PM",,0.00,0.00,"-179,146.20",1ZAY72430450978814,"Received 02/18/2015"
"02/27/15 12:00 AM",,0.00,"13,000.00","-192,146.20",,
"03/01/15 12:00 AM",,"192,705.52",0.00,559.32,,
"03/06/15 02:48 PM",,"13,311.07",0.00,"13,870.40",8981666374-1,"Received 03/02/2015"
"03/02/15 12:00 AM",,0.00,"40,000.00","-26,129.60",,
"03/02/15 12:00 AM","Lost 4 Package Shipping",260.58,0.00,"-25,869.02",,
"03/06/15 02:22 PM",,"2,042.83",0.00,"-23,826.19",7504356930,"Received 03/03/2015"
"03/06/15 01:11 PM",,"7,586.32",0.00,"-16,239.87",7504372503,"Received 03/03/2015"
"03/03/15 12:00 AM","4 Lost shipments","25,363.19",0.00,"9,123.32",,
"03/06/15 01:35 PM",,"7,181.60",0.00,"16,304.92",7504370204-1,"Received 03/04/2015"
"03/06/15 03:28 PM",,"1,549.01",0.00,"17,853.92",3795930095-1,"Received 03/06/2015"
"03/06/15 02:03 PM",,"7,252.44",0.00,"25,106.37",3795748202,"Received 03/06/2015"
"03/06/15 02:14 PM",,"10,172.64",0.00,"35,279.01",3795745575-1,"Received 03/06/2015"
"03/06/15 12:00 AM",,0.00,"30,000.00","5,279.01",,
"03/11/15 12:19 PM",,"6,319.22",0.00,"11,598.22",1709087041,"Received 03/08/2015"
"03/11/15 11:45 AM",,"6,394.14",0.00,"17,992.36",7725913425,"Received 03/09/2015"
"03/11/15 12:05 PM",,"2,603.26",0.00,"20,595.62",7725913952,"Received 03/09/2015"
"03/11/15 03:07 PM",,"1,202.04",0.00,"21,797.65",4339751242,"Received 03/10/2015"
"03/11/15 02:18 PM",,"10,666.94",0.00,"32,464.59",4339748442,"Received 03/10/2015"
"03/11/15 12:50 PM",,"5,175.08",0.00,"37,639.67",4339753062,"Received 03/10/2015"
"03/11/15 01:27 PM",,"2,058.31",0.00,"39,697.98",9578117065,"Received 03/10/2015"
"03/13/15 01:53 PM",,"1,268.97",0.00,"40,966.95",3415899771,"Received 03/10/2015"
"03/13/15 01:47 PM",,"2,896.74",0.00,"43,863.70",3415913056,"Received 03/10/2015"
"03/13/15 12:19 PM",,"3,566.78",0.00,"47,430.47",3415902420,"Received 03/10/2015"
"03/13/15 12:15 PM",,"3,542.35",0.00,"50,972.82",3415896562,"Received 03/10/2015"
"03/10/15 12:00 AM",,0.00,"40,000.00","10,972.82",,
"03/16/15 12:32 PM",,"3,127.04",0.00,"14,099.85",1816568051,"Received 03/11/2015"
"03/16/15 12:50 PM",,"3,876.22",0.00,"17,976.07",1816562425,"Received 03/11/2015"
"03/16/15 04:37 PM",,"5,639.25",0.00,"23,615.33",1816565645,"Received 03/11/2015"
"03/16/15 02:16 PM",,"6,378.66",0.00,"29,993.99",1816570895,"Received 03/11/2015"
"03/16/15 02:53 PM",,"6,872.96",0.00,"36,866.95",2449449741,"Received 03/12/2015"
"03/16/15 12:13 PM",,"2,821.66",0.00,"39,688.62",2449419711,"Received 03/12/2015"
"03/16/15 12:59 PM",,"3,000.81",0.00,"42,689.43",2449442870,"Received 03/12/2015"
"03/17/15 12:20 PM",,"2,939.74",0.00,"45,629.17",2449445250,"Received 03/12/2015"
"03/13/15 12:00 AM",,0.00,"40,000.00","5,629.17",,
"03/16/15 01:22 PM",,"5,643.32",0.00,"11,272.49",6772202673,"Received 03/15/2015"
"03/16/15 12:23 PM",,"1,807.82",0.00,"13,080.31",6772196756,"Received 03/15/2015"
"03/16/15 12:52 PM",,"2,873.78",0.00,"15,954.09",6772199280,"Received 03/15/2015"
"03/18/15 10:49 AM",,"6,660.08",0.00,"22,614.17",8584678686,"Received 03/15/2015"
"03/17/15 03:02 PM",,"1,905.04",0.00,"24,519.21",8584678502,"Received 03/16/2015"
"03/23/15 04:29 PM",,439.84,0.00,"24,959.05",6639315082,"Received 03/16/2015"
"03/23/15 03:31 PM",,"3,800.81",0.00,"28,759.86",6639318033,"Received 03/16/2015"
