"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
N/A,,276.92,0.00,276.92,1954751525,"Received 11/30/-0001"
N/A,,153.85,0.00,430.77,1954750895,"Received 11/30/-0001"
N/A,,84.62,0.00,515.38,1954749274,"Received 11/30/-0001"
N/A,,84.62,0.00,600.00,1954748611,"Received 11/30/-0001"
N/A,,84.62,0.00,684.62,1954749812,"Received 11/30/-0001"
N/A,,276.92,0.00,961.54,6045668926,"Received 11/30/-0001"
N/A,,84.62,0.00,"1,046.15",6045675016,"Received 11/30/-0001"
N/A,,53.85,0.00,"1,100.00",6045678052,"Received 11/30/-0001"
"01/05/15 12:00 AM",,0.00,"30,000.00","-28,900.00",,"Bank Wire Transfer"
"01/08/15 09:13 PM",,327.87,0.00,"-28,572.13",7923885815,"Received 01/08/2015"
"01/08/15 09:13 PM",,163.93,0.00,"-28,408.20",7923888092,"Received 01/08/2015"
"01/08/15 12:00 AM",,0.00,"30,000.00","-58,408.20",,
"01/11/15 09:24 PM",,98.36,0.00,"-58,309.84",2177053454,"Received 01/11/2015"
"01/11/15 09:24 PM",,"6,434.75",0.00,"-51,875.08",2177022024,"Received 01/11/2015"
"01/11/15 09:24 PM",,"5,984.43",0.00,"-45,890.66",2176838812,"Received 01/11/2015"
"01/11/15 09:42 PM",,459.02,0.00,"-45,431.64",2441491614,"Received 01/11/2015"
"01/11/15 09:42 PM",,98.36,0.00,"-45,333.28","2441477636	","Received 01/11/2015"
"01/11/15 09:43 PM",,65.57,0.00,"-45,267.70",2441477054,"Received 01/11/2015"
"01/11/15 10:11 PM",,180.33,0.00,"-45,087.38",2441491113,"Received 01/11/2015"
"01/12/15 08:15 AM",,0.00,0.00,"-45,087.38",2666405033,"Received 01/12/2015"
"01/12/15 08:15 AM",,278.69,0.00,"-44,808.69",1030939394,"Received 01/12/2015"
"01/12/15 08:15 AM",,344.26,0.00,"-44,464.43",1030956216,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,398.85",1030948052,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,333.28",5131091490,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,267.70",5131094905,"Received 01/12/2015"
"01/12/15 08:15 AM",,278.69,0.00,"-43,989.02",---------------!!!!,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-43,923.44",2605911254,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-43,857.87",2605912831,"Received 01/12/2015"
"01/12/15 09:50 PM",,98.36,0.00,"-43,759.51",1837735244,"Received 01/12/2015"
"01/12/15 10:01 PM",,98.36,0.00,"-43,661.15",1837740726,"Received 01/12/2015"
"01/13/15 10:41 PM",,180.33,0.00,"-43,480.82",2734021765,"Received 01/13/2015"
"01/13/15 10:53 PM",,98.36,0.00,"-43,382.46",2734028065,"Received 01/13/2015"
"01/13/15 12:00 AM",,0.00,"30,000.00","-73,382.46",,
"01/15/15 10:10 PM",,295.08,0.00,"-73,087.38",4291980254,"Received 01/15/2015"
"01/15/15 10:26 PM",,180.33,0.00,"-72,907.05",4291977314,"Received 01/15/2015"
"01/16/15 12:00 AM",,0.00,"25,000.00","-97,907.05",,
"01/18/15 09:30 PM",,"2,131.97",0.00,"-95,775.08",1195920143,"Received 01/18/2015"
"01/27/15 12:00 AM",,"3,954.92",0.00,"-91,820.16",1195916116,"Received 01/18/2015"
"01/20/15 12:00 AM",,0.00,"30,000.00","-121,820.16",,
"02/04/15 10:57 AM",,"4,638.85",0.00,"-117,181.31",2601229551,"Received 01/21/2015"
"01/27/15 11:32 PM",,"4,109.48",0.00,"-113,071.83",3719442775,"Received 01/27/2015"
"01/27/15 12:00 AM",,0.00,"30,000.00","-143,071.83",,
"02/04/15 01:36 PM",,"2,485.29",0.00,"-140,586.54",1ZE5F0600446888443,"Received 01/28/2015"
"02/03/15 11:21 AM",,"6,299.02",0.00,"-134,287.52",1666629473,"Received 01/29/2015"
"02/10/15 02:14 PM",,"4,012.25",0.00,"-130,275.27",2179622804,"Received 01/29/2015"
"02/03/15 11:17 AM",,"4,027.78",0.00,"-126,247.49",2179619234,"Received 01/29/2015"
"01/29/15 12:00 AM",,0.00,"40,000.00","-166,247.49",,
"02/03/15 11:31 AM",,"3,464.05",0.00,"-162,783.44",6185923321,"Received 02/01/2015"
"02/03/15 03:05 PM",,"3,866.01",0.00,"-158,917.42",6185921243,"Received 02/01/2015"
"02/04/15 03:10 PM",,"6,704.90",0.00,"-152,212.52",6185927171,"Received 02/01/2015"
"02/11/15 11:26 AM",,"2,646.57",0.00,"-149,565.95",1ZE5F0600447203840,"Received 02/02/2015"
"02/04/15 04:42 PM",,"7,281.05",0.00,"-142,284.91",4295045565,"Received 02/03/2015"
"02/05/15 12:29 PM",,"7,094.44",0.00,"-135,190.46",4295046755,"Received 02/03/2015"
"02/04/15 03:40 PM",,"6,710.78",0.00,"-128,479.68",4295049054-1,"Received 02/03/2015"
"02/04/15 03:52 PM",,"6,257.35",0.00,"-122,222.32",4295050524,"Received 02/03/2015"
"02/06/15 04:17 PM",,"1,755.88",0.00,"-120,466.44",3039152410,"Received 02/03/2015"
