"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
N/A,,54.43,0.00,54.43,"1531277716-BUYBACK 27","Received 11/30/-0001"
N/A,,85.54,0.00,139.97,"1531274054-BUYBACK 34","Received 11/30/-0001"
N/A,,85.54,0.00,225.51,"1531272175-BUYBACK 13","Received 11/30/-0001"
N/A,,85.54,0.00,311.04,"1531268395-BUYBACK 17","Received 11/30/-0001"
N/A,,54.43,0.00,365.47,1531266505,"Received 11/30/-0001"
N/A,,147.74,0.00,513.22,4964890420,"Received 11/30/-0001"
N/A,,85.54,0.00,598.76,"6861410426-BUYBACK 37","Received 11/30/-0001"
N/A,,85.54,0.00,684.29,"6861406123-BUYBACK 10","Received 11/30/-0001"
N/A,,85.54,0.00,769.83,"6861403780-BUYBACK 16","Received 11/30/-0001"
N/A,,85.54,0.00,855.37,"6861401466-BUYBACK 11","Received 11/30/-0001"
N/A,,85.54,0.00,940.90,6861399252,"Received 11/30/-0001"
"01/05/15 12:00 AM",,0.00,"30,000.00","-29,059.10",,"Bank Wire Transfer"
"01/08/15 09:13 PM",,327.87,0.00,"-28,731.23",7923885815,"Received 01/08/2015"
"01/08/15 09:13 PM",,163.93,0.00,"-28,567.29",7923888092,"Received 01/08/2015"
"01/08/15 12:00 AM",,0.00,"30,000.00","-58,567.29",,
"01/11/15 09:24 PM",,98.36,0.00,"-58,468.93",2177053454,"Received 01/11/2015"
"01/11/15 09:24 PM",,"6,434.75",0.00,"-52,034.18",2177022024,"Received 01/11/2015"
"01/11/15 09:24 PM",,"5,984.43",0.00,"-46,049.75",2176838812,"Received 01/11/2015"
"01/11/15 09:42 PM",,459.02,0.00,"-45,590.74",2441491614,"Received 01/11/2015"
"01/11/15 09:42 PM",,98.36,0.00,"-45,492.38","2441477636	","Received 01/11/2015"
"01/11/15 09:43 PM",,65.57,0.00,"-45,426.80",2441477054,"Received 01/11/2015"
"01/11/15 10:11 PM",,180.33,0.00,"-45,246.48",2441491113,"Received 01/11/2015"
"01/12/15 08:15 AM",,0.00,0.00,"-45,246.48",2666405033,"Received 01/12/2015"
"01/12/15 08:15 AM",,278.69,0.00,"-44,967.79",1030939394,"Received 01/12/2015"
"01/12/15 08:15 AM",,344.26,0.00,"-44,623.52",1030956216,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,557.95",1030948052,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,492.38",5131091490,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,426.80",5131094905,"Received 01/12/2015"
"01/12/15 08:15 AM",,278.69,0.00,"-44,148.11",2606804351,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,082.54",2605911254,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,016.97",2605912831,"Received 01/12/2015"
"01/12/15 09:50 PM",,98.36,0.00,"-43,918.61",1837735244,"Received 01/12/2015"
"01/12/15 10:01 PM",,98.36,0.00,"-43,820.25",1837740726,"Received 01/12/2015"
"01/13/15 10:41 PM",,180.33,0.00,"-43,639.92",2734021765,"Received 01/13/2015"
"01/13/15 10:53 PM",,98.36,0.00,"-43,541.56",2734028065,"Received 01/13/2015"
"01/13/15 12:00 AM",,0.00,"30,000.00","-73,541.56",,
"01/15/15 10:10 PM",,295.08,0.00,"-73,246.48",4291980254,"Received 01/15/2015"
"01/15/15 10:26 PM",,180.33,0.00,"-73,066.15",4291977314,"Received 01/15/2015"
"01/16/15 12:00 AM",,0.00,"25,000.00","-98,066.15",,
"01/18/15 09:30 PM",,"2,131.97",0.00,"-95,934.18",1195920143,"Received 01/18/2015"
"01/27/15 12:00 AM",,"3,954.92",0.00,"-91,979.26",1195916116,"Received 01/18/2015"
"01/20/15 12:00 AM",,0.00,"30,000.00","-121,979.26",,
"02/04/15 10:57 AM",,"4,638.85",0.00,"-117,340.41",2601229551,"Received 01/21/2015"
"01/27/15 11:32 PM",,"4,109.48",0.00,"-113,230.93",3719442775,"Received 01/27/2015"
"01/27/15 12:00 AM",,0.00,"30,000.00","-143,230.93",,
"02/04/15 01:36 PM",,"2,485.29",0.00,"-140,745.64",1ZE5F0600446888443,"Received 01/28/2015"
"02/03/15 11:21 AM",,"6,299.02",0.00,"-134,446.62",1666629473,"Received 01/29/2015"
"02/10/15 02:14 PM",,"4,012.25",0.00,"-130,434.36",2179622804,"Received 01/29/2015"
"02/03/15 11:17 AM",,"4,027.78",0.00,"-126,406.59",2179619234,"Received 01/29/2015"
"01/29/15 12:00 AM",,0.00,"40,000.00","-166,406.59",,
"02/03/15 11:31 AM",,"3,464.05",0.00,"-162,942.53",6185923321,"Received 02/01/2015"
"02/03/15 03:05 PM",,"3,866.01",0.00,"-159,076.52",6185921243,"Received 02/01/2015"
"02/04/15 03:10 PM",,"6,704.90",0.00,"-152,371.62",6185927171,"Received 02/01/2015"
"02/11/15 11:26 AM",,"2,646.57",0.00,"-149,725.05",1ZE5F0600447203840,"Received 02/02/2015"
"02/04/15 04:42 PM",,"7,281.05",0.00,"-142,444.00",4295045565,"Received 02/03/2015"
