"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
"06/01/15 12:06 PM",,"1,220.23",0.00,"-15,154.19",2847924100,"Received 06/01/2015"
"06/01/15 10:56 AM",,"2,715.33",0.00,"-12,438.86",2847926502,"Received 06/01/2015"
"06/02/15 01:42 PM",,"3,396.41",0.00,"-9,042.45",2132102350,"Received 06/01/2015"
"06/02/15 11:26 AM",,"2,251.22",0.00,"-6,791.22",2132087856,"Received 06/01/2015"
"06/03/15 11:21 AM",,"2,263.46",0.00,"-4,527.76",2132088350,"Received 06/01/2015"
"06/04/15 11:55 AM",,"3,533.50",0.00,-994.27,9685594413,"Received 06/02/2015"
"06/04/15 02:26 PM",,"7,098.69",0.00,"6,104.43",3505664411,"Received 06/02/2015"
"06/04/15 12:38 PM",,"2,437.09",0.00,"8,541.52",3505519905,"Received 06/02/2015"
"06/04/15 11:46 AM",,"1,918.30",0.00,"10,459.82",9685592851,"Received 06/03/2015"
"06/04/15 12:09 PM",,"2,917.48",0.00,"13,377.30",3505518446,"Received 06/03/2015"
"06/05/15 04:32 PM",,"1,067.97",0.00,"14,445.28",1409172203,"Received 06/04/2015"
"06/05/15 12:41 PM",,"2,682.19",0.00,"17,127.46",1409005544,"Received 06/04/2015"
"06/08/15 04:15 PM",,"8,701.80",0.00,"25,829.26",4131967350,"Received 06/04/2015"
"06/09/15 12:20 PM",,"2,728.76",0.00,"28,558.02",4131957281,"Received 06/04/2015"
"06/04/15 12:00 AM",,0.00,"40,000.00","-11,441.98",,
"06/05/15 12:21 PM",,"3,679.74",0.00,"-7,762.24",1409001112,"Received 06/05/2015"
"06/09/15 12:17 PM",,"2,651.14",0.00,"-5,111.10",4131959930,"Received 06/05/2015"
"06/10/15 11:36 AM",,"2,230.39",0.00,"-2,880.71",2684403890,"Received 06/06/2015"
"06/09/15 02:49 PM",,"2,026.14",0.00,-854.56,2684407036,"Received 06/06/2015"
"06/10/15 01:52 PM",,"1,498.53",0.00,643.97,3286358865,"Received 06/08/2015"
"06/12/15 11:09 AM",,"2,610.29",0.00,"3,254.26",3286360615,"Received 06/08/2015"
"06/11/15 03:07 PM",,"7,559.64",0.00,"10,813.90",1780970181,"Received 06/08/2015"
"06/08/15 03:56 PM",,"3,414.36",0.00,"14,228.26",4131965353,"Received 06/08/2015"
