SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
FLX-SAM-1334,"Samsung Galaxy S6 G920 Power Flex Cable",10.00,6.50,1.68,1.80,0.0000,2.89,4.99,1.39,2.99
APL-003-1460,"Complete Screw Set for iPhone 5S",2.00,6.85,1.69,0.54,0.0000,3.99,4.99,0.99,
APL-003-1462,"Home Button Rubber Gasket for iPhone 5S",1.00,6.85,2.24,0.47,0.0000,,1.49,0.99,0.99
APL-003-1464,"Complete Internal Screw Set for iPhone 5c",2.00,6.50,1.22,0.50,0.0000,2.99,4.99,1.99,0.99
FLX-HTC-566,"Flex Cable Ribbon with SD Card Reader Holder & Volume Button for HTC One M8 831C",18.00,6.43,1.34,3.01,0.0000,,,6.50,
TAB-SRN-330,"Digitizer Touch Screen for Samsung Galaxy Tab 3 Lite SM-T110 White",35.00,6.82,7.35,6.21,0.0000,13.00,12.99,9.96,
TAB-SRN-328,"Digitizer Touch Screen for Samsung Galaxy Tab 3 Lite SM-T110 Black",40.00,6.70,3.59,6.51,0.0000,13.00,,9.96,
FLX-HTC-564,"Flex Cable Ribbon with Power Button Connector for HTC One mini M4 601e 601s",0.00,0.00,0.00,0.00,0.0000,,,0.50,
TAB-SRN-316,"LCD Screen for Samsung Galaxy Note 10.1 N8000",0.00,0.00,0.00,0.00,0.0000,,32.99,38.42,
SRN-SAM-860,"LCD + Touch Screen Digitizer for Samsung Galaxy S4 Active i9295 i537 Gray",200.00,6.82,7.93,30.49,0.0000,,44.99,36.50,
TAB-SRN-318,"Digitizer Touch Screen for Samsung Galaxy Tab 3 10.1 P5200 Black",50.00,6.15,3.05,8.63,0.0000,12.49,0.00,14.50,
TAB-SRN-320,"Digitizer Touch Screen for Samsung Galaxy Tab 3 10.1 P5200 White",50.00,6.43,8.21,9.05,0.0000,17.99,0.00,14.50,
TAB-SRN-322,"LCD Screen for Samsung Galaxy Tab 3 10.1 P5200",0.00,0.00,0.00,0.00,0.0000,,37.99,35.99,39.99
TAB-SRN-314,"LCD + Touch Screen Digitizer for Samsung Galaxy Tab 3 8.0 T310 Black",230.00,6.50,2.29,35.74,0.0000,,,35.95,
SRN-SAM-1140,"Samsung Galaxy S3 T999 i747 LCD + Touch Screen Digitizer with Frame - Black",38.00,1.00,0.00,38.00,0.0000,,,,65.99
SRN-SAM-1146,"Samsung Galaxy S3 L710 LCD + Touch Screen Digitizer with Frame - Blue - New",38.00,1.00,0.00,38.00,0.0000,65.00,,,67.99
APL-001-1904,"LCD and Digitizer Assembly for iPhone 4S Neon Green",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1940,"LCD and Digitizer Assembly for CDMA iPhone 4 Purple",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1934,"LCD and Digitizer Assembly for CDMA iPhone 4 Amber Orange",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1928,"LCD and Digitizer Assembly for GSM iPhone 4 Amber Orange",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1920,"LCD and Digitizer Assembly for CDMA iPhone 4 Green Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1918,"LCD and Digitizer Assembly for CDMA iPhone 4 Neon Orange",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1908,"LCD and Digitizer Assembly for iPhone 4S Purple",0.00,0.00,0.00,0.00,0.0000,,,13.50,
SRN-SAM-1190,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - Pink",870.00,6.60,9.21,133.21,0.0000,,,,0.00
SRN-SAM-1198,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - Grey",850.00,6.88,3.53,124.06,0.0000,155.00,169.99,154.98,169.99
SRN-SAM-1206,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - White",850.00,6.88,9.56,124.94,0.0000,155.00,162.99,154.98,169.99
SRN-SAM-1214,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - Gold",890.00,6.82,15.38,132.75,0.0000,155.00,182.99,154.98,169.99
TAB-SRN-544,"Touch Screen Digitizer for Samsung Galaxy Note 8.0 GT-N5100 Black",0.00,0.00,0.00,0.00,0.0000,,,9.50,
FLX-SAM-1042,"Samsung Galaxy Note 4 N910P Rev 0.8 USB Charging Port Flex Cable",28.00,6.50,1.66,4.56,0.0000,5.49,9.99,5.00,6.99
FLX-SAM-1048,"Samsung Galaxy S4 i337 Rev 0.4 USB SIM Memory Card Flex Cable",8.00,6.85,2.16,1.48,0.0000,3.49,,1.99,1.49
FLX-SAM-1040,"Samsung Galaxy S4 i9505 i337 i537 i545 l720 M919 R970 R0.4 Rear Camera",30.00,6.70,3.59,5.01,0.0000,6.99,,6.49,1.49
TAB-SRN-546,"LCD Screen Display For Samsung TAB 4 SM-T231 - Black",90.00,6.82,2.31,13.54,0.0000,,,17.85,20.99
SRN-SAM-1242,"Samsung Galaxy S5 Mini G800 G800H LCD + Touch Screen Digitizer with Home Button - Black",480.00,6.89,8.23,70.86,0.0000,87.50,124.99,90.50,
SRN-SAM-1238,"Samsung Galaxy Alpha G850 G8508S G850A G850T G850M LCD + Touch Screen Digitizer - Gray",580.00,6.28,3.27,92.88,0.0000,,,93.50,
SRN-SAM-1244,"Samsung Galaxy S5 Mini G800 G800H LCD + Touch Screen Digitizer with Home Button - White",490.00,6.28,2.72,78.46,0.0000,,,90.50,
SRN-SAM-1247,"Samsung Galaxy Alpha G850 G8508S G850A G850T G850M LCD + Touch Screen Digitizer - Gold",580.00,6.28,2.72,92.79,0.0000,,,93.50,
SRN-SAM-1249,"Galaxy S5 Sport G860 LCD + Touch Screen Digitizer - Red",670.00,6.50,7.43,104.22,0.0000,,127.99,,
FLX-SAM-1062,"Microphone With Flex Cable for Samsung Galaxy Note PRO 12.2 P900 REV1.0",15.00,6.12,2.90,2.92,0.0000,,,1.50,
APL-001-1240K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 White with Tool Kit",0.00,0.00,0.00,0.00,0.0000,,37.99,20.50,
APL-001-0410K,"LCD Touch Screen Digitizer Assembly for iPhone 5 Black with Tool Kit",0.00,0.00,0.00,0.00,0.0000,,,14.20,15.99
FLX-SAM-1058,"Charging Port with Flex Cable for Samsung Galaxy Note PRO 12.2 P900 REV 0.1",18.00,6.12,2.90,3.42,0.0000,,,3.99,
FLX-SAM-1061,"Charging Port with Flex Cable, Touch Sensor Keyboard, Home Button Connector and Mic for Samsung Galaxy Alpha G850F REV 0.4",25.00,6.50,3.08,4.32,0.0000,,9.99,3.99,
APL-001-1242K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus Black with Tool Kit",0.00,0.00,0.00,0.00,0.0000,,37.99,26.80,39.99
APL-001-0411K,"LCD Touch Screen Digitizer Assembly for iPhone 5 White with Tool Kit",0.00,0.00,0.00,0.00,0.0000,,,14.20,27.99
APL-001-1244K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus White with Tool Kit",0.00,0.00,0.00,0.00,0.0000,,62.49,36.50,39.99
FLX-SAM-1253,"Samsung Galaxy Tab 3 T311 Buzzer/Vibration Motor Module",0.00,0.00,0.00,0.00,0.0000,6.99,,3.50,
SRN-LGM-354K,"LCD + Touch Screen Digitizer with Frame for LG Optimus G2 D800 D801 B29 with Tool Kit - White",0.00,0.00,0.00,0.00,0.0000,39.75,,,42.99
TAB-SRN-573,"Samsung Galaxy Tab 3 8.0 SM T310 Wifi Version Digitizer Black",50.00,6.82,7.35,8.41,0.0000,12.29,,8.99,
BT-BP-30066,"BinTEK™ HTC One M8 2600mAH Li-Ion Premium Battery",23.00,6.50,2.49,3.92,0.0000,,14.99,,8.99
BT-BP-30012,"BinTEK™ iPod Touch 5  1030mAH Li-Ion Premium Battery",20.00,6.50,0.00,3.08,0.0000,,12.99,5.49,7.99
FLX-SAM-1292,"Charging Port Flex Cable for Galaxy S6 Edge G925F",32.00,6.88,0.15,4.67,0.0000,5.85,12.99,5.95,
FLX-SAM-1286,"Samsung Galaxy A5 Sim Card Tray",0.00,0.00,0.00,0.00,0.0000,,,0.80,
FLX-SAM-1264,"Samsung Galaxy Note 2 N7100 USB Charging Port",0.00,0.00,0.00,0.00,0.0000,,,,1.99
FLX-SAM-1268,"Samsung Galaxy Note 2 N7105 Charging Port Flex Cable Rev 0.7",20.00,6.31,1.08,3.34,0.0000,,,3.50,4.99
SRN-MOT-612,"Moto G2 XT1063 XT1064 LCD Assembly",120.00,6.50,6.25,19.42,0.0000,23.50,36.99,20.99,24.99
APL-003-1514,"Motherboard Signal Cable and WiFi Cover for iPhone 6 Plus",8.00,6.82,0.90,1.30,0.0000,1.99,7.99,1.40,
APL-001-2057,"Touch Screen Digitizer for iPad Air 2 - Black",130.00,6.70,2.27,19.74,0.0000,24.50,,23.98,
APL-003-1546,"iPhone 6  Plus LCD + Touch Screen Tester Flex Cable",18.00,6.43,2.53,3.19,0.0000,4.75,9.99,,5.99
APL-003-1488,"iPhone 5 Home Button - Dark Blue",2.00,6.32,1.85,0.61,0.0000,1.29,,0.40,
FLX-HTC-575,"HTC One X Dock Connector",0.00,0.00,0.00,0.00,0.0000,,,1.50,
APL-003-1539,"Home Button Metal Gasket for iPhone 6 Plus - Black",2.00,6.85,0.69,0.39,0.0000,,1.49,,0.99
APL-003-1483,"iPhone 4 Home Button - Orange",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-1481,"iPhone 4 Home Button - Mirror Red",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-1480,"iPhone 4 Home Button - Mirror Green",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
SRN-SAM-1276,"LCD and Touch Screen Digitizer With Frame for Galaxy S6 Edge G925A G925T G925F - Black Sapphire",990.00,6.85,6.47,145.47,0.0000,185.00,199.99,209.98,0.00
APL-002-2059,"LCD Frame for iPhone 6 Plus - Black",6.00,6.46,2.02,1.24,0.0000,1.90,4.99,1.20,2.99
APL-002-6365,"IPhone 6 Plus Front Middle Frame Bezel LCD Holder - Black",5.00,6.50,0.86,0.90,0.0000,1.90,4.99,,2.99
SRN-SAM-1270,"Galaxy S6 G920 G920F G920A G920T LCD + Touch Screen Digitizer - White",880.00,6.82,8.23,130.24,0.0000,149.99,189.99,171.98,169.99
APL-003-1478,"ATT iPhone 4 Dock Connector Port Metal Shield Plate",0.00,0.00,0.00,0.00,0.0000,,,1.50,
FLX-HTC-583,"HTC One M8 HTC6995LVW HTC6525LVW Rear Camera Flex Cable",45.00,6.28,6.11,8.14,0.0000,8.99,12.99,8.99,
APL-003-1513,"Power Flex Cable for iPhone 6 Plus",12.00,6.88,0.15,1.77,0.0000,3.89,9.99,2.80,3.99
APL-003-1529,"Charging Port and Headphone Jack Flex Cable for iPhone 6 Space Gray",14.00,6.88,1.13,2.20,0.0000,3.99,9.99,2.80,8.99
APL-003-1472,"iPhone 3G 3GS Home Button Flex Cable",0.00,0.00,0.00,0.00,0.0000,,,,0.49
SRN-SAM-1273,"Galaxy S6 G920 G920F G920A G920T LCD + Touch Screen Digitizer - Black Sapphire",119.00,1.00,1.03,120.03,0.0000,149.99,184.99,169.98,169.99
APL-003-1487,"iPhone 5 Home Button - Purple Mirror",2.00,6.32,1.85,0.61,0.0000,1.29,,0.40,0.99
SRN-MOT-610,"Motorola Droid Turbo XT1254 LCD Assembly Black",440.00,6.88,5.33,64.73,0.0000,99.99,84.99,79.50,89.99
APL-003-1505,"Rear Camera Module with Flex Cable for iPhone 6 Plus",35.00,6.88,0.15,5.11,0.0000,6.50,9.99,6.98,9.99
APL-003-1486,"iPhone 4 Home Button - Magenta",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-1501,"Volume Flex Cable for iPad Air 2",8.00,6.85,3.80,1.72,0.0000,8.00,12.99,1.80,2.99
APL-003-1489,"iPhone 5 Home Button - Red",2.00,6.32,1.85,0.61,0.0000,,,,0.00
APL-003-1499,"Home Button Metal Bracket for iPad Air 2",2.00,6.85,2.24,0.62,0.0000,,,0.95,
APL-003-1507,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Dark Gray",16.00,6.85,0.69,2.44,0.0000,3.99,9.99,3.25,7.99
APL-001-2058,"Touch Screen Digitizer for iPad Air 2 - White",160.00,6.50,5.71,25.49,0.0000,24.50,,23.98,
APL-003-1497,"Home Button Retaining Bracket for iPhone 6 Plus",2.00,6.85,1.69,0.54,0.0000,1.49,4.99,0.99,
APL-003-1518,"GPS Connecting Cable for iPad Air",6.00,6.50,5.24,1.73,0.0000,2.49,,1.99,2.99
APL-003-1520,"2 in1 Left and Right Signal Antenna for iPad Air",8.00,6.88,0.15,1.18,0.0000,,,1.99,3.99
APL-003-1504,"Back Flex Cable for iPhone 6 Plus",10.00,6.85,0.69,1.56,0.0000,2.99,7.99,1.80,2.99
APL-003-1534,"Vibrator Motor for iPhone 6",8.00,6.70,2.15,1.51,0.0000,2.49,9.99,2.50,1.99
APL-001-2063,"LCD with Touch Screen Digitizer for iPod Nano 6 - Black",0.00,0.00,0.00,0.00,0.0000,7.99,,,
APL-003-1495,"Side Button for iPad Air 2 Set - Gold",0.00,0.00,0.00,0.00,0.0000,,,0.80,
APL-003-1485,"iPhone 4 Home Button - Neon Orange",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
SRN-MOT-615,"Motorola Moto X 2nd Gen XT1095 XT1096 XT1097 LCD Assembly Black",620.00,6.85,1.96,90.80,0.0000,109.90,112.99,109.50,
APL-003-1541,"Home Button Metal Gasket for iPhone 6 Plus - Silver",2.00,6.50,5.24,1.11,0.0000,,,0.80,
APL-003-1540,"Home Button Metal Gasket for iPhone 6 Plus - Gold",0.00,0.00,0.00,0.00,0.0000,,,1.50,0.99
APL-003-1491,"iPhone 5 Home Button - Magenta",2.00,6.32,1.85,0.61,0.0000,1.29,,,3.99
APL-003-1526,"Antenna Connecting Cable for iPhone 6",3.00,6.85,0.69,0.54,0.0000,0.99,,0.80,
APL-003-1500,"Charging Port with Flex Cable for iPad Air 2 - White",20.00,6.85,3.80,3.47,0.0000,3.49,9.99,2.50,3.99
APL-003-1477,"iPhone 4S Wifi Antenna Metal Shield Cover",0.00,0.00,0.00,0.00,0.0000,1.50,,,
APL-003-1515,"WiFi Antenna for iPhone 6 Plus",8.00,6.50,1.94,1.53,0.0000,1.29,7.99,0.95,1.99
APL-003-1490,"iPhone 5 Home Button - Purple",2.00,6.32,1.85,0.61,0.0000,1.29,,0.40,6.99
APL-003-1502,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Gray",18.00,6.85,0.69,2.73,0.0000,3.99,9.99,3.25,8.99
FLX-SAM-1265,"Samsung Galaxy Tab 3 10.1 GT P5210 (Wifi Version) Charging Port",5.00,6.85,3.68,1.27,0.0000,,,0.80,
APL-003-1484,"iPhone 4 Home Button - Amber Orange",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-1516,"Signal Antenna Cable for iPad Air 2",0.00,0.00,0.00,0.00,0.0000,2.89,7.99,2.50,
APL-003-1503,"Power Flex Cable With Mic for iPad Air 2",8.00,6.85,3.80,1.72,0.0000,5.00,12.99,1.80,2.99
APL-003-1547,"iPad Air GPS Antenna Cable ",8.00,6.50,5.24,2.04,0.0000,4.89,7.99,1.20,2.99
APL-003-1506,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - White",20.00,6.88,0.15,2.93,0.0000,3.99,9.99,3.25,7.99
APL-002-6366,"LCD Frame for iPhone 6 Plus - White",5.00,6.50,0.86,0.90,0.0000,1.90,4.99,1.20,3.99
SRN-SAM-1259,"Samsung A7 A7000 A700F  LCD Touch Screen Assembly - Black",820.00,6.13,10.81,135.53,0.0000,,,,105.99
FLX-SAM-1287,"Samsung Galaxy S6 G920F Front Camera Flex Cable",18.00,6.13,2.50,3.34,0.0000,5.29,12.99,2.45,3.99
APL-003-1532,"Front Camera and Sensor Flex Cable for iPhone 6",15.00,6.88,1.13,2.34,0.0000,3.49,9.99,2.80,5.99
APL-001-2047,"iPad Air 2 LCD & Touch Screen Digitizer - White",740.00,6.85,0.69,108.13,0.0000,110.00,139.49,134.98,139.99
APL-003-1522,"Microphone Power and Volume Flex Cable for iPod Touch 5",12.00,6.32,1.51,2.14,0.0000,2.99,,1.99,1.99
FLX-SAM-1270,"Samsung Galaxy S6 G920F Front Camera Flex Cable",25.00,6.50,1.68,4.10,0.0000,5.29,12.99,2.45,3.99
APL-003-1512,"Charging Port with Flex Cable for iPad Air 2 - Black",20.00,6.85,3.80,3.47,0.0000,3.49,9.99,2.50,3.99
APL-003-1511,"Earpiece Speaker for iPhone 6 Plus",4.00,6.82,0.90,0.72,0.0000,1.49,4.99,1.20,1.99
APL-003-1510,"Sensor Retaining Bracket and Camera Bezel for iPhone 6 6 Plus",1.00,6.50,1.90,0.45,0.0000,,2.99,0.50,0.49
APL-003-1509,"Earphone Jack With Flex Cable for iPad Air 2 - White",15.00,6.85,2.16,2.51,0.0000,2.49,7.99,2.20,2.99
APL-003-1508,"Volume Flex Cable with Volume Button and Mute Switch Connector for iPhone 6 Plus",10.00,6.85,0.69,1.56,0.0000,1.99,,1.80,2.99
APL-003-1544,"Signal Connecting Cable for iPhone 6 Plus",8.00,6.88,1.36,1.36,0.0000,1.50,,0.99,
APL-003-1542,"LCD Back Plate for iPhone 6 Plus",8.00,6.82,0.90,1.30,0.0000,,7.49,1.80,2.99
APL-003-1496,"Home Button With Flex Cable for iPad Air 2 - White / Silver",35.00,6.50,1.22,5.57,0.0000,6.99,9.99,3.80,3.99
APL-003-1494,"Power Switch Volume Flex Cable for iPad Air iPad Mini",6.00,6.43,3.21,1.43,0.0000,4.89,7.99,1.50,3.99
APL-003-1517,"Front Camera Proximity Sensor Microphone Module Flex Cable for iPhone 6 Plus",18.00,6.88,0.15,2.64,0.0000,3.83,9.99,3.60,5.99
APL-003-1498,"Home Button With Flex Cable for iPad Air 2 - White / Gold",0.00,0.00,0.00,0.00,0.0000,6.99,9.99,3.80,4.99
APL-003-1527,"Home Button Flex Cable for iPhone 6",8.00,6.88,1.36,1.36,0.0000,2.29,,1.99,
APL-003-1536,"Back Camera Ring for iPhone 6 Plus - Black",3.00,6.50,1.41,0.68,0.0000,,3.99,1.50,1.99
SRN-SAM-1257,"Galaxy A5 LCD + Touch Screen Digitizer + Home Button - White - New",510.00,6.32,2.00,81.01,0.0000,95.00,99.99,79.99,
SRN-MOT-617,"LCD Touch Screen Digitizer with Frame for Motorola Moto X  XT1060 XT1058 XT1056 XT1053  White",180.00,6.85,9.86,27.72,0.0000,44.89,41.99,38.98,
FLX-LGM-570,"LG G3 VS985 LS990 F400 D850 D855 Rear Camera Flex Cable",35.00,6.85,1.23,5.29,0.0000,10.50,9.99,5.50,4.49
SRN-MOT-614,"Motorola Moto E (2nd Gen) XT1524 XT1527 LCD Assembly White",0.00,0.00,0.00,0.00,0.0000,18.99,22.99,,
APL-003-1531,"Earpiece Speaker for iPhone 6",5.00,6.88,1.13,0.89,0.0000,1.49,4.99,0.70,0.99
FLX-HTC-579,"HTC One M7 Sim Card Tray Holder Slot - White",6.00,6.15,1.00,1.14,0.0000,,,0.30,
APL-003-1530,"Complete Screw Set for iPhone 6 & 6 Plus",3.00,6.88,0.15,0.46,0.0000,1.49,2.99,0.80,1.99
APL-003-1543,"Microphone for iPhone 6 / iPhone 6 Plus",0.00,0.00,0.00,0.00,0.0000,,,0.99,
SRN-SAM-1260,"Samsung A7 A7000 A700F  LCD Touch Screen Assembly - White",84.67,1.00,0.00,84.67,0.0000,,,,105.99
APL-003-1537,"Back Camera Ring for iPhone 6 Plus - Silver",3.00,6.50,1.62,0.71,0.0000,3.99,3.99,1.50,1.99
FLX-SAM-1274,"Samsung Galaxy A3 A3000 SM-A300F Buzzer Module",15.00,6.13,2.44,2.85,0.0000,,,1.50,
APL-003-1545,"iPhone 6  LCD + Touch Screen Tester Flex Cable",16.00,6.43,2.53,2.88,0.0000,4.49,7.99,,3.99
APL-003-1538,"Back Camera Ring and Lens for iPhone 6 Plus - Tyrant Gold",3.00,6.50,2.74,0.88,0.0000,,3.99,1.50,1.99
FLX-SAM-1302,"Samsung Galaxy Note 4 N910 N910F N910A N910V N910P N910T Wifi Antenna ",5.00,6.46,1.67,1.03,0.0000,1.49,,1.20,
FLX-SAM-1271,"Samsung Galaxy S6 G920F Earpiece Speaker Module",15.00,6.50,1.68,2.57,0.0000,3.45,7.99,2.50,2.99
FLX-SAM-1297,"Samsung Galaxy Note 4 N910F N910A N910T N910V N910P Earpiece Speaker",5.00,6.32,1.04,0.96,0.0000,1.99,,1.50,1.99
FLX-SAM-1291,"Samsung Galaxy S6 G920F Charging Port Flex Cable Rev 0.6",25.00,6.82,2.11,3.98,0.0000,9.99,12.99,5.95,
SRN-HTC-1127,"HTC One M9 LCD Assembly Black",130.00,6.85,6.71,19.96,0.0000,,34.99,22.50,29.99
SRN-MOT-611,"Motorola Google Nexus 6 XT1100 LCD Assembly",750.00,6.85,7.75,110.62,0.0000,145.00,139.99,118.98,
FLX-SAM-1288,"Samsung Galaxy S6 G920F Volume Flex Cable",10.00,6.13,2.50,2.04,0.0000,2.89,4.99,1.45,0.99
FLX-SAM-1300,"Samsung Galaxy Note 4 N910F N910A N910T N910V N910P Front Camera Flex Cable",10.00,6.32,1.04,1.75,0.0000,3.49,7.99,3.50,3.99
FLX-SAM-1290,"Samsung Galaxy S6 G920V G920P G920F Home Button Flex Cable - White",15.00,6.50,1.68,2.57,0.0000,3.99,7.99,3.50,5.99
SRN-HTC-1129,"HTC Desire 510 LCD Assembly",110.00,6.32,8.97,18.82,0.0000,,,8.99,
FLX-SAM-1289,"Samsung Galaxy S6 G920F Earpiece Module",12.00,6.13,2.50,2.37,0.0000,3.45,7.99,2.50,2.99
FLX-HTC-582,"HTC One M8 Charging Port Flex Cable Sprint/T-Mobile",22.00,6.50,8.33,4.67,0.0000,6.59,9.99,,8.99
FLX-SAM-1304,"Samsung Galaxy Note 4 N910F SIM SD Card Flex Cable",12.00,6.13,2.50,2.37,0.0000,3.00,,3.99,
FLX-SAM-1306,"Samsung Galaxy Note 4 N910F N910A N910T N910V N910P Stylus S Pen Sensor Flex Cable",20.00,6.88,0.15,2.93,0.0000,,,3.50,3.99
SRN-MOT-616,"Motorola Moto X 2nd Gen XT1095 XT1096 XT1097 LCD Assembly White",620.00,6.70,10.29,94.07,0.0000,109.90,109.00,,
FLX-SAM-1296,"Samsung Galaxy Note 4 N910F N910A N910T N910V N910P Rear Camera",40.00,6.70,2.17,6.29,0.0000,6.99,9.99,5.99,6.99
FLX-LGM-571,"LG G3 VS985 LS990 F400 D850 D855 Charging Port",5.00,6.88,0.15,0.75,0.0000,2.99,,0.80,1.99
FLX-SAM-1299,"Samsung Galaxy Note 4 N910F Flash Flex Cable",15.00,6.13,2.50,2.85,0.0000,,,3.50,
SRN-MOT-618,"LCD Touch Screen Digitizer with Frame for Motorola Moto X  XT1060 XT1058 XT1056 XT1053  Black",300.00,6.50,8.33,47.44,0.0000,44.89,37.99,38.98,
FLX-HTC-584,"HTC One M8 Front Camera Flex Cable",0.00,0.00,0.00,0.00,0.0000,7.50,14.99,,
SRN-HTC-1131,"HTC Desire 610 LCD With Digitizer U1 ( European)",145.00,6.15,7.70,24.83,0.0000,,,16.50,
SRN-HTC-1136,"HTC Desire 610 Touch Screen Digitizer",30.00,6.32,7.14,5.88,0.0000,,,9.50,
APL-001-2072,"Apple Watch 42mm Digitizer Touch Screen",50.00,6.32,3.53,8.47,0.0000,9.49,,15.99,10.99
FLX-SAM-1337,"Samsung Galaxy S6 G920 Home Button with Touch Print Flex Cable - Black",15.00,6.50,1.68,2.57,0.0000,3.99,7.99,3.50,5.99
FLX-SAM-1341,"Samsung Galaxy S6 G920 Loudspeaker",12.00,6.50,1.68,2.10,0.0000,2.99,,1.98,1.99
FLX-LGM-577,"LG G3 Loudspeaker - White",45.00,6.28,3.22,7.68,0.0000,4.05,11.99,,6.99
APL-001-2073,"Apple Watch 38mm LCD with Digitizer ",790.00,6.70,2.27,118.25,0.0000,149.50,,,
FLX-SAM-1332,"Samsung Galaxy Note Edge N915F N915A N915T N915V N915P Loudspeaker",10.00,6.50,1.60,1.78,0.0000,,,0.99,
FLX-SAM-1320,"Samsung Galaxy Note 4 N910F N910A N910T N910V N910P Loudspeaker ",10.00,6.85,0.69,1.56,0.0000,2.49,4.99,4.50,1.99
FLX-SAM-1325,"Samsung Galaxy Note Edge Headphone Jack Flex Cable",10.00,6.85,2.17,1.78,0.0000,,,0.90,
FLX-SAM-1315,"Samsung Galaxy Note 4 N910 N910F N910V N910A N910P N910T Front Camera",10.00,6.85,2.17,1.78,0.0000,3.49,7.99,3.50,3.99
FLX-SAM-1326,"Samsung Galaxy Note Edge N915F N915A N915T N915V N915P Rear Camera",40.00,6.70,1.96,6.26,0.0000,,,7.99,
FLX-SAM-1347,"Home Button Flex Assembly for Galaxy S6 Edge - White Pearl",15.00,6.12,2.64,2.88,0.0000,3.45,12.99,2.95,2.99
FLX-SAM-1348,"Power Flex Cable for Galaxy S6 Edge",10.00,6.12,2.64,2.07,0.0000,3.21,4.99,1.95,2.99
FLX-SAM-1338,"Samsung Galaxy S6 G920 Volume Flex Cable",10.00,6.50,1.68,1.80,0.0000,2.89,4.99,1.45,0.99
FLX-SAM-1318,"Samsung Galaxy Note 4 N910F N910A N910T N910V N910P Volume Flex Cable",10.00,6.50,1.68,1.80,0.0000,,,,1.49
FLX-SAM-1340,"Samsung Galaxy S6 G920 Rear Camera Lens Black",7.00,6.88,0.15,1.04,0.0000,,4.99,,1.99
FLX-SAM-1342,"Samsung Galaxy S6 G920 Antenna ",5.00,6.50,1.68,1.03,0.0000,1.99,,1.50,
FLX-SAM-1343,"Rear Camera Lens for Galaxy S6 Edge - White Pearl",7.00,6.89,8.23,2.21,0.0000,2.29,4.99,0.95,1.99
FLX-SAM-1344,"Volume Flex Cable for Galaxy S6 Edge",10.00,6.60,1.44,1.73,0.0000,3.29,4.99,1.45,1.99
FLX-SAM-1345,"Antenna Signal Cable for Galaxy S6 Edge",5.00,6.50,3.08,1.24,0.0000,1.99,,1.50,
FLX-LGM-576,"LG G3 Loudspeaker - Black",35.00,6.50,2.30,5.74,0.0000,4.05,9.99,8.98,
FLX-SAM-1319,"Samsung Galaxy Note 4 N910F International Charging Port Flex Cable",28.00,6.82,0.90,4.24,0.0000,5.49,12.99,,
FLX-SAM-1317,"Samsung Galaxy Note 4 N910F N910V N910P N910A N910T Power Button Vibration Motor Flex Cable",8.00,6.50,2.30,1.58,0.0000,2.50,4.99,2.50,1.49
FLX-LGM-575,"LG G3 Earpiece",10.00,6.50,1.36,1.75,0.0000,1.00,4.99,0.99,1.99
FLX-SAM-1346,"Charging Port Flex Cable for Galaxy S6 Edge G925V",30.00,6.88,3.53,4.87,0.0000,5.85,11.99,5.89,9.99
FLX-LGM-574,"LG G3 Front Camera",45.00,6.70,1.45,6.93,0.0000,9.05,12.99,10.00,
FLX-SAM-1316,"Samsung Galaxy Note 4 N910F N910A N910V N910T N910P Home Button with Touch Sensor Flex Cable - Black",15.00,6.32,1.51,2.61,0.0000,3.49,14.99,2.50,7.99
FLX-SAM-1322,"Samsung Galaxy Note 4 N910F N910A N910V N910P N910T Sim Card SD Card Tray Flex Cable",10.00,6.85,2.17,1.78,0.0000,3.00,,3.99,
FLX-SAM-1351,"Samsung Galaxy S5 Active SM-G870A Charging Port Flex Cable ",30.00,6.85,1.96,4.67,0.0000,6.99,7.99,3.99,3.99
