SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
FLX-SAM-976,"Samsung Galaxy S5 i9600 G900A G900T G900V G900P G900R4 Power Button Flex",0.00,0.00,0.00,0.00,0.0000,1.29,4.99,0.80,0.99
FLX-SAM-978,"Samsung Galaxy S5 i9600 G900A G900T G900V G900P G900R4 Vibrator Motor Flex",5.00,6.85,0.69,0.83,0.0000,,4.99,0.95,2.99
FLX-SAM-980,"Samsung Galaxy S5 i9600 G900A G900T G900V G900P G900R4 Volume Button Flex",0.00,0.00,0.00,0.00,0.0000,1.89,4.99,1.48,0.99
FLX-SAM-982,"Samsung Galaxy S5 i9600 G900A G900T G900V G900P Home Button Flex Black",10.00,6.85,0.69,1.56,0.0000,5.89,7.99,2.45,1.99
FLX-SAM-984,"Samsung Galaxy S5 i9600 G900A G900T G900V G900P Home Button Flex White",10.00,6.85,0.69,1.56,0.0000,5.89,9.99,2.45,4.99
FLX-SAM-988,"Samsung Galaxy S5 SM G900A ATT Home Button Charging Port Flex",23.00,6.88,3.53,3.86,0.0000,5.19,9.99,,6.99
FLX-SAM-990,"Samsung Galaxy S5 SM G900P Sprint Home Button Charging Port Flex",22.00,6.82,0.90,3.36,0.0000,5.19,9.99,4.48,6.99
FLX-SAM-992,"Samsung Galaxy S5 SM G900T T Mobile Home Button Charging Port Flex",23.00,6.82,0.90,3.50,0.0000,5.19,10.99,5.50,7.99
FLX-SAM-994,"Samsung Galaxy S5 SM G900V Verizon Home Button Mic Charging Port Flex",22.00,6.85,0.69,3.31,0.0000,5.19,9.99,4.48,7.99
FLX-SAM-998,"Samsung Galaxy S4 Mini i9190 i9195 Charging Port Flex",12.00,6.50,1.68,2.10,0.0000,,,2.99,
FLX-SAM-1000,"Samsung Galaxy S4 Mini i9190 i9195 Front Camera Flex",0.00,0.00,0.00,0.00,0.0000,,,1.99,
FLX-SAM-1002,"Samsung Galaxy S4 Mini i9190 i9195 Headphone Jack Flex",8.00,6.12,1.44,1.54,0.0000,,,0.99,
FLX-SAM-1004,"Samsung Galaxy S4 Mini i9190 L520 I435 i9192 i9195 Home Button Black",0.00,0.00,0.00,0.00,0.0000,,,0.60,
FLX-SAM-1008,"Samsung Galaxy S4 Mini i9190 L520 I435 i9192 i9195 Home Button White",0.00,0.00,0.00,0.00,0.0000,,,0.60,
FLX-SAM-1010,"Samsung Galaxy S4 Mini i9190 i9195 Loud Speaker With Assembly",10.00,6.70,1.45,1.71,0.0000,,,2.50,
FLX-SAM-1014,"Samsung Galaxy S3 Mini i8190 Back Camera Flex",0.00,0.00,0.00,0.00,0.0000,,,0.99,
FLX-SAM-1018,"Samsung Galaxy S3 Mini i8190 Home Button Flex",0.00,0.00,0.00,0.00,0.0000,,,2.99,
FLX-SAM-1020,"Samsung Galaxy S3 Mini i8190 G730V G730A Home Button White",0.00,0.00,0.00,0.00,0.0000,,,0.40,
SRN-SAM-612,"Galaxy S5 i9600 G900A G900T G900V G900P LCD + Touch Screen Digitizer - Black",600.00,6.88,3.53,87.72,0.0000,105.00,142.99,143.99,139.99
SRN-HTC-582,"HTC One M8 LCD Screen and Digitizer Assembly HTC Logo Black",180.00,6.50,2.74,28.11,0.0000,35.00,0.00,22.99,29.99
SRN-SAM-620,"Galaxy S4 Mini i9190 L520 i257 I435 i9192 i9195 LCD Digitizer - White",310.00,6.85,7.23,46.31,0.0000,,69.99,55.50,
SRN-SAM-624,"Galaxy S4 Mini i9190 i9192 i9195 LCD + Touch Screen Digitizer with Frame - White",460.00,6.13,10.26,76.71,0.0000,,,55.99,
FLX-LGM-540,"LG Optimus G PRO E980 Headphone Jack Flex",7.00,6.50,2.30,1.43,0.0000,,,0.80,
FLX-LGM-558,"LG G Flex D950 D955 D958 D959 F340 LS995 Charging Port Flex Cable",30.00,6.88,0.15,4.38,0.0000,,,5.50,
APL-003-1410,"Anti-Static Charging Port Ground Connector for iPhone 5S",2.00,6.82,1.40,0.50,0.0000,,,0.30,
APL-001-0904,"LCD and Digitizer Assembly  for GSM iPhone 4 Full Set Red Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0910,"LCD and Digitizer Assembly  for GSM iPhone 4 Full Set Zebra",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0914,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Dark Blue",125.00,6.10,4.04,21.15,0.0000,,,13.50,
