SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-003-1603,1,3.00,6.88,1.36,0.63,1,2.7900,1,1.79,4.99,0.95,,,,,,
BTY-COV-162,3,18.00,6.85,8.00,3.80,3,,3,5.00,0.00,,,,,,,
FLX-HUA-008,1,0.00,0.00,0.00,0.00,1,2.7900,1,,0.00,,,,,,,
FLX-SAM-1032,5,12.00,6.32,2.01,2.22,5,4.5900,5,4.49,,,3.99,,,,,
FLX-SNY-014,5,0.00,0.00,0.00,0.00,5,4.5900,5,,,0.30,,,,,,
FLX-SAM-1342,1,5.00,6.50,1.68,1.03,1,2.7900,1,1.99,,1.50,,0.81,,,4.00,
APL-003-0366,5,1.00,6.32,0.00,0.16,5,4.5900,5,,,0.30,1.99,,,,,
APL-001-2281,1,76.40,1.00,1.00,77.40,1,2.7900,1,,89.49,0.00,109.99,,,84.00,,99.99
FLX-SAM-1431,1,7.00,6.85,0.69,1.12,1,2.7900,1,2.29,4.99,0.95,8.99,0.42,,,3.00,
BTY-COV-348,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,0.99,,,,,,
APL-003-0834,6,10.00,6.85,1.96,1.75,6,1.9900,6,2.49,7.99,1.50,6.99,3.64,,,5.00,
FLX-SAM-826,3,0.00,0.00,0.00,0.00,3,,3,,,,1.99,,,,,
APL-003-1160,1,2.00,6.89,3.15,0.75,1,2.7900,1,0.99,2.99,0.50,0.99,,,,,3.99
FLX-SAM-729,2,8.00,6.85,1.44,1.38,2,0.9900,2,3.49,4.99,1.99,2.99,,,,,
APL-003-1322,3,4.00,6.88,0.15,0.60,3,,3,1.49,3.99,1.20,1.99,,,,,2.99
FLX-SAM-048,1,13.00,6.50,1.62,2.25,1,2.7900,1,,,0.99,,2.75,,,,
FLX-SAM-968,4,7.00,6.85,0.69,1.12,4,3.7900,4,4.89,,3.50,3.99,,,,,
APL-003-1434,5,8.00,6.87,1.56,1.39,5,4.5900,5,2.79,,1.50,2.99,,,3.00,,2.49
SRN-SAM-1488,1,1200.00,6.87,10.53,176.21,1,2.7900,1,0.00,299.99,242.99,,,,,,
APL-003-1540,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,1.50,0.99,,,,,
APL-003-0186,5,0.00,0.00,0.00,0.00,5,4.5900,5,,,,1.99,,,,,
BTY-COV-466,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,,1.49,,,,,
BTY-COV-1633,1,20.00,6.46,1.79,3.37,1,2.7900,1,,0.00,2.40,,,,,,
APL-001-1256,5,12.00,6.50,1.06,2.01,5,4.5900,5,2.75,9.99,1.20,5.99,,,,,
APL-001-2109,1,8.00,6.43,1.81,1.53,1,2.7900,1,2.25,2.99,0.00,4.99,,,,,2.49
BTY-COV-1517,1,12.00,6.70,3.35,2.29,1,2.7900,1,,0.00,3.50,,,,,,
APL-002-0821,6,4.00,6.88,4.11,1.18,6,1.9900,6,1.25,2.99,0.99,1.99,,,,,3.00
FLX-HTC-306,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
FLX-NOK-026,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,2.50,,,,,,
APL-003-0432,5,0.00,0.00,0.00,0.00,5,4.5900,5,2.99,4.99,,0.99,,,,,
FLX-SAM-637,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
APL-003-0888,6,3.00,6.85,1.23,0.62,6,1.9900,6,1.29,3.99,0.80,,,,,,
FLX-MOT-112,3,0.00,0.00,0.00,0.00,3,,3,3.70,,0.80,,,,,,
APL-003-1252,3,4.00,6.70,2.17,0.92,3,,3,2.99,,,2.99,,,,,
SRN-SAM-1421,1,1000.00,6.46,1.79,155.08,1,2.7900,1,,,0.00,,,,,,
APL-003-0900,6,0.00,0.00,0.00,0.00,6,1.9900,6,,,0.00,,,,,,
FLX-SAM-758,2,8.00,6.85,0.69,1.27,2,0.9900,2,3.99,7.99,1.99,2.99,,,,,
APL-003-1350,3,4.00,6.70,1.86,0.87,3,,3,1.49,3.99,0.99,1.99,,,5.00,,3.99
APL-003-1452,5,10.00,6.85,0.69,1.56,5,4.5900,5,1.39,7.99,1.50,1.99,,,,,4.99
BT-BP-30020,1,11.00,6.70,6.01,2.54,1,2.7900,1,,,0.99,,,,,,
FLX-SAM-1004,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,0.60,,,,,,
APL-003-1074,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,1.99,,,,,
APL-003-1518,1,6.00,6.50,5.24,1.73,1,2.7900,1,0.00,,1.99,2.99,,,,,
APL-003-0324,5,0.00,0.00,0.00,0.00,5,4.5900,5,,,,0.49,,,,,
BTY-COV-442,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,,2.49,,,,,
APL-003-1630,1,15.00,6.85,3.80,2.74,1,2.7900,1,3.99,9.99,,0.99,,,,,
FLX-HTC-593,1,9.00,6.45,2.08,1.72,1,2.7900,1,,,0.00,,,,,,
SRN-SAM-1398,1,1200.00,6.85,8.51,176.42,1,2.7900,1,187.00,0.00,182.99,238.99,,,,,
APL-003-0626,1,1.00,6.50,1.72,0.42,1,2.7900,1,,1.49,0.80,1.99,,,,,
FLX-SNY-038,1,25.00,6.50,3.25,4.35,1,2.7900,1,,0.00,,,,,,,
APL-003-0552,5,2.00,6.82,1.80,0.56,5,4.5900,5,1.89,3.99,,0.99,,,,,
FLX-LGM-516,4,22.00,6.30,1.62,3.75,4,3.7900,4,,9.99,2.50,,,,,,
FLX-SAM-1539,1,5.00,6.88,0.15,0.75,1,2.7900,1,,4.99,0.95,1.99,1.22,,,4.00,4.99
FLX-SAM-540,1,5.00,6.32,4.19,1.45,1,2.7900,1,1.89,,,0.99,,,,,
APL-003-1292,3,7.00,6.13,1.17,1.33,3,,3,2.99,,0.99,,,,,,
FLX-SAM-1286,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.80,,,,,,
APL-003-0108,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,0.30,,,,,,
FLX-SAM-860,4,9.00,6.50,1.36,1.59,4,3.7900,4,2.99,7.99,2.50,,,,,,
APL-003-1368,4,10.00,6.50,1.94,1.84,4,3.7900,4,3.49,7.99,,2.49,,,,,
FLX-SAM-126,1,10.00,6.50,2.29,1.89,1,2.7900,1,,,0.99,,,,,,
APL-003-1479,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,,0.99,,,,,
BTY-COV-460,4,7.00,6.89,4.28,1.64,4,3.7900,4,,0.00,,,,,,,
FLX-SAM-664,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
SRN-LGM-641,1,200.00,6.88,9.56,30.46,1,2.7900,1,43.50,0.00,38.50,101.99,,,,,
APL-003-0264,5,1.50,6.88,0.15,0.24,5,4.5900,5,,,0.30,0.99,,,,,
APL-001-0576,9,20.00,6.43,7.42,4.26,9,,9,,,0.99,,,,,,
FLX-HTC-488,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,1.99,,,,,,
APL-003-1569,1,5.00,6.50,1.96,1.07,1,2.7900,1,,,0.99,1.49,,,,,
SRN-NOK-078,1,280.00,6.50,2.88,43.52,1,2.7900,1,,0.00,,,,,,,
APL-003-0258,5,3.50,6.10,0.90,0.72,5,4.5900,5,1.49,,0.30,2.99,,,,,
APL-003-0696,5,4.00,6.12,1.80,0.95,5,4.5900,5,0.99,4.99,,0.99,1.82,,,,4.99
FLX-LGM-198,3,0.00,0.00,0.00,0.00,3,,3,,,0.99,,,,,,
BTY-COV-380,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,1.99,,,,,,
FLX-SAM-958,4,4.00,6.82,2.11,0.90,4,3.7900,4,2.29,,,1.99,,,,,
APL-003-0786,5,8.00,6.43,4.06,1.88,5,4.5900,5,,,,,4.13,,,,
APL-003-1422,5,18.00,6.88,4.11,3.21,5,4.5900,5,3.49,9.99,3.25,5.99,,,5.00,,4.99
FLX-SAM-665,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
APL-003-1340,3,4.00,6.89,1.72,0.83,3,,3,,2.99,0.99,0.99,,,,,
BTY-COV-484,4,8.00,6.88,3.69,1.70,4,3.7900,4,,,,3.99,,,,,
TAB-SRN-753,1,0.00,0.00,0.00,0.00,1,2.7900,1,12.49,,0.00,,,,,,
APL-003-1553,1,15.00,6.32,0.00,2.37,1,2.7900,1,7.49,,,0.00,,,,,
BTY-COV-1510,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,,0.49,,,,,
APL-003-1620,1,6.00,6.85,3.68,1.41,1,2.7900,1,,0.00,,,,,,,
SRN-SAM-480,3,8.00,6.85,5.09,1.91,3,,3,,,1.50,,,,,,
FLX-HTC-390,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
FLX-SAM-1394,1,7.00,6.87,1.56,1.25,1,2.7900,1,2.29,4.99,0.95,1.99,0.42,,,3.00,
SRN-SNY-128,1,150.00,6.82,4.74,22.69,1,2.7900,1,,0.00,30.99,32.99,,,,,
FLX-HTC-282,2,0.00,0.00,0.00,0.00,2,0.9900,2,,,0.99,,,,,,
FLX-SAM-706,2,0.00,0.00,0.00,0.00,2,0.9900,2,,,0.60,,,,,,
FLX-NOK-018,3,0.00,0.00,0.00,0.00,3,,3,,,0.99,,,,,,
APL-003-0390,5,8.00,6.70,1.45,1.41,5,4.5900,5,2.29,7.99,1.50,2.99,2.16,3.50,,4.00,
FLX-MOT-332,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,0.30,,,,,,
APL-003-0858,6,10.00,6.88,0.15,1.48,6,1.9900,6,4.72,7.99,1.50,2.99,3.48,2.50,,4.00,4.99
FLX-LGM-146,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
FLX-MOT-030,1,0.00,0.00,0.00,0.00,1,2.7900,1,,,0.99,,,,,,
FLX-LGM-336,3,35.00,6.50,2.29,5.74,3,,3,3.99,,4.50,0.00,,,,,
FLX-SAM-738,2,8.00,6.82,2.24,1.50,2,0.9900,2,2.99,7.99,,1.49,,,,,
FLX-MOT-452,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,0.99,,,,,,
APL-003-1334,3,10.00,6.85,1.23,1.64,3,,3,3.99,9.99,2.98,2.99,,,,,5.99
FLX-SAM-982,4,10.00,6.88,1.59,1.68,4,3.7900,4,5.89,7.99,2.45,1.99,,,,,
APL-003-1442,5,3.00,6.50,0.55,0.55,5,4.5900,5,1.79,4.99,0.99,,,,,,
SRN-SAM-043,1,470.00,6.82,7.93,70.08,1,2.7900,1,84.99,107.99,0.00,93.99,,,,,
FLX-SAM-1018,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,2.99,,,,,,
APL-002-0831,1,8.00,6.12,3.63,1.90,1,2.7900,1,,,0.60,1.99,,,,,
APL-003-1290,3,0.00,0.00,0.00,0.00,3,,3,,,0.99,,,,,,
APL-003-0006,4,0.00,0.00,0.00,0.00,4,3.7900,4,,,,1.49,,,,,
APL-003-1565,1,8.00,6.30,3.65,1.85,1,2.7900,1,1.49,,0.98,,,,,,
