"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
N/A,,278.64,0.00,278.64,PO20020/3208656614,"Received 11/30/-0001"
N/A,,278.64,0.00,557.28,PO20020/4342207586,"Received 11/30/-0001"
N/A,,85.14,0.00,642.41,PO20020/4342203375,"Received 11/30/-0001"
"01/05/15 12:00 AM",,0.00,"30,000.00","-29,357.59",,"Bank Wire Transfer"
"01/08/15 09:13 PM",,327.87,0.00,"-29,029.72",7923885815,"Received 01/08/2015"
"01/08/15 09:13 PM",,163.93,0.00,"-28,865.78",7923888092,"Received 01/08/2015"
"01/08/15 12:00 AM",,0.00,"30,000.00","-58,865.78",,
"01/11/15 09:24 PM",,98.36,0.00,"-58,767.42",2177053454,"Received 01/11/2015"
"01/11/15 09:24 PM",,"6,434.75",0.00,"-52,332.67",2177022024,"Received 01/11/2015"
"01/11/15 09:24 PM",,"5,984.43",0.00,"-46,348.24",2176838812,"Received 01/11/2015"
"01/11/15 09:42 PM",,459.02,0.00,"-45,889.22",2441491614,"Received 01/11/2015"
"01/11/15 09:42 PM",,98.36,0.00,"-45,790.86","2441477636	","Received 01/11/2015"
"01/11/15 09:43 PM",,65.57,0.00,"-45,725.29",2441477054,"Received 01/11/2015"
"01/11/15 10:11 PM",,180.33,0.00,"-45,544.96",2441491113,"Received 01/11/2015"
"01/12/15 08:15 AM",,0.00,0.00,"-45,544.96",2666405033,"Received 01/12/2015"
"01/12/15 08:15 AM",,278.69,0.00,"-45,266.27",1030939394,"Received 01/12/2015"
"01/12/15 08:15 AM",,344.26,0.00,"-44,922.01",1030956216,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,856.44",1030948052,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,790.86",5131091490,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,725.29",5131094905,"Received 01/12/2015"
"01/12/15 08:15 AM",,278.69,0.00,"-44,446.60",---------------!!!!,"Received 01/12/2015"
"01/12/15 08:15 AM",,65.57,0.00,"-44,381.03",2605911254,"Received 01/12/2015"
