SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
FLX-SAM-1479,"Charging Port Replacement for Samsung Galaxy S5 Sport G860P",0,0,5.9500,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1639,"Front Housing Replacement for Huawei Honor 6 Plus - Silver",50,8.02,13.6300,13.23,13.43,0,12.67,12.83,0,0,0,0,11.79,12.03,0,11.23,11.47,0,10.49,10.89,0,10.43,10.67,0,0
APL-001-2247,"Apple iPad Air Digitizer Touch Screen With Home Button - White (Premium) - Grade A",0,14.41,20.5300,23.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1653,"Back Cover Replacement for LG V10 - Modern Beige",0,0,17.8000,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-HTC-1150,"LCD and Touch Screen Digitizer Replacement for HTC One X9 - Black",400,62.32,84.1300,82.89,83.51,0,77.9,79.15,0,0,0,0,76.65,78.52,0,76.65,77.9,0,74.79,76.39,0,74.78,75.72,0,0
BTY-COV-1676,"Back Cover Replacement for Huawei Nexus 6P - Frost",0,0,29.9900,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1658,"Back Glass for Galaxy S7 Edge - Gold Platinum",35,5.67,10.2100,9.78,9.92,0,9.36,9.5,0,0,0,0,8.79,9.07,0,8.68,8.79,0,8.33,8.51,0,8.22,8.33,0,0
FLX-LGM-600,"LG VK810 Charging Port Flex Cable ",35,5.64,10.1000,9.68,9.82,0,9.26,9.4,0,0,0,0,8.7,8.98,0,8.58,8.7,0,8.29,8.49,0,8.13,8.25,0,0
APL-003-1684,"Rear Camera Replacement for iPod Touch 6",0,0,29.9500,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1487,"Home Button for Samsung Galaxy S6 Edge Plus - Silver Titanium",0,0,12.9900,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
