SKU,Name,Manufacturer,Model,Price,"Compatible Models",Parts,"Item Category","Supported Devices"
FLX-HTC-442,"HTC Rezound Volume Button Flex Cable",HTC,Rezound,0.9900,"ADR6425 (Verizon)",Yes,"Internal Components",
FLX-HTC-444,"HTC myTouch 3G Slide Volume Flex Cable",HTC,"myTouch 3G",0.9900,"SAPP310 (T-Mobile)",Yes,"Internal Components",
FLX-HTC-432,"HTC Evo 3D Back Camera Flex Cable",HTC,"Evo 3D",0.9900,"G17 / X515m (No Carrier)|PG86100 (Sprint)|PG86100 (Virgin Mobile)",Yes,"Internal Components",
FLX-HTC-446,"HTC Rhyme Light Flex Cable",HTC,Rhyme,0.9900,"ADR6330 (Verizon)",Yes,"Internal Components",
FLX-HTC-448,"HTC Rhyme Sim Card SD Memory Card Flex Cable",HTC,Rhyme,0.9900,"ADR6330 (Verizon)",Yes,"Internal Components",
FLX-HTC-434,"HTC Sensation XL Light Flex Cable",HTC,"Sensation XL",0.9900,"X315e (No Carrier)",Yes,"Internal Components",
FLX-HTC-436,"HTC Droid Incredible 2 USB Charging Port Flex Cable",HTC,"Droid Incredible 2",0.9900,"ADR6350 (Verizon)",Yes,"Internal Components",
FLX-UCP-106,"HTC Mytouch 4G Charging Port",HTC,"myTouch 4G",0.4900,"PD15100 (T-Mobile)",Yes,"Internal Components",
FLX-HTC-438,"HTC Vivid Sim Card SD Memory Card Flex Cable",HTC,Vivid,0.9900,"PH39100 (AT&T)",Yes,"Internal Components",
ACC-APL-1166,"Glossy Silicon Protective Case for iPad Mini Neon Pink",Apple,"iPad Mini 1",0.9900,"A1432 (WIFI)|A1454 (WIFI + Cellular)|A1455 (WIFI + Cellular)|A1489 (WIFI)|A1490 (WIFI + Cellular)|A1491 (WIFI + Cellular)|A1599 (WIFI)|A1600 (WIFI + Cellular)",No,Cases,"iPad Mini 2|iPad Mini 3"
ACC-APL-1168,"Soft Silicon Protective Case for iPad Mini Green",Apple,"iPad Mini 1",0.9900,"A1432 (WIFI)|A1454 (WIFI + Cellular)|A1455 (WIFI + Cellular)|A1489 (WIFI)|A1490 (WIFI + Cellular)|A1491 (WIFI + Cellular)|A1599 (WIFI)|A1600 (WIFI + Cellular)",No,Cases,"iPad Mini 2|iPad Mini 3"
