SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
TAB-SRN-402,"Sony Tablet S SGPT111US/S  Touch Screen Digitizer Grade A",0,8.15,13.2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-404,"Touch Screen Digitizer for Samsung Galaxy TAB 3 SM-T210R Black Grade A",0,6.47,11.4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-406,"Acer Iconia Tab A700 LCD Screen Display Grade B",0,0,37.9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-408,"Acer Inconia A700 LCD + Digitizer Touch Screen Assembly Grade B",0,0,56.9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-410,"Amazon Kindle Fire HD 7.0 LCD + Touch Screen Digitizer Pre-2013 Version - Grade B",0,26.42,35.1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-412,"Amazon Kindle Fire LCD Screen Grade B",0,13.52,19.4966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-724,"LG Venice LG730 Rear Housing Frame Grade A",0,0,3.9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-416,"Amazon Kindle Fire Touch Screen Digitizer Grade B",0,7.19,11.5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-418,"Asus TF101 Eee Pad Transformer LCD Screen  Grade B",0,0,45.5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-420,"Asus TF101 Eee Pad Transformer Touch Screen Digitizer Grade B",0,14.67,20.8314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-422,"Asus TF201 Eee Pad Transformer Prime LCD Screen  Grade B",0,26.01,34.5933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-424,"Asus TF201 V1.0 Eee Pad Transformer Prime Digitizer Touch Screen Grade B",0,10.94,15.7536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-426,"Asus TF300T Transformer Pad Touch Screen Digitizer Grade B",0,18.96,27.1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-428,"Dell Streak 10 Pro LCD + Digitizer Touch Screen Assembly Grade B",0,0,56.9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-430,"HTC ATT Jetstream Tablet Digitizer Touch Screen Grade B",0,0,24.6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
