SKU,"True Cost"
SRN-HTC-654,23.88
SRN-SAM-382,0
TAB-SRN-616,0
APL-001-0276,11.17
APL-001-1258,2.01
APL-001-2109,1.53
APL-001-2218,1.51
SRN-BLB-074,0
SRN-HTC-030,6.86
SRN-LGM-284,0
SRN-SAM-216,8.8
SRN-SAM-688,104.34
APL-001-2207,11.79
SRN-HTC-282,0
SRN-SAM-1445,181.74
SRN-SAM-694,0
SRN-HTC-602,0
SRN-HTC-462,0
SRN-LGM-224,0
SRN-SAM-388,41.24
APL-001-2308,14
APL-001-1736,11.25
SRN-LGM-184,0
APL-001-2232,2.01
APL-001-2121,1.72
SRN-SAM-692,0
SRN-BLB-070,14.5
SRN-LGM-030,0
APL-001-2231,2.01
SRN-SAM-1306,1.55
SRN-SAM-1491,0
APL-001-2253,0
SRN-SAM-656,0
SRN-SAM-658,0
APL-001-2336,15
