SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-003-1495,"Side Button for iPad Air 2 Set - Gold",3,,0.00,0.00,0.00,0.00,9.9500,7.9900,0.7900,,,0.50,,3.49,,,,
APL-003-1498,"Home Button With Flex Cable for iPad Air 2 - White / Gold",7,1,14.00,6.88,1.49,2.25,5.0625,3.7100,3.4900,0.00,6.00,2.99,3.99,5.00,2.49,,5.00,4.99
APL-003-1496,"Home Button With Flex Cable for iPad Air 2 - White / Silver",4,3,14.00,6.80,1.04,2.21,10.4400,8.9900,2.9900,0.00,6.00,2.99,3.99,5.00,2.49,,5.00,4.99
APL-003-1493,"Home Button for iPod Touch 4 - Pink",1,,0.00,0.00,0.00,0.00,3.9500,0.9900,0.0000,,,,,,,,,
APL-003-1494,"Power Switch Volume Flex Cable for iPad Air iPad Mini",9,,8.00,6.88,2.19,1.48,3.0000,2.3900,1.4900,3.49,3.00,1.50,2.99,3.81,,,,1.99
APL-003-1501,"Volume Flex Cable for iPad Air 2",9,,8.00,6.85,3.80,1.72,3.9600,3.1800,1.4900,8.00,5.00,1.50,2.99,3.81,1.49,,6.00,5.99
APL-003-1500,"Charging Port with Flex Cable for iPad Air 2 - White",6,1,15.00,6.56,1.23,2.47,7.2900,5.7300,2.4900,3.49,6.00,2.98,3.99,4.93,1.99,,6.00,
APL-003-1497,"Home Button Retaining Bracket for iPhone 6 Plus",5,1,2.00,6.60,0.50,0.38,2.0300,1.7900,0.8900,1.49,1.00,0.99,,,,,,
APL-003-1499,"Home Button Metal Bracket for iPad Air 2",0,8,2.00,6.73,1.29,0.49,1.5500,1.3000,0.8900,,,0.95,,,0.99,,,
APL-003-1506,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - White",4,2,22.00,6.60,0.50,3.41,7.8300,6.5900,3.9900,3.99,6.00,3.25,6.99,11.77,3.49,,6.00,
APL-003-1509,"Earphone Jack With Flex Cable for iPad Air 2 - White",4,,15.00,6.85,2.16,2.51,5.6500,4.1400,2.1900,2.49,3.50,1.50,1.49,4.48,,,3.00,2.99
APL-003-1512,"Charging Port with Flex Cable for iPad Air 2 - Black",7,4,15.00,6.50,1.34,2.51,7.2900,5.7300,2.9900,3.49,4.00,2.98,3.99,4.93,1.99,,6.00,6.99
APL-003-1507,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Dark Gray",48,9,22.00,6.60,0.50,3.41,5.8700,4.3100,3.9900,3.99,3.50,3.25,6.99,11.77,,,,
APL-003-1522,"Microphone Power and Volume Flex Cable for iPod Touch 5",6,,12.00,6.32,1.51,2.14,4.8200,3.5900,1.9900,2.99,,1.99,0.99,3.62,,,,
APL-003-1520,"2 in1 Left and Right Signal Antenna for iPad Air",7,1,8.00,6.88,0.15,1.18,3.5000,3.4900,1.9900,,,1.99,3.99,,,,,
APL-003-1523,"Antenna for iPod Touch 5 Generation",0,1,5.00,6.65,3.13,1.22,2.6160,2.0900,1.4900,5.79,2.00,1.50,,1.88,,,,
APL-003-1525,"Charging Port for iPod Nano 7",5,,0.00,0.00,0.00,0.00,2.0000,1.9900,0.0000,,,,,,,,,
