SKU,ItemName,"True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
APL-001-1242K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus Black with Tool Kit",0,82.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-248K,"Galaxy Note 2 LCD + Digitizer Touch Screen - Gray - No Frame with Tool Kit",0,112.9500,142.05,144.23,0,140.63,142.79,0,0,0,0,140.63,142.79,0,140.63,142.79,0,140.69,142.79,0,140.63,142.79,0,0
APL-001-0411K,"LCD Touch Screen Digitizer Assembly for iPhone 5 White with Tool Kit",0,42.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-1198K,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - Grey with Tool Kit",0,159.9900,152.83,155.17,0,151.3,153.62,0,0,0,0,151.3,153.62,0,151.3,153.62,0,151.39,153.69,0,151.3,153.62,0,0
APL-001-1238K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Black with Tool Kit",0,79.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-326K,"Galaxy Note 2 LCD + Digitizer Touch Screen - White - No Frame with Tool Kit",0,109.9500,134.95,134.28,0,133.6,132.94,0,0,0,0,133.6,132.94,0,133.6,132.94,0,133.69,132.99,0,133.6,132.94,0,0
SRN-SAM-612K,"Galaxy S5 i9600 G900A G900T G900V G900P LCD + Touch Screen Digitizer - Black with Tool Kit",0,140.9500,145.97,148.21,0,144.51,146.73,0,0,0,0,144.51,146.73,0,144.51,146.73,0,144.59,146.79,0,144.51,146.73,0,0
APL-001-1244K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus White with Tool Kit",0,82.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-688K,"Galaxy Note 3 N9000 N900A N900T N900P N900V LCD Digitizer Touch Screen White - New with Tool Kit",0,139.9500,116.39,118.06,0,115.65,117.29,0,0,0,0,115.65,117.29,0,115.65,117.29,0,115.69,117.29,0,115.65,117.29,0,0
SRN-LGM-166K,"LG Mach LS860 Touch Screen Digitizer - Black with Tool Kit",0,3.0000,18.95,18.86,0,18.76,18.67,0,0,0,0,18.38,18.67,0,18.38,18.67,0,18.39,18.69,0,18.38,18.67,0,0
SRN-LGM-168K,"LG Optimus L9 P760 Screen Digitizer With Frame - White with Tool Kit",0,15.9500,9.95,9.9,0,9.85,9.8,0,0,0,0,9.65,9.8,0,9.65,9.8,0,9.69,9.89,0,9.65,9.8,0,0
SRN-LGM-170K,"LG Optimus F7 US780 Touch Screen Digitizer - Black with Tool Kit",0,14.9500,21.95,21.84,0,21.73,21.62,0,0,0,0,21.29,21.62,0,21.29,21.62,0,21.29,21.69,0,21.29,21.62,0,0
SRN-LGM-356K,"Touch Screen Digitizer for LG Optimus G Pro E980 E985 F240 White with Tool Kit",0,16.9500,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-LGM-354K,"LCD + Touch Screen Digitizer with Frame for LG Optimus G2 D800 D801 B29 with Tool Kit - White",0,44.9500,70.51,71.59,0,69.8,70.87,0,0,0,0,69.8,70.87,0,69.8,70.87,0,69.89,70.89,0,69.8,70.87,0,0
SRN-LGM-160K,"LG Optimus L9 P769 Touch Screen Digitizer with Tool Kit",0,11.9500,12.95,12.89,0,12.82,12.76,0,0,0,0,12.56,12.76,0,12.56,12.76,0,12.59,12.79,0,12.56,12.76,0,0
SRN-LGM-158K,"LG Spectrum 2 VS930 Touch Screen Digitizer with Tool Kit",0,19.9500,22.49,22.84,0,22.27,22.61,0,0,0,0,22.27,22.61,0,22.27,22.61,0,22.29,22.69,0,22.27,22.61,0,0
SRN-LGM-150K,"LG Spectrum VS920 Touch Screen Digitizer with Tool Kit",0,17.9500,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-LGM-138K,"LG L9 P760 International Version Digitizer Touch Screen - Black with Tool Kit",0,3.0000,10.95,10.9,0,10.84,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-LGM-114K,"LG Revolution VS910 LCD Screen with Tool Kit",0,3.0000,12.95,12.89,0,12.82,12.76,0,0,0,0,12.56,12.76,0,12.56,12.76,0,12.59,12.79,0,12.56,12.76,0,0
SRN-LGM-148K,"LG Lucid VS840 Touch Screen Digitizer with Tool Kit",0,14.9500,10.95,10.9,0,10.84,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-HTC-006K,"HTC Amaze 4G Touch Screen Digitizer with Tool Kit",0,3.0000,11.5,11.44,0,11.39,11.33,0,0,0,0,11.16,11.33,0,11.16,11.33,0,11.19,11.39,0,11.16,11.33,0,0
SRN-LGM-306K,"LG G3 D850 D851 D855 VS985 LS990 LCD Digitizer Assembly White with Tool Kit",0,54.9500,62.95,62.64,0,62.32,62.01,0,0,0,0,61.07,62.01,0,61.07,62.01,0,61.09,62.09,0,61.07,62.01,0,0
SRN-LGM-108K,"LG Optimus Black P970 Touch Screen Digitizer - Black with Tool Kit",0,14.9500,12.95,12.89,0,12.82,12.76,0,0,0,0,12.56,12.76,0,12.56,12.76,0,12.59,12.79,0,12.56,12.76,0,0
SRN-LGM-054K,"LG Marquee LS855 Touch Screen Digitizer with Tool Kit",0,3.0000,13.95,13.88,0,13.81,13.74,0,0,0,0,13.53,13.74,0,13.53,13.74,0,13.59,13.79,0,13.53,13.74,0,0
SRN-LGM-012K,"LG Doubleplay C729 LCD Screen - Small Inner Flip with Tool Kit",0,3.0000,11.71,11.89,0,11.59,11.77,0,0,0,0,11.59,11.77,0,11.59,11.77,0,11.59,11.79,0,11.59,11.77,0,0
SRN-LGM-518K,"LG Xpression C395 ATT Touch Screen Digitizer with Frame - Red with Tool Kit",0,3.0000,12.95,12.89,0,12.82,12.76,0,0,0,0,12.56,12.76,0,12.56,12.76,0,12.59,12.79,0,12.56,12.76,0,0
SRN-LGM-152K,"LG Optimus G ATT E970 LCD + Digitizer Touch Screen Assembly with Tool Kit",0,54.9500,50.95,50.7,0,50.44,50.19,0,0,0,0,49.43,50.19,0,49.43,50.19,0,49.49,50.19,0,49.43,50.19,0,0
SRN-HTC-162K,"HTC Evo Shift 4G LCD Screen with Tool Kit",0,13.9500,10.95,10.9,0,10.84,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-LGM-132K,"LG G2X P999 P990 Touch Screen Digitizer - White with Tool Kit",0,3.0000,17.95,17.86,0,17.77,17.68,0,0,0,0,17.41,17.68,0,17.41,17.68,0,17.49,17.69,0,17.41,17.68,0,0
SRN-LGM-090K,"LG Optimus 3D P920 Thrill 4G P925 LCD Screen with Tool Kit",0,3.0000,15.95,15.87,0,15.79,15.71,0,0,0,0,15.47,15.71,0,15.47,15.71,0,15.49,15.79,0,15.47,15.71,0,0
SRN-HTC-018K,"HTC Aria LCD Screen with Tool Kit",0,3.0000,10.95,10.9,0,10.84,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-LGM-172K,"LG Optimus G2 D800 D801 LCD + Touch Screen Digitizer Assembly - Black with Tool Kit",0,34.9500,49.93,50.7,0,49.43,50.19,0,0,0,0,49.43,50.19,0,49.43,50.19,0,49.49,50.19,0,49.43,50.19,0,0
SRN-LGM-120K,"LG Revolution VS910 Touch Screen Digitizer with Tool Kit",0,14.9500,14.95,14.88,0,14.8,14.73,0,0,0,0,14.5,14.73,0,14.5,14.73,0,14.59,14.79,0,14.5,14.73,0,0
SRN-LGM-156K,"LG Spectrum 2 VS930 LCD with Tool Kit",0,22.9500,18.95,18.86,0,18.76,18.67,0,0,0,0,18.38,18.67,0,18.38,18.67,0,18.39,18.69,0,18.38,18.67,0,0
SRN-LGM-358K,"LCD Screen for LG Optimus G2 D800 D801 D802 D803 D805 LS980 VS980 with Tool Kit",0,32.9500,32.95,32.79,0,32.62,32.46,0,0,0,0,31.97,32.46,0,31.97,32.46,0,31.99,32.49,0,31.97,32.46,0,0
SRN-LGM-264K,"LG Intuition VS950 LCD Screen with Tool Kit",0,18.9500,18.95,18.86,0,18.76,18.67,0,0,0,0,18.38,18.67,0,18.38,18.67,0,18.39,18.69,0,18.38,18.67,0,0
SRN-LGM-162K,"LG Optimus G Pro E980 Touch Screen Digitizer with Tool Kit",0,15.9500,15.95,15.87,0,15.79,15.71,0,0,0,0,15.47,15.71,0,15.47,15.71,0,15.49,15.79,0,15.47,15.71,0,0
SRN-LGM-102K,"LG Optimus Black P970 Touch Screen Digitizer - White with Tool Kit",0,3.0000,9.95,9.9,0,9.85,9.8,0,0,0,0,9.65,9.8,0,9.65,9.8,0,9.69,9.89,0,9.65,9.8,0,0
SRN-LGM-096K,"LG Optimus 3D P920 Thrill 4G P925 Touch Screen Digitizer with Tool Kit",0,15.9500,14.95,14.88,0,14.8,14.73,0,0,0,0,14.5,14.73,0,14.5,14.73,0,14.59,14.79,0,14.5,14.73,0,0
SRN-LGM-126K,"LG Nexus 4 E960 LCD + Digitizer Touch Screen Assembly with Tool Kit",0,40.9500,47.97,48.71,0,47.49,48.22,0,0,0,0,47.49,48.22,0,47.49,48.22,0,47.49,48.29,0,47.49,48.22,0,0
SRN-LGM-146K,"LG L9 P760 International Version Digitizer Touch Screen - White with Tool Kit",0,3.0000,10.95,10.9,0,10.84,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
SRN-LGM-072K,"LG Mytouch Q C800 Maxx Digitizer Touch Screen with Tool Kit",0,3.0000,12.95,12.89,0,12.82,12.76,0,0,0,0,12.56,12.76,0,12.56,12.76,0,12.59,12.79,0,12.56,12.76,0,0
SRN-LGM-127K,"LG Optimus G Sprint LS970 LCD + Digitizer Touch Screen Assembly with Tool Kit",0,45.9500,57.77,58.66,0,57.19,58.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-HTC-108K,"HTC Evo 4G Design Touch Screen Digitizer with Tool Kit",0,11.9500,11.95,11.89,0,11.83,11.77,0,0,0,0,11.59,11.77,0,11.59,11.77,0,11.59,11.79,0,11.59,11.77,0,0
SRN-LGM-024K,"LG Doubleplay C729 Touch Screen Digitizer - Small Inner Flip with Tool Kit",0,3.0000,13.95,13.88,0,13.81,13.74,0,0,0,0,13.53,13.74,0,13.53,13.74,0,13.59,13.79,0,13.53,13.74,0,0
SRN-HTC-120K,"HTC Evo 4G LCD + Touch Screen Digitizer - Wide Flex with Tool Kit",0,3.0000,21.95,21.84,0,21.73,21.62,0,0,0,0,21.29,21.62,0,21.29,21.62,0,21.29,21.69,0,21.29,21.62,0,0
