SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
APL-001-2011,"LCD and Touch Screen Digitizer For IPhone 4S Gray Dalmatian - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-580,"Nextbook 8 Tablet NX008HD8G Motherboard Logic Board with Battery Powers Up Used",0,0,19.9500,14.95,14.88,0,14.8,14.73,0,0,0,0,14.5,14.73,0,14.5,14.73,0,14.59,14.79,0,14.5,14.73,0,0
BTY-COV-1504,"Nextbook 8 Tablet NX008HD8G Rear Housing with Battery Door - Grade A",0,0,9.9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-581,"Nextbook 8 Tablet NX008HD8G FO264 HXD Touch Screen Digitizer with Frame",0,0,19.9500,5.95,5.92,0,5.89,5.86,0,0,0,0,5.77,5.86,0,5.77,5.86,0,5.79,5.89,0,5.77,5.86,0,0
BTY-COV-1503,"Nextbook 8 Tablet NX008HD8G Rear Housing with Battery Door",0,0,14.9500,9.89,10.09,0,9.89,9.94,0,0,0,0,9.89,9.94,0,9.89,9.94,0,9.89,9.99,0,9.89,9.94,0,0
APL-001-2023,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Purple Mirror - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2003,"LCD and Touch Screen Digitizer For IPhone 4S Black Dalmatian - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1508,"Samsung Galaxy S3 i9300 Back Battery Door Cover - White",9,1.61,3.7000,3.46,3.54,0,3.06,3.14,0,0,0,0,2.98,3.06,0,2.82,2.9,0,2.69,2.79,0,2.53,2.58,0,0
BT-BP-30008,"BinTEK™ iPhone 5S/5C 1560mAH Li-Ion Premium Battery",3.4,3.72,7.8100,7.07,7.25,0,6.51,6.7,0,0,0,0,5.95,6.32,0,5.77,6.14,0,5.58,5.77,0,5.47,5.58,0,0
BT-BP-30044,"BinTEK™ Motorola Droid 4 XT894 XT897 Photon Q EB41 1750mAH Lion Premium Battery",20,3.88,7.5800,6.86,7.04,0,6.32,6.5,0,0,0,0,5.78,6.14,0,5.6,5.96,0,5.49,5.69,0,5.31,5.42,0,0
