"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-07-16 10:03:19",Faheem,APL-001-2298,"LCD and Touch Screen Digitizer for iPhone 6S - Black (Aftermarket Premium / Economy Plus)",Sale,$17.89,$17.79
"2018-07-16 10:04:05",Faheem,APL-001-2299,"LCD and Touch Screen Digitizer for iPhone 6S - White (Aftermarket Premium / Economy Plus)",Sale,$17.89,$17.79
"2018-07-16 10:12:38",Faheem,APL-001-2368,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Premium)",Sale,$73.49,$72.89
"2018-07-16 10:13:52",Faheem,APL-001-2366,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Premium)",Sale,$73.49,$72.89
"2018-07-16 10:23:29",Faheem,APL-001-2275,"Touch Screen Digitizer With Home Button for iPad 2 - White (Premium)",Sale,$9.59,$9.39
"2018-07-16 10:25:12",Faheem,APL-001-2199,"Touch Screen Digitizer With Home Button for iPad 2 - Black (Premium)",Sale,$9.59,$9.39
"2018-07-16 10:26:09",Faheem,APL-001-2198,"Touch Screen Digitizer With Home Button for iPad 3 - White (Premium)",Sale,$9.69,$9.49
"2018-07-16 10:26:16",Faheem,APL-001-2197,"Touch Screen Digitizer With Home Button for iPad 3 - Black (Premium)",Sale,$9.69,$9.49
"2018-07-16 10:27:45",Faheem,APL-001-2196,"Touch Screen Digitizer With Home Button for iPad 4 - White (Premium)",Sale,$9.69,$9.49
"2018-07-16 10:27:50",Faheem,APL-001-2195,"Touch Screen Digitizer With Home Button for iPad 4 - Black (Premium)",Sale,$9.69,$9.49
"2018-07-16 10:30:04",Faheem,APL-001-2447,"Touch Screen Digitizer for iPad Air / iPad 5 (2017) Black - Premium",Sale,$15.09,$14.89
"2018-07-16 10:30:19",Faheem,APL-001-2446,"Touch Screen Digitizer for iPad Air / iPad 5 (2017) White - Premium",Sale,$15.09,$14.89
"2018-07-16 10:32:21",Faheem,APL-001-2200,"Touch Screen Digitizer With Home Button for iPad Air - Black (Premium)",Sale,$15.49,$15.29
"2018-07-16 10:32:33",Faheem,APL-001-2201,"Touch Screen Digitizer With Home Button for iPad Air - White (Premium)",Sale,$15.49,$15.29
"2018-07-16 10:33:15",Faheem,APL-001-2215,"Touch Screen Digitizer with Home Button And IC Chip for iPad Mini & iPad Mini 2 - White (Premium)",Sale,$16.09,$15.79
"2018-07-16 10:34:49",Faheem,APL-001-2202,"Touch Screen Digitizer with Home Button And IC Chip for iPad Mini & iPad Mini 2 - Black (Premium)",Sale,$16.09,$15.79
"2018-07-16 10:43:49",Jordan,APL-001-2475,"LCD and Touch Screen Digitizer for iPad Pro 12.9 - White (2nd Generation)",Sale,$0.00,$259.69
"2018-07-16 10:44:01",Jordan,APL-001-2474,"LCD and Touch Screen Digitizer for iPad Pro 12.9 - Black (2nd Generation)",Sale,$0.00,$259.69
"2018-07-16 12:11:11",Billy,SRN-SAM-1673,"LCD and Touch Screen Digitizer for Samsung Galaxy S7 Edge - Black (Standard) - Grade A","Default 1",$209.99,$187.09
"2018-07-16 12:15:44",Billy,APL-001-2266,"LCD and Touch Screen Digitizer Assembly for iPhone 6s - White (Premium) - Grade B","Default 1",$37.99,$30.99
"2018-07-16 12:47:49",Jordan,APL-001-2478,"Touch Screen Digitizer for iPad 6 (2018) - White","Default 1",$59.99,$73.99
"2018-07-16 12:48:27",Jordan,APL-001-2477,"Touch Screen Digitizer for iPad 6 (2018) - Black","Default 1",$59.99,$73.99
"2018-07-16 12:49:24",Jordan,APL-001-2476,"LCD Screen for iPad 6 (2018)",Sale,$89.89,$73.99
"2018-07-16 12:49:24",Jordan,APL-001-2476,"LCD Screen for iPad 6 (2018)","Default 1",$89.99,$124.99
"2018-07-16 16:01:20",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Default 3",$32.87,$32.87
"2018-07-16 16:01:20",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Default 10",$32.64,$32.64
"2018-07-16 16:01:20",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Local 1",$31.93,$31.93
"2018-07-16 16:01:20",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Local 3",$31.69,$31.69
"2018-07-16 16:01:20",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Local 10",$31.34,$31.34
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Bronze 1",$31.93,$31.93
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Bronze 3",$31.69,$31.69
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Bronze 10",$31.34,$31.34
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Silver 1",$31.45,$31.45
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Silver 3",$31.22,$31.22
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Silver 10",$30.98,$30.98
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Gold 1",$31.22,$31.22
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Gold 3",$30.98,$30.98
"2018-07-16 16:01:21",saad,APL-001-2355,"Glass with Preinstalled OCA/Cold Pressed Frame for iPhone 6 - Black (Pack of 10)","Gold 10",$30.75,$30.75
