"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-10-23 15:10:01",Zahan,ACC-APL-1532,"Bumper Case for iPhone 4 4S Red","Default 1",$0.00,$3.95
"2018-10-23 15:10:23",Zahan,ACC-APL-1534,"Bumper Case for iPhone 4 4S Purple","Default 1",$0.00,$3.95
"2018-10-23 15:10:47",Zahan,ACC-APL-1550,"Soft Silicone Case for iPod Touch 5 Yellow","Default 1",$0.00,$3.95
"2018-10-23 15:11:14",Zahan,ACC-APL-1552,"Rubberized Smart TPU Cover Case Clear for iPad 2 Pink","Default 1",$0.00,$4.95
"2018-10-23 15:14:37",Zahan,ACC-APL-1556,"Transparent Bumper for iPhone 5 5S Blue","Default 1",$0.00,$3.95
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Default 1",$1.73,$1.73
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Default 3",$1.55,$1.55
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Default 10",$1.48,$1.48
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Local 1",$1.55,$1.55
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Local 3",$1.45,$1.45
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Bronze 1",$1.55,$1.55
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Bronze 3",$1.45,$1.45
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Silver 1",$1.52,$1.52
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Silver 3",$1.41,$1.41
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Silver 10",$1.35,$1.35
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Gold 1",$1.48,$1.48
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Gold 10",$1.31,$1.31
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Diamond 1",$1.41,$1.41
"2018-10-23 15:14:45",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Diamond 3",$1.31,$1.31
"2018-10-23 15:14:46",Zahan,ACC-APL-1558,"Bumper for iPhone 5 5S Orange","Diamond 10",$1.21,$1.21
