"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-07-06 09:27:13",Faheem,APL-001-0728,"LCD and Touch Screen Digitizer for iPhone 5S SE - White (Aftermarket Premium / Economy Plus)",Sale,$10.69,$10.59
"2018-07-06 09:28:25",Faheem,APL-001-0730,"LCD and Touch Screen Digitizer for iPhone 5S SE - Black (Aftermarket Premium / Economy Plus)",Sale,$10.69,$10.59
"2018-07-06 09:44:20",Faheem,APL-001-2365,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Premium)",Sale,$55.09,$54.99
"2018-07-06 09:44:25",Faheem,APL-001-2367,"LCD and Touch Screen Digitizer for iPhone 7 - White (Premium)",Sale,$55.09,$54.99
"2018-07-06 09:50:51",Faheem,APL-001-2368,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Premium)",Sale,$74.89,$73.69
"2018-07-06 09:51:55",Faheem,APL-001-2366,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Premium)",Sale,$74.89,$73.69
"2018-07-06 09:56:43",Jordan,SRN-LGM-698,"LCD and Touch Screen Digitizer with Black Frame for LG G6 - Black with logo","Default 1",$189.89,$149.89
"2018-07-06 09:58:45",Faheem,APL-001-2377,"LCD and Touch Screen Digitizer for iPhone 8 - White (Premium)",Sale,$65.19,$64.69
"2018-07-06 09:58:57",Faheem,APL-001-2378,"LCD and Touch Screen Digitizer for iPhone 8 - Black (Premium)",Sale,$65.19,$64.69
"2018-07-06 10:08:57",Faheem,APL-001-2381,"LCD and Touch Screen Digitizer for iPhone 8 Plus - White (Premium)",Sale,$90.99,$86.79
"2018-07-06 10:09:02",Faheem,APL-001-2376,"LCD and Touch Screen Digitizer for iPhone 8 Plus - Black (Premium)",Sale,$90.99,$86.79
"2018-07-06 10:14:34",Jordan,SRN-HTC-1161,"LCD and Touch Screen Digitizer for Google Pixel 2 - Black (No Logo)","Default 1",$199.99,$168.99
"2018-07-06 10:27:14",Jordan,ACC-ZRT-316,"High Quality Premium Phone Repair Tweezers - Round Nose","Platinum 1",$4.49,$6.99
"2018-07-06 10:38:32",Jordan,FLX-SAM-1397,"Stylus Pen for Samsung Galaxy Note 5 - Silver Titanium (No Logo)","Default 1",$11.41,$13.99
"2018-07-06 10:39:21",Jordan,FLX-SAM-1397,"Stylus Pen for Samsung Galaxy Note 5 - Silver Titanium (No Logo)","Platinum 1",$9.59,$13.99
"2018-07-06 16:10:55",Faheem,APL-003-0864,"LCD Screen Connector Flex Cable for iPad 2",Sale,$3.99,$3.49
"2018-07-06 16:10:55",Faheem,APL-003-0864,"LCD Screen Connector Flex Cable for iPad 2","Platinum 1",$6.39,$8.04
"2018-07-06 16:12:16",Faheem,APL-003-1240,"Internal Loudspeaker for iPad 3 4",Sale,$7.09,$6.69
"2018-07-06 16:12:16",Faheem,APL-003-1240,"Internal Loudspeaker for iPad 3 4","Default 1",$4.70,$13.99
"2018-07-06 16:14:34",Faheem,APL-003-1505,"Rear Camera with Flex Cable for iPhone 6 Plus",Sale,$12.49,$10.69
"2018-07-06 16:15:11",Faheem,APL-003-1505,"Rear Camera with Flex Cable for iPhone 6 Plus",Sale,$10.69,$10.99
"2018-07-06 16:16:20",Faheem,APL-003-1505,"Rear Camera with Flex Cable for iPhone 6 Plus",Sale,$10.99,$12.49
"2018-07-06 16:35:09",Faheem,SRN-MOT-610,"LCD and Digitizer Replacement with Frame for Motorola Droid Turbo XT1254",Sale,$51.89,$49.99
"2018-07-06 16:37:26",Faheem,APL-003-1701,"Charging Port Flex Cable for iPhone 7 - White",Sale,$7.49,$7.29
"2018-07-06 16:37:27",Faheem,APL-003-1701,"Charging Port Flex Cable for iPhone 7 - White","Platinum 1",$7.57,$13.99
"2018-07-06 16:38:13",Faheem,APL-003-1710,"Charging Port Flex Cable for iPhone 7 Plus - White",Sale,$10.89,$9.89
"2018-07-06 16:38:14",Faheem,APL-003-1710,"Charging Port Flex Cable for iPhone 7 Plus - White","Platinum 1",$9.15,$15.99
