"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-10-04 10:25:07",saad,ACC-ZED-725,"Samsung Galaxy S6 Tempered Glass Screen Protector",Sale,$0.00,$0.89
"2018-10-04 11:06:16",Jordan,FLX-TAB-172,"Charging Port Flex Cable for Samsung Galaxy Tab Active 2 Wi-fi Only (T390)",Sale,$0.00,$9.99
"2018-10-04 11:06:16",Jordan,FLX-TAB-172,"Charging Port Flex Cable for Samsung Galaxy Tab Active 2 Wi-fi Only (T390)","Default 1",$0.00,$10.99
"2018-10-04 15:39:32",Faheem,APL-001-2089,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Premium)",Sale,$15.79,$14.79
"2018-10-04 15:43:28",Faheem,SRN-SAM-1634,"LCD and Touch Screen Digitizer for Samsung Galaxy S7 - White (Premium)",Sale,$115.99,$128.89
"2018-10-04 15:43:33",Faheem,SRN-SAM-1633,"LCD and Touch Screen Digitizer for Samsung Galaxy S7 - Black (Premium)",Sale,$127.99,$128.89
"2018-10-04 15:43:40",Faheem,SRN-SAM-1632,"LCD and Touch Screen Digitizer for Samsung Galaxy S7 - Gold (Premium)",Sale,$127.99,$128.89
"2018-10-04 15:48:51",Faheem,SRN-SAM-1736,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Purple Frame - Black (Premium)",Sale,$242.99,$241.89
"2018-10-04 15:48:56",Faheem,SRN-SAM-1737,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Blue Frame- Black (Premium)",Sale,$242.99,$241.89
"2018-10-04 15:49:00",Faheem,SRN-SAM-1686,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Black Frame - Black (Premium)",Sale,$242.99,$241.89
"2018-10-04 16:06:41",Faheem,SRN-SAM-1738,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Plus (Purple Frame) - Black (Premium)",Sale,$262.89,$260.89
"2018-10-04 16:06:45",Faheem,SRN-SAM-1740,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Plus (Black Frame) - Black (Premium)",Sale,$262.89,$260.89
"2018-10-04 16:06:50",Faheem,SRN-SAM-1739,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S9 Plus (Blue Frame) - Black (Premium)",Sale,$262.89,$260.89
