"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-06-07 16:23:43",Faheem,APL-003-1592,"Earpiece Speaker for iPhone 6S Plus",Sale,$0.89,$0.79
"2018-06-07 16:23:44",Faheem,APL-003-1592,"Earpiece Speaker for iPhone 6S Plus","Platinum 1",$1.97,$2.35
"2018-06-07 16:24:22",Faheem,APL-003-1593,"Internal screw set for iPhone 6s and 6s Plus",Sale,$0.99,$0.89
"2018-06-07 16:25:03",Faheem,APL-003-1594,"Loudspeaker for iPhone 6s Plus",Sale,$2.59,$2.19
"2018-06-07 16:25:04",Faheem,APL-003-1594,"Loudspeaker for iPhone 6s Plus","Platinum 1",$6.79,$7.98
"2018-06-07 16:26:15",Faheem,APL-003-1605,"Home Button Assembly for iPhone 6S & 6S Plus – Silver",Sale,$1.39,$1.29
"2018-06-07 16:26:16",Faheem,APL-003-1605,"Home Button Assembly for iPhone 6S & 6S Plus – Silver","Default 1",$3.84,$2.50
"2018-06-07 16:26:16",Faheem,APL-003-1605,"Home Button Assembly for iPhone 6S & 6S Plus – Silver","Platinum 1",$3.09,$2.50
"2018-06-07 16:27:13",Faheem,APL-003-1606,"Home Button Assembly for iPhone 6S & 6S Plus – Space Gray",Sale,$1.39,$1.29
"2018-06-07 16:27:13",Faheem,APL-003-1606,"Home Button Assembly for iPhone 6S & 6S Plus – Space Gray","Platinum 1",$3.09,$2.50
"2018-06-07 16:27:49",Faheem,APL-003-1607,"Home Button Assembly for iPhone 6S & 6S Plus – Gold",Sale,$1.39,$1.29
"2018-06-07 16:27:49",Faheem,APL-003-1607,"Home Button Assembly for iPhone 6S & 6S Plus – Gold","Default 1",$3.84,$2.50
"2018-06-07 16:27:49",Faheem,APL-003-1607,"Home Button Assembly for iPhone 6S & 6S Plus – Gold","Platinum 1",$3.09,$2.50
"2018-06-07 16:28:28",Faheem,APL-003-1608,"Home Button Assembly for iPhone 6s and 6s Plus – Rose Gold",Sale,$1.39,$1.29
"2018-06-07 16:28:28",Faheem,APL-003-1608,"Home Button Assembly for iPhone 6s and 6s Plus – Rose Gold","Default 1",$3.93,$2.50
"2018-06-07 16:28:28",Faheem,APL-003-1608,"Home Button Assembly for iPhone 6s and 6s Plus – Rose Gold","Platinum 1",$3.19,$2.50
"2018-06-07 16:30:49",Faheem,APL-003-1731,"Charging Port Replacement for iPhone SE - White",Sale,$3.49,$2.79
"2018-06-07 16:31:42",Faheem,APL-003-1730,"Charging Port Replacement for iPhone SE - Black",Sale,$3.49,$2.99
"2018-06-07 16:31:43",Faheem,APL-003-1730,"Charging Port Replacement for iPhone SE - Black","Platinum 1",$3.61,$6.99
"2018-06-07 16:32:44",Faheem,APL-003-1707,"Loudspeaker for iPhone 7",Sale,$3.69,$3.09
"2018-06-07 16:33:55",Faheem,APL-003-1701,"Charging Port Flex Cable for iPhone 7 - White",Sale,$7.69,$7.49
"2018-06-07 16:33:56",Faheem,APL-003-1701,"Charging Port Flex Cable for iPhone 7 - White","Default 1",$12.99,$13.99
"2018-06-07 16:35:14",Faheem,APL-003-1705,"Front Camera with Proximity Sensor and Microphone for iPhone 7",Sale,$11.99,$10.29
