"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-07-30 13:13:02",Faheem,APL-001-2197,"Touch Screen Digitizer With Home Button for iPad 3 - Black (Premium)",Sale,$9.19,$9.09
"2018-07-30 13:13:13",Faheem,APL-001-2198,"Touch Screen Digitizer With Home Button for iPad 3 - White (Premium)",Sale,$9.19,$9.09
"2018-07-30 13:14:33",Faheem,APL-001-2195,"Touch Screen Digitizer With Home Button for iPad 4 - Black (Premium)",Sale,$9.19,$9.09
"2018-07-30 13:14:40",Faheem,APL-001-2196,"Touch Screen Digitizer With Home Button for iPad 4 - White (Premium)",Sale,$9.19,$9.09
"2018-07-30 13:15:27",Faheem,APL-001-2447,"Touch Screen Digitizer for iPad Air / iPad 5 (2017) Black - Premium",Sale,$14.49,$14.39
"2018-07-30 13:15:33",Faheem,APL-001-2446,"Touch Screen Digitizer for iPad Air / iPad 5 (2017) White - Premium",Sale,$14.49,$14.39
"2018-07-30 13:17:04",Faheem,APL-001-2200,"Touch Screen Digitizer With Home Button for iPad Air - Black (Premium)",Sale,$15.19,$15.09
"2018-07-30 13:17:09",Faheem,APL-001-2201,"Touch Screen Digitizer With Home Button for iPad Air - White (Premium)",Sale,$15.19,$15.09
"2018-07-30 13:19:14",Faheem,APL-001-0728,"LCD and Touch Screen Digitizer for iPhone 5S SE - White (Aftermarket Premium / Economy Plus)",Sale,$10.49,$10.29
"2018-07-30 13:19:29",Faheem,APL-001-0730,"LCD and Touch Screen Digitizer for iPhone 5S SE - Black (Aftermarket Premium / Economy Plus)",Sale,$10.49,$10.29
"2018-07-30 13:22:43",Faheem,APL-001-2211,"LCD and Touch Screen Digitizer for iPhone 6s - White (Premium)",Sale,$33.49,$32.99
"2018-07-30 13:23:43",Faheem,APL-001-2210,"LCD and Touch Screen Digitizer for iPhone 6s - Black (Premium)",Sale,$33.49,$32.99
"2018-07-30 13:25:44",Faheem,APL-001-2298,"LCD and Touch Screen Digitizer for iPhone 6S - Black (Aftermarket Premium / Economy Plus)",Sale,$17.49,$17.39
"2018-07-30 13:26:32",Faheem,APL-001-2299,"LCD and Touch Screen Digitizer for iPhone 6S - White (Aftermarket Premium / Economy Plus)",Sale,$17.49,$17.39
"2018-07-30 13:27:17",Faheem,APL-001-2365,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Premium)",Sale,$55.99,$52.99
"2018-07-30 13:29:43",Faheem,APL-001-2367,"LCD and Touch Screen Digitizer for iPhone 7 - White (Premium)",Sale,$55.99,$52.99
"2018-07-30 13:30:21",Faheem,APL-001-2403,"LCD and Touch Screen Digitizer for iPhone X - Black (Premium)",Sale,$289.39,$283.99
"2018-07-30 13:37:53",Faheem,SRN-SAM-1663,"LCD and Touch Screen Digitizer for Samsung Galaxy S3 - Blue (Standard)",Sale,$43.29,$36.39
"2018-07-30 13:52:43",khalfani,TAB-SRN-304,"Samsung Galaxy Tab 3 10.1 GT P5210 (Wifi Version) Digitizer Black - Grade A","Default 1",$0.00,$7.99
"2018-07-30 13:52:52",khalfani,TAB-SRN-264,"Touch Screen Digitizer for Samsung Galaxy Tab 3 10.1 - Black (Wifi Version)","Default 1",$19.45,$15.39
"2018-07-30 13:53:46",khalfani,TAB-SRN-486,"Samsung Galaxy Tab 3 10.1 GT P5210 (Wifi Version) Digitizer Black Grade B","Default 1",$0.00,$8.99
"2018-07-30 13:55:35",khalfani,TAB-SRN-300,"Samsung Galaxy Note N8000 10.1 Touch Screen Digitizer - White - Grade A","Default 1",$0.00,$17.33
"2018-07-30 14:00:13",khalfani,TAB-SRN-380,"Samsung Galaxy Note 8.0 N5100 Digitizer Touch Screen - White Grade A","Default 1",$0.00,$15.97
"2018-07-30 16:07:09",Jordan,SRN-SAM-1636,"LCD and Touch Screen Digitizer for Samsung Galaxy S6 - Black Sapphire (Premium)",Sale,$107.99,$109.99
"2018-07-30 16:07:11",Jordan,SRN-SAM-1637,"LCD and Touch Screen Digitizer for Samsung Galaxy S6 - White (Premium)",Sale,$107.99,$109.99
"2018-07-30 16:07:15",Jordan,SRN-SAM-1635,"LCD and Touch Screen Digitizer for Samsung Galaxy S6 - Gold (Premium)",Sale,$107.99,$109.99
