"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-06-29 09:19:01",Faheem,APL-001-0411,"LCD and Touch Screen Digitizer for iPhone 5 - White (Aftermarket Premium / Economy Plus)",Sale,$10.69,$10.59
"2018-06-29 09:21:17",Faheem,APL-001-0410,"LCD and Touch Screen Digitizer for iPhone 5 - Black (Aftermarket Premium / Economy Plus)",Sale,$10.69,$10.59
"2018-06-29 09:29:19",Faheem,APL-001-0732,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Aftermarket Premium / Economy Plus)",Sale,$10.69,$10.59
"2018-06-29 09:54:32",Jordan,BT-BP-30303,"BinTEK™ Battery for Samsung Galaxy S9 3.85V 3000mAH Li-Polymer Premium ",Sale,$0.00,$12.99
"2018-06-29 09:54:32",Jordan,BT-BP-30303,"BinTEK™ Battery for Samsung Galaxy S9 3.85V 3000mAH Li-Polymer Premium ","Default 1",$16.99,$15.99
"2018-06-29 09:54:56",Jordan,BT-BP-30302,"BinTEK™ Battery for Samsung Galaxy S9 Plus 3.85V 3500mAH Li-Polymer Premium",Sale,$0.00,$14.99
"2018-06-29 10:06:25",Jordan,APL-003-1934,"Home Button Test Flex Cable for iPhone 8 /8 Plus",Sale,$0.00,$5.99
"2018-06-29 10:14:34",Faheem,APL-003-1938,"LCD Tester Flex Cable for iPhone 8 Plus","Default 1",$0.00,$6.99
"2018-06-29 10:14:44",Faheem,APL-003-1937,"LCD Tester Flex Cable for iPhone 8","Default 1",$0.00,$5.99
"2018-06-29 10:26:49",Jordan,APL-003-1932,"Home Button Test Flex Cable for iPhone 6s /6s Plus",Sale,$0.00,$3.99
"2018-06-29 10:27:06",Jordan,APL-003-1933,"Home Button Test Flex Cable for iPhone 7 /7 Plus",Sale,$0.00,$3.99
"2018-06-29 10:28:21",Jordan,APL-003-1929,"Charging Port Flex Cable for iPad 6 (2018) ",Sale,$3.89,$6.89
"2018-06-29 10:28:21",Jordan,APL-003-1929,"Charging Port Flex Cable for iPad 6 (2018) ","Default 1",$35.99,$6.99
"2018-06-29 10:53:29",Jordan,APL-001-2477,"Touch Screen Digitizer for iPad 6 (2018) - Black",Sale,$0.00,$63.99
"2018-06-29 10:53:46",Jordan,APL-001-2478,"Touch Screen Digitizer for iPad 6 (2018) - White",Sale,$0.00,$63.99
"2018-06-29 11:04:34",khalfani,ACC-ZED-330,"Samsung Galaxy TAB USB Connection Kit Black","Default 1",$0.00,$9.95
"2018-06-29 11:29:39",Faheem,APL-001-2204,"LCD and Touch Screen Digitizer for iPhone 6S Plus - White (Premium)",Sale,$58.39,$58.09
"2018-06-29 11:31:58",Faheem,APL-001-2203,"LCD and Touch Screen Digitizer for iPhone 6S Plus - Black (Premium)",Sale,$58.39,$58.09
"2018-06-29 11:38:32",Faheem,APL-001-2366,"LCD and Touch Screen Digitizer for iPhone 7 Plus - Black (Premium)",Sale,$75.39,$75.19
"2018-06-29 11:38:40",Faheem,APL-001-2368,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Premium)",Sale,$75.39,$75.19
"2018-06-29 14:11:44",khalfani,LBB-OEM-C-I8P,"LBB iPhone 8 Plus OEM Grade C","Default 1",$0.00,$5.00
"2018-06-29 14:16:15",Faheem,LBB-OEM-C-I8P,"LBB iPhone 8 Plus OEM Grade C","Default 1",$0.00,$5.00
"2018-06-29 15:22:04",khalfani,APL-001-0594,"LCD and Touch Screen Digitizer for iPod Touch 4 - White","Default 1",$17.34,$19.99
"2018-06-29 16:04:49",Faheem,BT-BP-30304,"BinTEK™ Battery for Samsung Galaxy Note 8 3.85V 3300mAh Li-Ion Premium ","Default 1",$0.00,$9.99
"2018-06-29 16:15:10",Faheem,APL-003-1939,"WiFi Antenna Flex Cable for iPhone 6S","Default 1",$0.00,$1.99
"2018-06-29 16:15:13",Faheem,APL-003-1940,"Wifi Antenna Retaining Bracket for iPhone 6S","Default 1",$0.00,$0.99
"2018-06-29 16:26:05",Jordan,BT-BP-30304,"BinTEK™ Battery for Samsung Galaxy Note 8 3.85V 3300mAh Li-Ion Premium ",Sale,$0.00,$12.89
"2018-06-29 16:28:40",Jordan,BT-BP-30304,"BinTEK™ Battery for Samsung Galaxy Note 8 3.85V 3300mAh Li-Ion Premium ","Default 1",$9.99,$19.99
"2018-06-29 16:31:29",Jordan,APL-003-1939,"WiFi Antenna Flex Cable for iPhone 6S",Sale,$0.00,$1.99
"2018-06-29 16:31:44",Jordan,APL-003-1940,"Wifi Antenna Retaining Bracket for iPhone 6S",Sale,$0.00,$0.99
"2018-06-29 16:34:44",Faheem,APL-003-1939,"WiFi Antenna Flex Cable for iPhone 6S",Sale,$1.99,$0.00
"2018-06-29 16:35:23",Faheem,APL-003-1940,"Wifi Antenna Retaining Bracket for iPhone 6S",Sale,$0.99,$0.00
"2018-06-29 16:41:30",Jordan,FLX-SAM-1621,"LCD Screen Digitizer Tester Flex Cable Ribbon for Samsung Galaxy S8 G950  / S8 Plus G955 / Note 8 N950",Sale,$0.00,$4.99
