"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-05-03 10:02:41",Faheem,SRN-SAM-1664,"LCD and Touch Screen Digitizer for Samsung Galaxy J3 (2016) - Gold (Premium)","Default 1",$99.99,$79.99
"2018-05-03 11:34:12",khalfani,SRN-SAM-1692,"LCD and Touch Screen Digitizer for Samsung Galaxy S7 Edge G935A G935V with Frame Used - Gold - Grade A","Default 1",$150.00,$169.99
"2018-05-03 11:34:34",Faheem,SRN-SAM-1727,"LCD and Touch Screen Digitizer for Samsung Galaxy S6 - Black Sapphire (Standard) - Grade A","Default 1",$0.00,$150.00
"2018-05-03 11:42:40",Faheem,SRN-SAM-1726,"Galaxy Note 2 LCD + Digitizer Touch Screen - White - No Frame Grade B","Default 1",$0.00,$150.00
"2018-05-03 11:44:12",Faheem,SRN-SAM-1725,"Samsung Galaxy S6 Edge Plus LCD & Digitizer Touch Screen - Black Sapphire - Grade A","Default 1",$0.00,$150.00
"2018-05-03 11:45:13",Faheem,SRN-SAM-1724,"LCD and Touch Screen Digitizer for Samsung Galaxy S5 - White (Standard) - Grade A","Default 1",$0.00,$150.00
"2018-05-03 11:50:35",Faheem,SRN-SAM-1723,"LCD and Touch Screen Digitizer for Samsung Galaxy Note 4 - Grey (Standard) - Grade B","Default 1",$0.00,$150.00
"2018-05-03 12:37:11",Jordan,SRN-MOT-675,"LCD and Digitizer Replacement with Frame for Motorola Moto X Pure Edition XT1575 - White",Sale,$43.99,$45.89
"2018-05-03 12:37:26",Jordan,SRN-MOT-675,"LCD and Digitizer Replacement with Frame for Motorola Moto X Pure Edition XT1575 - White",Sale,$45.89,$47.89
"2018-05-03 12:45:12",Jordan,SRN-SAM-1735,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - White - Grade C",Sale,$0.00,$79.99
"2018-05-03 12:45:12",Jordan,SRN-SAM-1735,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - White - Grade C","Default 1",$0.00,$150.00
