"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-12-31 11:50:47",Zahan,APL-001-2085,"LCD Touch Screen Digitizer Assembly for iPhone 5S - White (Aftermarket)","Default 1",$100.00,$11.99
"2018-12-31 12:36:24",Zahan,APL-001-2112,"LCD Touch Screen Digitizer Assembly for iPhone 5S - Black (Aftermarket)","Default 1",$100.00,$11.99
"2018-12-31 12:51:12",Zahan,APL-001-2114,"LCD and Touch Screen Digitizer for iPhone 6 - White (Aftermarket)","Default 1",$100.00,$14.99
"2018-12-31 12:52:40",Zahan,APL-001-2115,"LCD and Touch Screen Digitizer for iPhone 6 - Black (Aftermarket)","Default 1",$100.00,$14.99
