"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-05-04 12:47:46",Faheem,ACC-ZRT-548,"T4 Torx 4 Screwdriver","Default 1",$0.00,$0.99
"2018-05-04 16:12:12",Faheem,SRN-HTC-1161,"LCD and Touch Screen Digitizer for Google Pixel 2 - Black","Default 1",$0.00,$142.99
"2018-05-04 16:12:13",Faheem,BTY-HTC-099,"Battery for Google Pixel 2","Default 1",$0.00,$7.99
"2018-05-04 16:12:27",Faheem,FLX-HTC-620,"Charging Port with PCB Board for Google Pixel 2","Default 1",$0.00,$26.99
"2018-05-04 16:12:42",Faheem,FLX-HTC-621,"Rear Camera for Google Pixel 2","Default 1",$0.00,$25.99
"2018-05-04 16:13:06",Faheem,FLX-HTC-622,"Rear Camera Lens Cover for Google Pixel 2","Default 1",$0.00,$6.99
"2018-05-04 16:13:24",Faheem,SRN-HTC-1162,"LCD and Touch Screen Digitizer for Google Pixel 2 XL - Black","Default 1",$0.00,$152.99
"2018-05-04 16:13:40",Faheem,BTY-HTC-100,"Battery for Google Pixel 2 XL","Default 1",$0.00,$7.99
"2018-05-04 16:14:06",Faheem,FLX-HTC-623,"Charging Port Flex Cable for Google Pixel 2 XL","Default 1",$0.00,$25.99
"2018-05-04 16:14:18",Faheem,FLX-HTC-624,"Rear Camera Lens Cover for Google Pixel 2 XL - Black","Default 1",$0.00,$6.99
