"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-08-23 10:40:06",Faheem,APL-001-0411,"LCD and Touch Screen Digitizer for iPhone 5 - White (Aftermarket Premium / Economy Plus)",Sale,$10.29,$10.19
"2018-08-23 10:43:21",Faheem,APL-001-0732,"LCD and Touch Screen Digitizer for iPhone 5C - Black (Aftermarket Premium / Economy Plus)",Sale,$10.19,$10.09
"2018-08-23 10:57:38",Faheem,APL-001-0410,"LCD and Touch Screen Digitizer for iPhone 5 - Black (Aftermarket Premium / Economy Plus)",Sale,$10.29,$10.19
"2018-08-23 15:49:35",Meri,ACC-APL-0138,"Bumper Case with Metal Keys for iPhone 4 4S Baby Blue","Default 1",$0.00,$3.95
