"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-06-06 10:30:55",Faheem,APL-001-2376,"LCD and Touch Screen Digitizer for iPhone 8 Plus - Black (Premium)",Sale,$97.59,$95.89
"2018-06-06 10:31:00",Faheem,APL-001-2381,"LCD and Touch Screen Digitizer for iPhone 8 Plus - White (Premium)",Sale,$97.59,$95.89
"2018-06-06 13:23:01",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$4.49,$1.39
"2018-06-06 13:23:02",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus","Default 1",$4.19,$8.99
"2018-06-06 13:23:25",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$1.39,$4.49
"2018-06-06 13:32:20",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$4.49,$2.99
"2018-06-06 13:32:40",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$2.99,$2.49
"2018-06-06 13:34:20",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$2.49,$2.89
"2018-06-06 13:34:41",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$2.89,$2.29
"2018-06-06 13:34:57",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$2.29,$2.09
"2018-06-06 13:36:53",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus","Platinum 1",$3.37,$8.99
"2018-06-06 13:37:31",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$2.09,$2.89
"2018-06-06 13:43:17",Faheem,APL-003-1735,"Earpiece Speaker for iPhone 7 Plus",Sale,$2.89,$2.09
"2018-06-06 13:55:55",Faheem,APL-003-1584,"Loudspeaker for iPhone 6s",Sale,$1.99,$1.09
"2018-06-06 13:56:07",Faheem,APL-003-1584,"Loudspeaker for iPhone 6s",Sale,$1.09,$1.99
"2018-06-06 15:21:38",Jordan,SRN-SAM-1657,"LCD and Touch Screen Digitizer for Samsung Galaxy Note 8 - Midnight Black",Sale,$259.99,$219.99
"2018-06-06 15:23:04",Jordan,SRN-SAM-1657,"LCD and Touch Screen Digitizer for Samsung Galaxy Note 8 - Midnight Black",Sale,$219.99,$236.89
"2018-06-06 15:23:22",Jordan,SRN-SAM-1657,"LCD and Touch Screen Digitizer for Samsung Galaxy Note 8 - Midnight Black","Platinum 1",$298.58,$299.49
"2018-06-06 15:23:48",Jordan,FLX-SAM-1583,"LCD and Touch Screen Digitizer for Samsung Galaxy Note 8 - Orchid Grey ",Sale,$259.99,$236.89
"2018-06-06 15:23:48",Jordan,FLX-SAM-1583,"LCD and Touch Screen Digitizer for Samsung Galaxy Note 8 - Orchid Grey ","Platinum 1",$298.58,$299.49
